PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES
PMC4083675.nxml.gz	0	['Spinal Drop Metastasis in Myxopapillary Ependymoma: A Case Report and a Review of Treatment Options\n\nAbstract\nMyxopapillary ependymoma (MPE) is a World Health Organization grade I ependymoma that is quite rare and generally thought to be benign.']	(0, 245)
PMC4083675.nxml.gz	1	['Possible drop metastasis from MPE has been reported three times in the literature; in each case there were cotemporaneous additional MPE lesions.']	(246, 391)
PMC4083675.nxml.gz	2	['We report the case of a man who had a piecemeal gross total resection of a MPE at L1-L3 followed by adjuvant external beam radiotherapy (EBRT) who presented sixteen months later with a lesion in the thecal sac consistent with drop metastasis.']	(392, 634)
PMC4083675.nxml.gz	3	['A subtotal resection and adjuvant EBRT were performed.']	(635, 689)
PMC4083675.nxml.gz	4	['The patient has been disease-free in follow-up 27 months from the second surgery.']	(690, 771)
PMC4083675.nxml.gz	5	['A review of the literature regarding the treatment for MPE showed that gross total resection is optimal initial management.']	(772, 895)
PMC4083675.nxml.gz	6	['Several retrospective studies supported the role of adjuvant radiotherapy in enhancing local control and progression-free survival.']	(896, 1027)
PMC4083675.nxml.gz	7	['Chemotherapy has a minimal role in the management of MPE.']	(1028, 1085)
PMC4083675.nxml.gz	8	['Introduction\nMyxopapillary ependymoma (MPE) is a relatively rare low-grade glioma, specifically classified as a WHO grade I histologic subtype of ependymoma.']	(1087, 1244)
PMC4083675.nxml.gz	9	['MPE most frequently occurs in the conus medullaris, cauda equina, or filum terminale, though can also develop elsewhere within the central nervous system.1The most common presenting symptoms of spinal MPE include pain, weakness, and sensory changes.']	(1245, 1494)
PMC4083675.nxml.gz	10	['Symptoms of bowel, bladder, and/or sexual dysfunction are not common.2Metastatic spread of MPE is infrequent and, when it does occur, the disease tends to spread in the rostral direction within the central nervous system.3Published reports of drop metastases in patients with MPE are scarce; what is reported describes cases in which drop metastases were discovered simultaneously with the primary tumor.4,5In this case report, we discuss an adult patient who presented with secondary MPE drop metastases following an initial piecemeal resection and post-operative radiotherapy of the tumor bed of a primary MPE.']	(1495, 2107)
PMC4083675.nxml.gz	11	['Case Report\n\nInitial presentation and treatment\nA 21-year-old Hispanic male presented initially with increased pain in the middle back that radiated to both legs.']	(2109, 2271)
PMC4083675.nxml.gz	12	['A thorough neurologic exam was otherwise normal and a complete review of systems was negative.']	(2272, 2366)
PMC4083675.nxml.gz	13	['An magnetic resonance imaging (MRI) scan of the lumbar spine without contrast showed a well-defined lesion extending from the middle of the L1 vertebrae to the top of the L3 vertebrae as shown inFigure 1A.']	(2367, 2572)
PMC4083675.nxml.gz	14	['A laminectomy of the inferior portion of L1, all of L2, and the superior portion of the L3 lamina was performed.']	(2573, 2685)
PMC4083675.nxml.gz	15	['Upon opening the dura, unencapsulated tumor was found.']	(2686, 2740)
PMC4083675.nxml.gz	16	['Superficial tumor was removed and a deep dissection was performed revealing a deep tumor capsule that was removed in its entirety.']	(2741, 2871)
PMC4083675.nxml.gz	17	['Intraoperative pathology confirmed the diagnosis of myxopapillary ependymoma.']	(2872, 2949)
PMC4083675.nxml.gz	18	['Deep to the encapsulated portion, further unencapsulated tumor was found surrounding several nerve roots.']	(2950, 3055)
PMC4083675.nxml.gz	19	['A careful dissection was performed with intermittent, but not prolonged, firing of the gastrocnemius and anal sphincter noted on free-run electromyography (EMG).']	(3056, 3217)
PMC4083675.nxml.gz	20	['All visible tumor was eventually removed and a gross total resection (GTR) was presumed.']	(3218, 3306)
PMC4083675.nxml.gz	21	['Further histologic analysis showed no mitotic figures and no necrosis in the sample.']	(3307, 3391)
PMC4083675.nxml.gz	22	['After an uncomplicated post-operative course, the patient was discharged from the hospital on post-operative day 2.']	(3392, 3507)
PMC4083675.nxml.gz	23	['Given that the piecemeal rather than en bloc GTR increased our concern for microscopic residual tumor, as well as the reported benefits of radiotherapy for MPE (discussed below), the patient was offered adjuvant radiotherapy.']	(3508, 3733)
PMC4083675.nxml.gz	24	['He was prescribed a total of 52 Gy in 26 fractions, using a dose painting approach in which the clinical target volume (CTV, defined as the postoperative cavity/pre-operative cranial-caudal extent of tumor) was prescribed 52 Gy in 26 fractions, and the planning target volume (PTV, defined as the CTV plus a 2 cm margin which encompassed the thecal sac from L1 to L3) was prescribed 49.4 Gy in 26 fractions.']	(3734, 4141)
PMC4083675.nxml.gz	25	['Radiotherapy was planned and delivered with the Tomotherapy®system (Accuray Inc., Sunnyvale, CA, USA) which allows the planning and delivery of intensity modulated radiotherapy (IMRT) via a helical delivery of megavoltage (MV) energy radiation, akin to a standard computed tomography (CT) scanner expect that therapeutic megavoltage radiation is delivered as opposed to kilovoltage diagnostic radiation, using a hydraulically controlled collimator to achieve modulation of the beam.']	(4142, 4624)
PMC4083675.nxml.gz	26	['This system also allows a MV CT scan to be performed prior to treatment to optimize accuracy of patient setup.']	(4625, 4735)
PMC4083675.nxml.gz	27	['The external beam radiotherapy (EBRT) was completed within 3 months following the initial surgery.']	(4736, 4834)
PMC4083675.nxml.gz	28	['Follow-up MRI scans of the lumbosacral spine were obtained 1, 6, 10, and 14 months postoperative.']	(4835, 4932)
PMC4083675.nxml.gz	29	['No scans showed any sign of recurrent or metastatic disease.']	(4933, 4993)
PMC4083675.nxml.gz	30	['Presentation at recurrence\nNineteen months after the initial operation, the patient presented for routine follow-up with no complaints, a negative review of systems, and no abnormal physical exam findings.']	(4995, 5200)
PMC4083675.nxml.gz	31	['Spinal MRI with contrast showed the development of an enhancing lesion at the S1-S2 level at the tip of the thecal sac consistent with drop metastases; also noted was stable appearance of a linear enhancing lesion at the L2-L3 level as shown inFigure 1B.']	(5201, 5455)
PMC4083675.nxml.gz	32	['The last spinal MRI was five months prior and showed no evidence of this lesion.']	(5456, 5536)
PMC4083675.nxml.gz	33	['This new lesion developed far inferior to the previous radiation field.']	(5537, 5608)
PMC4083675.nxml.gz	34	['Surgery after recurrence\nThe patient underwent a lumbosacral laminectomy from L5-S2.']	(5610, 5694)
PMC4083675.nxml.gz	35	['Following removal of the lamina between L5-S2 and the ligamentum flavum between L5 and S1, a firm tumor nodule was palpated between S1 and S2.']	(5695, 5837)
PMC4083675.nxml.gz	36	['An attempt to dissect the tumor was made, however, the tumor capsule had significant arachnoid adhesions involving multiple sacral nerve roots.']	(5838, 5981)
PMC4083675.nxml.gz	37	['This complicated the resection.']	(5982, 6013)
PMC4083675.nxml.gz	38	['Alternative angles of dissection were pursued, however sacral nerve adhesions were again found.']	(6014, 6109)
PMC4083675.nxml.gz	39	['The tumor was debulked, however, the capsule was unable to be removed due unacceptably high levels of intraoperative free-run EMG activity in the sphincter muscle.']	(6110, 6273)
PMC4083675.nxml.gz	40	['The dura was closed with visual tumor left behind.']	(6274, 6324)
PMC4083675.nxml.gz	41	['Pathology showed small bland cells forming perivascular pseudorosettes with intervening myxoid material, shown inFigure 2.']	(6325, 6447)
