PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES
PMC2717130.nxml.gz	0	['Maternal Arsenic Exposure and Impaired Glucose Tolerance during Pregnancy\n\nAbstract\n\nBackground\nAccumulating evidence has shown an increased risk of type 2 diabetes in general populations exposed to arsenic, but little is known about exposures during pregnancy and the association with gestational diabetes (GD).']	(0, 312)
PMC2717130.nxml.gz	1	['Objectives\nWe studied 532 women living proximate to the Tar Creek Superfund Site to investigate whether arsenic exposure is associated with impaired glucose tolerance during pregnancy.']	(314, 498)
PMC2717130.nxml.gz	2	['Methods\nBlood glucose was measured between 24 and 28 weeks gestation after a 1-hr oral glucose tolerance test (GTT) as part of routine prenatal care.']	(500, 649)
PMC2717130.nxml.gz	3	['Blood and hair were collected at delivery and analyzed for arsenic using inductively coupled plasma mass spectrometry with dynamic reaction cell.']	(650, 795)
PMC2717130.nxml.gz	4	['Results\nArsenic concentrations ranged from 0.2 to 24.1 μg/L (ppb) (mean ± SD, 1.7 ± 1.5) and 1.1 to 724.4 ng/g (ppb) (mean ± SD, 27.4 ± 61.6) in blood and hair, respectively.']	(797, 971)
PMC2717130.nxml.gz	5	['One-hour glucose levels ranged from 40 to 284 mg/dL (mean ± SD, 108.7 ± 29.5); impaired glucose tolerance was observed in 11.9% of women when using standard screening criterion (> 140 mg/dL).']	(972, 1163)
PMC2717130.nxml.gz	6	['Adjusting for age, Native-American race, prepregnancy body mass index, Medicaid use, and marital status, women in the highest quartile of blood arsenic exposure had 2.8 higher odds of impaired GTT than women in the lowest quartile of exposure (95% confidence interval, 1.1–6.9) ( p -trend = 0.008).']	(1164, 1462)
PMC2717130.nxml.gz	7	['Conclusions\nAmong this population of pregnant women, arsenic exposure was associated with increased risk of impaired GTT at 24–28 weeks gestation and therefore may be associated with increased risk of GD.']	(1464, 1668)
PMC2717130.nxml.gz	8	['Arsenic exposure is a well-recognized public health problem: Millions of people worldwide are potentially exposed predominantly to inorganic arsenic from drinking water contaminated by naturally occurring sources (Tchounwou et al.']	(1669, 1899)
PMC2717130.nxml.gz	9	['1999).']	(1900, 1906)
PMC2717130.nxml.gz	10	['Chronic exposure to arsenic is associated with a number of adverse health effects (Yoshida et al.']	(1907, 2004)
PMC2717130.nxml.gz	11	['2004).']	(2005, 2011)
PMC2717130.nxml.gz	12	['Accumulating evidence from epidemiologic and experimental studies has shown an increased risk of type 2 diabetes in populations with high exposure to arsenic (Longnecker and Daniels 2001;Navas-Acien et al.']	(2012, 2217)
PMC2717130.nxml.gz	13	['2006;Tseng et al.']	(2218, 2235)
PMC2717130.nxml.gz	14	['2002).']	(2236, 2242)
PMC2717130.nxml.gz	15	['One recent study found an association between arsenic exposure and diabetes in a nationally representative sample of U.S. adults (Navas-Acien et al.']	(2243, 2391)
PMC2717130.nxml.gz	16	['2008).']	(2392, 2398)
PMC2717130.nxml.gz	17	['Arsenic-induced diabetes may occur through induction of insulin resistance and beta-cell dysfunction by arsenic (or its methylated metabolites) via induction of oxidative stress or interferences in signal transduction or gene expression (Tseng 2004).']	(2399, 2649)
PMC2717130.nxml.gz	18	['Individual factors (e.g., nutritional status, genes) may also influence arsenic toxicity (Vahter 2007).']	(2650, 2753)
PMC2717130.nxml.gz	19	['Few studies have explored the effects of arsenic on human pregnancy outcomes (Huyck et al.']	(2754, 2844)
PMC2717130.nxml.gz	20	['2007;Rahman et al.']	(2845, 2863)
PMC2717130.nxml.gz	21	['2007;Vahter et al.']	(2864, 2882)
PMC2717130.nxml.gz	22	['2006), and none have investigated risk of diabetes in pregnant women, even though diabetes is a major potential complication of pregnancy with adverse effects for both mothers and infants.']	(2883, 3071)
PMC2717130.nxml.gz	23	['Gestational diabetes (GD) occurs when resistance to circulating insulin leads to hyperglycemia, and this impaired glucose metabolism is first detected during pregnancy.']	(3072, 3240)
PMC2717130.nxml.gz	24	['GD has an estimated prevalence of 1–14% of all pregnancies depending on race/ethnicity and diagnostic criteria used [American Diabetes Association (ADA) 2004;Ferrara 2007].']	(3241, 3413)
PMC2717130.nxml.gz	25	['Although there is some controversy over the definitive screening criteria, GD is usually first identified by testing a women’s blood glucose level 1 hr after receiving a 50-g oral glucose challenge between 24 and 28 weeks gestation as part of routine prenatal care [American College of Obstetrics and Gynecology (ACOG) 2001].']	(3414, 3739)
PMC2717130.nxml.gz	26	['GD is associated with 30–60% increased risk of developing diabetes in later life in the mother and also poses intergenerational risks to the fetus (Metzger 2007).']	(3740, 3902)
PMC2717130.nxml.gz	27	['Diabetes in pregnancy is associated with increased risk of major congenital malformations, macrosomia (birth weight > 4,000 g or > 90th percentile for gestational age), and complications during delivery and in the perinatal period including stillbirth (Fetita et al.']	(3903, 4169)
PMC2717130.nxml.gz	28	['2006).']	(4170, 4176)
PMC2717130.nxml.gz	29	['Infants born to mothers with impaired glucose tolerance/GD are at increased risk of subsequent impaired glucose tolerance and obesity.']	(4177, 4311)
PMC2717130.nxml.gz	30	['However, there is evidence that early intervention and treatment, such as dietary counseling, blood glucose monitoring, and insulin or other drugs (if appropriate), may lead to improved outcomes for mother and child (World Health Organization 2006).']	(4312, 4561)
PMC2717130.nxml.gz	31	['Therefore, it is an important public heath priority to identify risk factors for GD.']	(4562, 4646)
PMC2717130.nxml.gz	32	['We examined maternal arsenic exposure and risk of impaired glucose tolerance during pregnancy, which is an important determinant of GD, in a population of pregnant women living in an area surrounding the Tar Creek Superfund site in Ottawa County, Oklahoma.']	(4647, 4903)
PMC2717130.nxml.gz	33	['Materials and Methods\n\nStudy location\nThe Tar Creek Superfund site, a former lead and zinc mining area, occupies 40 square miles of land in northeastern Oklahoma that is heavily contaminated with metals from mining waste [Agency for Toxic Substances and Disease Registry (ATSDR) 2004].']	(4905, 5190)
PMC2717130.nxml.gz	34	['It is part of the former Tri-State Mining District, which extended from Oklahoma through southeast Kansas and into southwest Missouri.']	(5191, 5325)
PMC2717130.nxml.gz	35	['In 1983, under the Comprehensive Environmental Response, Compensation, and Liability Act (“Superfund”) legislation (1980), the site was added to the National Priority List because of extensive metal contamination of surface water, groundwater, sediments, and soils (ATSDR 2004).']	(5326, 5604)
PMC2717130.nxml.gz	36	['Approximately 30,000 people live in the area surrounding the site, including many residents of Native-American descent on allotted Indian land.']	(5605, 5748)
PMC2717130.nxml.gz	37	['Massive piles of mine tailings, known locally as “chat,” contain elevated concentrations of lead, zinc, and other metals (Schaider et al.']	(5749, 5886)
PMC2717130.nxml.gz	38	['2007).']	(5887, 5893)
PMC2717130.nxml.gz	39	['Many of the original chat piles have been partially excavated and sold as fill for construction projects including roadways, playgrounds, residential driveways, and foundations of private homes (ATSDR 2004).']	(5894, 6101)
PMC2717130.nxml.gz	40	['In addition, at least 25% of drinking water samples in northeastern Oklahoma contain > 10 μg/L arsenic (Ryker 2001; U.S. Geological Survey 2007).']	(6102, 6247)
PMC2717130.nxml.gz	41	['Study subjects\nSubjects were participants in an ongoing prospective birth cohort study of biological markers of fetal and early childhood exposure to metals mixtures, maternal psychosocial stress, and their impact on neurocognitive development.']	(6249, 6493)
PMC2717130.nxml.gz	42	['This research is being conducted in the area of the Tar Creek Superfund site as a collaborative effort between the Harvard School of Public Health (HSPH), the Local Environmental Action Demanded (L.E.A.D.)']	(6494, 6699)
PMC2717130.nxml.gz	43	['Agency (a community-based nonprofit organization), and the Integris Baptist Regional Health Center, as part of the Center for Children’s Environmental Health and Disease Prevention Research at HSPH.']	(6700, 6898)
PMC2717130.nxml.gz	44	['The research protocol was approved by the Human Subjects Committees of Integris Health and Harvard School of Public Health and complied with all federal regulations governing protection of human subjects.']	(6899, 7103)
PMC2717130.nxml.gz	45	['All participants received a detailed explanation of the study before signing an approved written informed consent form.']	(7104, 7223)
PMC2717130.nxml.gz	46	['Interviewer-administered questionnaires and medical records review were used to obtain information about sociodemographic characteristics, potential environmental, occupational, and recreational sources of exposures, psychosocial stress, and details about the index pregnancy.']	(7224, 7500)
PMC2717130.nxml.gz	47	['Pregnant women were recruited during pre-natal visits or upon admission for labor and delivery at the Integris Baptist Regional Health Center in Miami, Oklahoma, which is the only hospital in Ottawa County.']	(7501, 7707)
PMC2717130.nxml.gz	48	['To be eligible for participation in the cohort study, women must have met the following criteria: a ) giving birth to a live-born infant at Integris hospital; b ) intention to live within the study area (Ottawa County) for the next 2 years; c ) not currently enrolled in the study with another child; and d ) English language proficiency that would allow ability to read, understand, and participate in informed consent process in English.']	(7708, 8147)
PMC2717130.nxml.gz	49	['There were 2,312 births recorded at the hospital from 1 November 2002 to 15 August 2008, and a total of 589 women were enrolled in the cohort during that same period.']	(8148, 8314)
PMC2717130.nxml.gz	50	['Because the birth cohort study was a continuation of a smaller research endeavor, detailed data on enrollment and eligibility are not available for the entire study period.']	(8315, 8487)
PMC2717130.nxml.gz	51	['However, the exclusion criteria were designed to be as inclusive as possible, and the most common reasons for ineligibility were that women were already enrolled with another child or did not live (or were not intending to stay) in the area.']	(8488, 8729)
PMC2717130.nxml.gz	52	['Participants who were missing information on blood arsenic ( n = 23) or blood glucose ( n = 34) were excluded, leaving a total of 532 women included in this analysis.']	(8730, 8896)
