	IGNORANCE CATEGORY	ARTICLE	CUE SPAN	CUE	SENTENCE	SENTENCE SPAN
2	difficult_task	BMJ_2008_Nov_7_337_a2001	[(42953, 42960)]	complex	['In the US, a trial of iron supplementation (30 mg/day) versus placebo from 11 weeks’ gestation in pregnant women who were not anaemic reported a significantly longer duration of gestation (0.6 weeks) and fourfold reduction in the risk of preterm low birth weight in the iron supplemented women.25Our findings were also consistent with those from observational studies that reported an increased risk of preterm delivery in women with iron deficiency anaemia in the first trimester of pregnancy.2627282930For example, an analysis of perinatal data from Shanghai showed a greater than twofold increase in the risk of low birth weight and preterm delivery in women who had moderate anaemia (90-99 g/l) and a greater than threefold increase for women with severe anaemia (<90 g/l) in the first trimester.29\nThe absorption of iron during pregnancy is a complex physiological process, with increasing relative absorption as gestation progresses but with a decrease in the percentage of the dose absorbed as the total dose increases.31In our trial, even though the amount of iron in the iron-folic acid supplement was twice the amount in the multiple micronutrient supplement this would not necessarily have led to twice the absorption of iron and therefore twice the dose of iron.']	(42105, 43379)
239	difficult_task	BMJ_2010_Apr_29_340_c1640	[(5039, 5048)]	difficult	['This evidence comes from both case-control and cohort studies and indicates that age of operation for such a protective effect might include both childhood and early adulthood.67891011\nExposure to ultraviolet radiation in early life has not yet been formally examined but might be linked to excess risk of multiple sclerosis at birth through seasonal deficiency in maternal vitamin D concentrations.12A study of half siblings with multiple sclerosis has also shown that risk can be maternally mediated.13Pregnancy is a vulnerable time for vitamin D deficiency because of increased physiological needs and reduced maternal outdoor activity.14Experimental data on animal fetal development indicate that cerebral white matter is responsive to vitamin D and that oligodendrocytes in the brain and spinal cord have vitamin D receptors.1516Furthermore, maternal vitamin D depletion alters neurogenesis in the developing rat brain,17with subsequent altered gene expression in adult life.18A recent genetic study in humans has further implicated vitamin D as a strong environmental candidate by showing direct functional interaction with the major locus that determines susceptibility to multiple sclerosis.19Although human evidence pertaining to fetal development has been difficult to obtain, the body of related evidence to date has led some to recommend antenatal supplementation with vitamin D to prevent multiple sclerosis.14\nAs an indicator of possible perinatal environmental exposures, such as ultraviolet radiation, individual studies in the northern hemisphere have examined month of birth and risk of multiple sclerosis with varied results.2021222324A large recent pooled analysis of births in the northern hemisphere, however, showed an excess of multiple sclerosis among people born in May and a relative deficit among those born in November; these results were stronger in familial cases and suggested interactions between genes and environment that are related to climate and that might act during gestation or shortly after birth.12We examined month of birth and risk of multiple sclerosis in Australia.']	(3773, 5885)
240	difficult_task	BMJ_2010_Apr_29_340_c1640	[(24866, 24884)]	could not , however	['We could not, however, control for other factors such as nutrition or physical activity that could be associated with prenatal exposure to ultraviolet radiation in the first trimester and that could also determine risk of multiple sclerosis.']	(24863, 25104)
514	difficult_task	BMJ_2012_Aug_30_345_e5605	[(24619, 24626)]	complex	['Birth weight is a complex interplay of genetic and environmental factors.']	(24601, 24674)
653	difficult_task	BMJ_2012_Jan_30_344_e184	[(19478, 19484)]	rarity	['‡Fisher’s exact test using original data; adjusted/imputed analyses not done owing to rarity of outcomes (n-3 LCPUFA group, n=349; control group, n=317).']	(19392, 19545)
654	difficult_task	BMJ_2012_Jan_30_344_e184	[(20767, 20773)]	rarity	['*Fisher’s exact test using original data; adjusted/imputed analyses not done owing to rarity of outcomes.']	(20681, 20786)
806	difficult_task	BMJ_2012_May_17_344_e2088	[(33988, 34001)]	heterogeneity	['We explored for sources of heterogeneity when required.']	(33961, 34016)
807	difficult_task	BMJ_2012_May_17_344_e2088	[(35958, 35967)]	difficult	['Such questions were difficult to answer with extracted results from trial publications because patient level information was not available and subgroup effects (“treatment-covariate interactions”) were rarely reported in sufficient detail.']	(35938, 36177)
808	difficult_task	BMJ_2012_May_17_344_e2088	[(38938, 38945)]	complex	['Firstly, in a complex intervention, the net benefit gained might be linked to the vigour with which the components of the intervention are delivered.']	(38924, 39073)
1065	difficult_task	BMJ_2014_Feb_10_348_g1285	[(26559, 26571)]	difficulties	['Comparison with other studies\nOur findings highlight the difficulties in limiting gestational weight gain at a population level, with 42% of women gaining in excess of the Institute of Medicine recommendations.12Research efforts to date have focused on limiting gestational weight gain, to the exclusion of adequate evaluation of relevant maternal and perinatal outcomes, based on a plausible assumption, although relatively untested by randomised trials, that lower weight gain results in improved outcomes in pregnancy and childbirth.']	(26502, 27038)
