PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES
BMJ_2012_May_17_344_e2088.nxml.gz	0	['Effects of interventions in pregnancy on maternal weight and obstetric outcomes: meta-analysis of randomised evidence\n\nAbstract\nObjective To evaluate the effects of dietary and lifestyle interventions in pregnancy on maternal and fetal weight and to quantify the effects of these interventions on obstetric outcomes.']	(0, 316)
BMJ_2012_May_17_344_e2088.nxml.gz	1	['Design Systematic review and meta-analysis.']	(317, 360)
BMJ_2012_May_17_344_e2088.nxml.gz	2	['Data sources Major databases from inception to January 2012 without language restrictions.']	(361, 451)
BMJ_2012_May_17_344_e2088.nxml.gz	3	['Study selection Randomised controlled trials that evaluated any dietary or lifestyle interventions with potential to influence maternal weight during pregnancy and outcomes of pregnancy.']	(452, 638)
BMJ_2012_May_17_344_e2088.nxml.gz	4	['Data synthesis Results summarised as relative risks for dichotomous data and mean differences for continuous data.']	(639, 753)
BMJ_2012_May_17_344_e2088.nxml.gz	5	['Results We identified 44 relevant randomised controlled trials (7278 women) evaluating three categories of interventions: diet, physical activity, and a mixed approach.']	(754, 922)
BMJ_2012_May_17_344_e2088.nxml.gz	6	['Overall, there was 1.42 kg reduction (95% confidence interval 0.95 to 1.89 kg) in gestational weight gain with any intervention compared with control.']	(923, 1073)
BMJ_2012_May_17_344_e2088.nxml.gz	7	['With all interventions combined, there were no significant differences in birth weight (mean difference −50 g, −100 to 0 g) and the incidence of large for gestational age (relative risk 0.85, 0.66 to 1.09) or small for gestational age (1.00, 0.78 to 1.28) babies between the groups, though by itself physical activity was associated with reduced birth weight (mean difference −60 g, −120 to −10 g).']	(1074, 1472)
BMJ_2012_May_17_344_e2088.nxml.gz	8	['Interventions were associated with a reduced the risk of pre-eclampsia (0.74, 0.60 to 0.92) and shoulder dystocia (0.39, 0.22 to 0.70), with no significant effect on other critically important outcomes.']	(1473, 1675)
BMJ_2012_May_17_344_e2088.nxml.gz	9	['Dietary intervention resulted in the largest reduction in maternal gestational weight gain (3.84 kg, 2.45 to 5.22 kg), with improved pregnancy outcomes compared with other interventions.']	(1676, 1862)
BMJ_2012_May_17_344_e2088.nxml.gz	10	['The overall evidence rating was low to very low for important outcomes such as pre-eclampsia, gestational diabetes, gestational hypertension, and preterm delivery.']	(1863, 2026)
BMJ_2012_May_17_344_e2088.nxml.gz	11	['Conclusions Dietary and lifestyle interventions in pregnancy can reduce maternal gestational weight gain and improve outcomes for both mother and baby.']	(2027, 2178)
BMJ_2012_May_17_344_e2088.nxml.gz	12	['Among the interventions, those based on diet are the most effective and are associated with reductions in maternal gestational weight gain and improved obstetric outcomes.']	(2179, 2350)
BMJ_2012_May_17_344_e2088.nxml.gz	13	['Introduction\nObesity is a growing threat to women of childbearing age.']	(2352, 2422)
BMJ_2012_May_17_344_e2088.nxml.gz	14	['Half the population is either overweight (body mass index (BMI) 25.0-29.9) or obese (BMI ≥30).1In Europe and the United States, 20-40% of women gain more than the recommended weight during pregnancy.2Increased maternal weight or excessive weight gain in pregnancy is associated with adverse pregnancy outcomes.3Half the women who die during pregnancy, childbirth, or puerperium in the United Kingdom are either obese or overweight.4For the offspring, maternal obesity is a major risk factor for childhood obesity, which persists into adulthood independent of other factors.5Obesity costs the UK National Health Service (NHS) around £0.5bn a year and the UK economy a further £2.3bn in indirect costs.6\nThe antenatal period, with opportunities for regular contact with health professionals, is considered an ideal time to intervene as mothers are motivated to make changes that could optimise their outcome and that of the baby.7There is a need to identify appropriate weight management interventions that are effective and safe in pregnancy.']	(2423, 3464)
BMJ_2012_May_17_344_e2088.nxml.gz	15	['Existing reviews and guidelines are limited in their recommendations because of the small number of included studies.89They have not been able to identify the best intervention that optimises the outcomes for the mother and baby.910There is also a lack of consensus on what constitutes important outcomes.']	(3465, 3770)
BMJ_2012_May_17_344_e2088.nxml.gz	16	['Guidelines from the Institute of Medicine (IOM) provide reference ranges for optimal weight gain in pregnancy for normal weight, overweight, and obese women based on observational evidence.11Given the potential importance of weight management interventions in pregnancy, we systematically reviewed the effects of dietary and lifestyle interventions on various outcomes ranked for their importance.']	(3771, 4168)
BMJ_2012_May_17_344_e2088.nxml.gz	17	['Methods\nWe carried out systematic reviews according to protocols developed using currently recommended review methods121314and ranked outcomes for importance using a two round Delphi survey.15\n\nIdentification of studies\nWe searched Medline, Embase, BIOSIS, LILACS, Science Citation Index, Cochrane Database of Systematic Reviews (CDSR), Cochrane Central Register of Controlled Trials (CENTRAL), Database of Abstracts of Reviews of Effects (DARE), Health Technology Assessment Database (HTA), and PsychInfo from inception to January 2012 to identify relevant citations.']	(4170, 4738)
BMJ_2012_May_17_344_e2088.nxml.gz	18	['We searched for relevant unpublished studies and those reported in the grey literature in databases such as Inside Conferences, Systems for Information in Grey Literature (SIGLE), Dissertation Abstracts, and Clinical Trials.gov.']	(4739, 4967)
BMJ_2012_May_17_344_e2088.nxml.gz	19	['Internet searches were also carried out with specialist search gateways (such as OMNI:www.omni.ac.uk), general search engines (such as Google), and meta-search engines (such as Copernic:www.copernic.com).']	(4968, 5172)
BMJ_2012_May_17_344_e2088.nxml.gz	20	['The search term combination captured the concept “pregnancy and weight” incorporating MeSH, free text, and word variants.']	(5173, 5294)
BMJ_2012_May_17_344_e2088.nxml.gz	21	['Language restrictions were not applied.']	(5295, 5334)
BMJ_2012_May_17_344_e2088.nxml.gz	22	['Study selection\nThe electronic searches were scrutinised and full manuscripts of all citations likely to meet the predefined selection criteria were selected.']	(5336, 5494)
BMJ_2012_May_17_344_e2088.nxml.gz	23	['Independent reviewers (ER and SG) examined these manuscripts and made the final decisions regarding inclusion or exclusion.']	(5495, 5618)
BMJ_2012_May_17_344_e2088.nxml.gz	24	['When disagreements occurred, they were resolved by consensus or arbitration with a third reviewer (ST).']	(5619, 5722)
BMJ_2012_May_17_344_e2088.nxml.gz	25	['In cases of duplicate publication, we selected the most recent and complete versions.']	(5723, 5808)
BMJ_2012_May_17_344_e2088.nxml.gz	26	['Randomised controlled trials that evaluated any dietary or lifestyle interventions with potential to influence maternal and fetal outcomes related to weight were included.']	(5809, 5980)
BMJ_2012_May_17_344_e2088.nxml.gz	27	['Two independent reviewers (ER, SG) classified interventions as mainly diet based, physical activity based, or mixed approach (with both diet and physical activity components that might or might not be underpinned by behavioural theory).']	(5981, 6217)
BMJ_2012_May_17_344_e2088.nxml.gz	28	['Any disagreements were resolved by discussion with a third reviewer (ST).']	(6218, 6291)
BMJ_2012_May_17_344_e2088.nxml.gz	29	['We excluded studies on pregnant women who were underweight (BMI <18.5).']	(6292, 6363)
BMJ_2012_May_17_344_e2088.nxml.gz	30	['Study quality assessment and data extraction\nQuality, defined as the extent to which an estimate of effect was likely to be correct or unbiased, was evaluated with accepted contemporary standards.1617The risk of bias in individual studies was assessed by considering six items: sequence generation, allocation concealment, blinding, incomplete outcome data, selective outcome reporting, and other potential sources of bias.']	(6365, 6788)
BMJ_2012_May_17_344_e2088.nxml.gz	31	['This information provided data for one of the domains used in evidence rating (see below).']	(6789, 6879)
BMJ_2012_May_17_344_e2088.nxml.gz	32	['Two independent reviewers (ER and SG) extracted data in duplicate using predesigned and piloted data extraction forms.']	(6880, 6998)
BMJ_2012_May_17_344_e2088.nxml.gz	33	['We attempted to obtain missing information by contacting investigators.']	(6999, 7070)
BMJ_2012_May_17_344_e2088.nxml.gz	34	['Data synthesis\nWe calculated relative risks with 95% confidence intervals for dichotomous data.']	(7072, 7167)
BMJ_2012_May_17_344_e2088.nxml.gz	35	['Continuous data were summarised as mean differences with standard deviations.']	(7168, 7245)
BMJ_2012_May_17_344_e2088.nxml.gz	36	['We used the I2statistic to assess statistical heterogeneity between trials and explored possible causes if we detected substantial heterogeneity (I2>50%).']	(7246, 7400)
BMJ_2012_May_17_344_e2088.nxml.gz	37	['Subgroup meta-analyses for the main outcomes were performed.']	(7401, 7461)
BMJ_2012_May_17_344_e2088.nxml.gz	38	['For each outcome, the subgroups defined a priori were clinical characteristics such as BMI and diabetes in pregnancy; type of intervention; responders, defined as women with significant reduction in gestational weight gain with intervention; and study quality.']	(7462, 7722)
BMJ_2012_May_17_344_e2088.nxml.gz	39	['A true subgroup effect was considered to be present when the difference in estimates between the subgroups was significant at P<0.005.']	(7723, 7857)
BMJ_2012_May_17_344_e2088.nxml.gz	40	['When any heterogeneity was not explained by subgroup analyses, we performed meta-analysis using a random effects model.']	(7858, 7977)
BMJ_2012_May_17_344_e2088.nxml.gz	41	['Birth weight was analysed in kilograms and is reported in grams.']	(7978, 8042)
BMJ_2012_May_17_344_e2088.nxml.gz	42	['Funnel plots were used to display small study effects when the intervention effects in smaller studies differed from the effects displayed by larger studies.']	(8043, 8200)
BMJ_2012_May_17_344_e2088.nxml.gz	43	['We used Egger’s test to test for funnel plot asymmetry.18All analyses were carried out with Revman19and Stata statistical software.20\n\nPrioritisation and rating of evidence\nOur primary outcomes were weight related changes in the mother and baby.']	(8201, 8446)
BMJ_2012_May_17_344_e2088.nxml.gz	44	['We prioritised the other maternal and fetal outcomes related to pregnancy and ranked them for importance by a two round Delphi survey of clinicians with expertise in this specialty.15Nineteen clinicians (19/20, 95% response rate) participated in the first round and 16 (84%) in the second.']	(8447, 8736)
BMJ_2012_May_17_344_e2088.nxml.gz	45	['The list of outcomes ranked as critically important to weight management in pregnancy is provided in appendix 1 on bmj.com.']	(8737, 8860)
BMJ_2012_May_17_344_e2088.nxml.gz	46	['We summarised the strength of evidence for key outcomes using the GRADE (grading of recommendations, assessment, development, and evaluation) methods.21This system rates the confidence in the observed estimate into one of four levels (high, moderate, low, and very low) evaluating five domains (risk of bias (see above), (in-)consistency of the results (heterogeneity), (in-)directness of the evidence, (im-)precision of the results, and publication bias).']	(8861, 9317)
BMJ_2012_May_17_344_e2088.nxml.gz	47	['Initially we assigned evidence from randomised trials as high quality and readjusted the level on the basis of deficiencies in the above domains.']	(9318, 9463)
BMJ_2012_May_17_344_e2088.nxml.gz	48	['This lowered the rating of evidence from high to moderate to low or even very low, depending on the severity of the deficiency.']	(9464, 9591)
BMJ_2012_May_17_344_e2088.nxml.gz	49	['The footnotes in appendix 2 on bmj.com provide an explanation as to how we downgraded evidence in the light of various deficiencies.']	(9592, 9724)
BMJ_2012_May_17_344_e2088.nxml.gz	50	['Safety of the interventions in pregnancy\nWe undertook the review of safety of interventions based on recommended methods, including those of Cochrane adverse effects subgroup.2223We designed a separate search strategy to evaluate safety by including text words and indexing terms for adverse effects.']	(9726, 10026)
BMJ_2012_May_17_344_e2088.nxml.gz	51	['We limited the search by including search filters for “adverse events”, “human studies”, and “study type” (excluding editorials and letters).']	(10027, 10168)
BMJ_2012_May_17_344_e2088.nxml.gz	52	['We searched Medline and Embase from inception to March 2011.']	(10169, 10229)
BMJ_2012_May_17_344_e2088.nxml.gz	53	['We included any relevant randomised studies, observational studies, case series, or case reports without any language restrictions.']	(10230, 10361)
BMJ_2012_May_17_344_e2088.nxml.gz	54	['The number of adverse events reported in pregnant women and children were obtained for each intervention to compute a percentage of the total number of women and children in whom the occurrence of that particular adverse event, or confirmation of its absence, was reported.']	(10362, 10635)
BMJ_2012_May_17_344_e2088.nxml.gz	55	['The adverse events were quantified as relative risks and 95% confidence intervals.']	(10636, 10718)
BMJ_2012_May_17_344_e2088.nxml.gz	56	['Results\n\nStudy selection\nFrom 19\u2009593 citations, we selected 215 full papers for assessment (fig 1).']	(10720, 10819)
BMJ_2012_May_17_344_e2088.nxml.gz	57	['Forty four randomised trials (7278 women) reported the effects of dietary and lifestyle interventions in pregnancy.']	(10820, 10935)
BMJ_2012_May_17_344_e2088.nxml.gz	58	['The interventions in the trials were broadly classified into three groups: those mainly based on diet (13 randomised trials)24252627282930313233343536or physical activity (18 randomised trials)37383940414243444546474849505152535455and a mixed approach with diet and physical activity components that might or might not be underpinned by behavioural counselling (13 randomised trials).7565758596061626364656667\n\nCaption (FIG)\n\nFig 1 Identification of studies in systematic review of effects of dietary and lifestyle interventions in pregnancy on maternal and fetal outcomes\n\nCharacteristics of the included studies and interventions\nThe included trials studied the effect of interventions on women with any BMI,725262728293032373839404243444546474849505254555657585960616263646566mostly obese and overweight women,313353or only obese women2429343536515967(clinical characteristics of all identified studies are in appendix 3 on bmj.com).']	(10936, 11872)
