PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES
PMC2993657.nxml.gz	0	['Impact of community-based interventions on maternal and neonatal health indicators: Results from a community randomized trial in rural Balochistan, Pakistan\n\nAbstract\n\nBackground\nPakistan has high maternal mortality, particularly in the rural areas.']	(0, 249)
PMC2993657.nxml.gz	1	['The delay in decision making to seek medical care during obstetric emergencies remains a significant factor in maternal mortality.']	(250, 380)
PMC2993657.nxml.gz	2	['Methods\nWe present results from an experimental study in rural Pakistan.']	(382, 454)
PMC2993657.nxml.gz	3	['Village clusters were randomly assigned to intervention and control arms (16 clusters each).']	(455, 547)
PMC2993657.nxml.gz	4	['In the intervention clusters, women were provided information on safe motherhood through pictorial booklets and audiocassettes; traditional birth attendants were trained in clean delivery and recognition of obstetric and newborn complications; and emergency transportation systems were set up.']	(548, 841)
PMC2993657.nxml.gz	5	['In eight of the 16 intervention clusters, husbands also received specially designed education materials on safe motherhood and family planning.']	(842, 985)
PMC2993657.nxml.gz	6	['Pre- and post-intervention surveys on selected maternal and neonatal health indicators were conducted in all 32 clusters.']	(986, 1107)
PMC2993657.nxml.gz	7	['A district-wide survey was conducted two years after project completion to measure any residual impact of the interventions.']	(1108, 1232)
PMC2993657.nxml.gz	8	['Results\nPregnant women in intervention clusters received prenatal care and prophylactic iron therapy more frequently than pregnant women in control clusters.']	(1234, 1391)
PMC2993657.nxml.gz	9	['Providing safe motherhood education to husbands resulted in further improvement of some indicators.']	(1392, 1491)
PMC2993657.nxml.gz	10	['There was a small but significant increase in percent of hospital deliveries but no impact on the use of skilled birth attendants.']	(1492, 1622)
PMC2993657.nxml.gz	11	['Perinatal mortality reduced significantly in clusters where only wives received information and education in safe motherhood.']	(1623, 1748)
PMC2993657.nxml.gz	12	['The survey to assess residual impact showed similar results.']	(1749, 1809)
PMC2993657.nxml.gz	13	['Conclusions\nWe conclude that providing safe motherhood education increased the probability of pregnant women having prenatal care and utilization of health services for obstetric complications.']	(1811, 2004)
PMC2993657.nxml.gz	14	['Background\nMore than sixty years after independence, Pakistan has shown very little improvement in the health status of its population and is lagging far behind its immediate neighbours (except Afghanistan) in terms of health and social indicators.']	(2006, 2254)
PMC2993657.nxml.gz	15	['Of particular concern is the lack of progress in maternal and child health (MCH).']	(2255, 2336)
PMC2993657.nxml.gz	16	["Results of the Demographic and Health Survey (DHS) indicate that progress in the MCH indicators over the past decade has remained slow and that Pakistan's prospects for meeting the Millennium Development Goals (MDGs) in MCH are bleak."]	(2337, 2571)
PMC2993657.nxml.gz	17	['The maternal mortality ratio (MMR) in Pakistan is estimated at 276 per 100,000 live births [1].']	(2572, 2667)
PMC2993657.nxml.gz	18	['The MMR is significantly higher in the rural areas and in the less developed province of Balochistan.']	(2668, 2769)
PMC2993657.nxml.gz	19	['Maternal mortality remains high in most developing countries though researchers recently have shown a decline from the 1990s [2-4].']	(2770, 2901)
PMC2993657.nxml.gz	20	['The number of maternal deaths worldwide is believed to range between 300,000 and 400,000 annually, 99.8% of them occurring in the developing countries [3].']	(2902, 3057)
PMC2993657.nxml.gz	21	['It is now recognized that progress toward achieving the fifth MDG in the developing countries is slower than anticipated.']	(3058, 3179)
PMC2993657.nxml.gz	22	['It has been argued that lack of involvement of communities in safe motherhood programs is an important reason for persistently high MMR in developing countries.']	(3180, 3340)
PMC2993657.nxml.gz	23	["Indeed, a closer look at the 'three delays' model [5] suggests that maternal mortality can be reduced by addressing the delays in decision-making to seek medical care for an obstetric complication and the delays in pre-hospital transportation."]	(3341, 3584)
PMC2993657.nxml.gz	24	['The reasons for the first delay (namely: lack of awareness of obstetric danger signs, cultural, social and economic barriers and possibly a lack of trust in the health system) can be addressed through behaviour change communication programs.']	(3585, 3826)
PMC2993657.nxml.gz	25	['Similarly, causes of the second delay (lack of access to transport and telecommunication, unfamiliarity with the health system, and financial and social barriers) can be addressed through community mobilization programs.']	(3827, 4047)
PMC2993657.nxml.gz	26	['Therefore, both of these delays could be reduced through community-based interventions (CBI) involving women and their husbands, the birth attendants and the community leaders.']	(4048, 4224)
PMC2993657.nxml.gz	27	['Regardless of these considerations, country-level evidence accumulated over the last two decades suggests that a reduction in maternal mortality can only be brought about by providing skilled birth attendance and access to emergency obstetric care.']	(4225, 4473)
PMC2993657.nxml.gz	28	['What, then, is the role of CBI in this complex problem of multiple dimensions?']	(4474, 4552)
PMC2993657.nxml.gz	29	['We address this question in the present paper.']	(4553, 4599)
PMC2993657.nxml.gz	30	['We also evaluate the impact of including husbands in the behaviour change communication programs for safe motherhood.']	(4600, 4717)
PMC2993657.nxml.gz	31	['Indirect evidence from descriptive studies shows that husbands play an important role in ensuring better pregnancy outcomes and maternal survival.']	(4718, 4864)
PMC2993657.nxml.gz	32	["A study in La Paz, Bolivia, found that husbands' knowledge of obstetric danger signs was associated with high utilization of obstetric care services by women [6]."]	(4865, 5027)
PMC2993657.nxml.gz	33	['A study in Maharashtra, India, estimated the risk of maternal death (after adjusting for income and place of residence) to be about three times higher among wives of uneducated men compared to women whose husbands had college education [7].']	(5028, 5268)
PMC2993657.nxml.gz	34	['Husbands are often the decision-makers when it comes to seeking medical care for obstetric complications, or to arrange for transportation.']	(5269, 5408)
PMC2993657.nxml.gz	35	['A study in Tanzania [8] found that husbands were responsible for making the decision to seek medical care in 66 out of 117 cases of maternal deaths that were investigated.']	(5409, 5580)
PMC2993657.nxml.gz	36	["In a study in Afghanistan, 87% of women had to obtain their husbands' permission before seeking medical care during pregnancy and delivery [9]."]	(5581, 5724)
PMC2993657.nxml.gz	37	["Husbands can help reduce maternal mortality and morbidity by: 1) Encouraging and facilitating their wives' use of prenatal care; 2) Ensuring better nutrition and rest for their wives during pregnancy and the postpartum period; 3) Arranging for a skilled birth attendant for delivering the baby; 4) Preparing for the possibility of obstetric emergencies by arranging transportation and finances; and 5) Reducing the delay in the decision to seek medical care in case of obstetric emergencies."]	(5725, 6216)
PMC2993657.nxml.gz	38	['In this paper, we present results from a community-based operations research project to reduce maternal and neonatal mortality in a remote rural district of Balochistan province of Pakistan.']	(6217, 6407)
PMC2993657.nxml.gz	39	['The project was designed to develop and implement a CBI package comprising information and education for empowerment and change (IEEC) for women and their husbands, training of birth attendants in early recognition of obstetric danger signs and providing telecommunication and transportation services for women in need of emergency obstetric and neonatal care (EmONC).']	(6408, 6776)
