	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END
0	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	Low	NNP	0	3
1	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	glycaemic	JJ	4	13
2	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	index	NN	14	19
3	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	diet	NN	20	24
4	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	in	IN	25	27
5	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	pregnancy	NN	28	37
6	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	to	TO	38	40
7	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	prevent	VB	41	48
8	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	macrosomia	NN	49	59
9	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	(	(	60	61
10	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	ROLO	NNP	61	65
11	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	study	NN	66	71
12	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	):	NNP	71	73
13	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	randomised	VBD	74	84
14	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	control	NN	85	92
15	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	trial	NN	93	98
16	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	Abstract	NNP	100	108
17	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	Objective	NNP	109	118
18	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	To	TO	119	121
19	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	determine	VB	122	131
20	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	if	IN	132	134
21	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	a	DT	135	136
22	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	low	JJ	137	140
23	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	glycaemic	JJ	141	150
24	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	index	NN	151	156
25	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	diet	NN	157	161
26	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	in	IN	162	164
27	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	pregnancy	NN	165	174
28	BMJ_2012_Aug_30_345_e5605.nxml.gz	BMJ_2012_Aug_30_345_e5605.nxml.gz_0	0	236	could	MD	175	180
