	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END
0	BMJ_2012_Jan_30_344_e184.nxml.gz	BMJ_2012_Jan_30_344_e184.nxml.gz_0	0	410	Effect	NN	0	6
1	BMJ_2012_Jan_30_344_e184.nxml.gz	BMJ_2012_Jan_30_344_e184.nxml.gz_0	0	410	of	IN	7	9
2	BMJ_2012_Jan_30_344_e184.nxml.gz	BMJ_2012_Jan_30_344_e184.nxml.gz_0	0	410	n	JJ	10	11
3	BMJ_2012_Jan_30_344_e184.nxml.gz	BMJ_2012_Jan_30_344_e184.nxml.gz_0	0	410	-	:	11	12
4	BMJ_2012_Jan_30_344_e184.nxml.gz	BMJ_2012_Jan_30_344_e184.nxml.gz_0	0	410	3	CD	12	13
5	BMJ_2012_Jan_30_344_e184.nxml.gz	BMJ_2012_Jan_30_344_e184.nxml.gz_0	0	410	long	RB	14	18
6	BMJ_2012_Jan_30_344_e184.nxml.gz	BMJ_2012_Jan_30_344_e184.nxml.gz_0	0	410	chain	NN	19	24
7	BMJ_2012_Jan_30_344_e184.nxml.gz	BMJ_2012_Jan_30_344_e184.nxml.gz_0	0	410	polyunsaturated	VBD	25	40
8	BMJ_2012_Jan_30_344_e184.nxml.gz	BMJ_2012_Jan_30_344_e184.nxml.gz_0	0	410	fatty	JJ	41	46
9	BMJ_2012_Jan_30_344_e184.nxml.gz	BMJ_2012_Jan_30_344_e184.nxml.gz_0	0	410	acid	JJ	47	51
10	BMJ_2012_Jan_30_344_e184.nxml.gz	BMJ_2012_Jan_30_344_e184.nxml.gz_0	0	410	supplementation	NN	52	67
11	BMJ_2012_Jan_30_344_e184.nxml.gz	BMJ_2012_Jan_30_344_e184.nxml.gz_0	0	410	in	IN	68	70
12	BMJ_2012_Jan_30_344_e184.nxml.gz	BMJ_2012_Jan_30_344_e184.nxml.gz_0	0	410	pregnancy	NN	71	80
13	BMJ_2012_Jan_30_344_e184.nxml.gz	BMJ_2012_Jan_30_344_e184.nxml.gz_0	0	410	on	IN	81	83
