	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END
0	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	Antenatal	JJ	0	9
1	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	lifestyle	JJ	10	19
2	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	advice	NN	20	26
3	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	for	IN	27	30
4	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	women	NNS	31	36
5	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	who	WP	37	40
6	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	are	VBP	41	44
7	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	overweight	JJ	45	55
8	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	or	CC	56	58
9	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	obese	JJ	59	64
10	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	:	:	64	65
11	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	LIMIT	NN	66	71
12	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	randomised	VBD	72	82
13	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	trial	NN	83	88
14	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	Abstract	NNP	90	98
15	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	Objective	NNP	99	108
16	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	To	TO	109	111
17	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	determine	VB	112	121
18	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	the	DT	122	125
19	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	effect	NN	126	132
20	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	of	IN	133	135
21	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	antenatal	JJ	136	145
22	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	dietary	JJ	146	153
23	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	and	CC	154	157
24	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	lifestyle	JJ	158	167
25	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	interventions	NNS	168	181
26	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	on	IN	182	184
27	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	health	NN	185	191
28	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	outcomes	NNS	192	200
29	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	in	IN	201	203
30	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	overweight	NN	204	214
31	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	and	CC	215	218
32	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	obese	JJ	219	224
33	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	pregnant	JJ	225	233
34	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	women	NNS	234	239
35	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_0	0	240	.	.	239	240
36	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_1	241	277	Design	NNP	241	247
37	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_1	241	277	Multicentre	NNP	248	259
38	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_1	241	277	randomised	VBD	260	270
39	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_1	241	277	trial	NN	271	276
40	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_1	241	277	.	.	276	277
41	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_2	278	468	We	PRP	278	280
42	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_2	278	468	utilised	VBD	281	289
43	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_2	278	468	a	DT	290	291
44	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_2	278	468	central	JJ	292	299
45	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_2	278	468	telephone	NN	300	309
46	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_2	278	468	randomisation	NN	310	323
47	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_2	278	468	server	NN	324	330
48	BMJ_2014_Feb_10_348_g1285.nxml.gz	BMJ_2014_Feb_10_348_g1285.nxml.gz_2	278	468	,	,	330	331
