TOTAL SENTENCE COUNT	327724
TOTAL IGNORANCE COUNT	182892

ARTICLE	TOTAL SENTENCE COUNT	TOTAL IGNORANCE COUNT
BMJ_2008_Nov_7_337_a2001.nxml.gz_sentence_info.txt	189	82
BMJ_2010_Apr_29_340_c1640.nxml.gz_sentence_info.txt	104	63
BMJ_2012_Aug_30_345_e5605.nxml.gz_sentence_info.txt	136	48
BMJ_2012_Jan_30_344_e184.nxml.gz_sentence_info.txt	126	43
BMJ_2012_May_17_344_e2088.nxml.gz_sentence_info.txt	184	109
BMJ_2014_Feb_10_348_g1285.nxml.gz_sentence_info.txt	107	38
PMC1074510.nxml.gz_sentence_info.txt	214	121
PMC1164414.nxml.gz_sentence_info.txt	88	45
PMC1168874.nxml.gz_sentence_info.txt	197	155
PMC1182379.nxml.gz_sentence_info.txt	115	94
PMC1184067.nxml.gz_sentence_info.txt	133	84
PMC1187906.nxml.gz_sentence_info.txt	138	96
PMC1247491.nxml.gz_sentence_info.txt	29	21
PMC1247630.nxml.gz_sentence_info.txt	22	13
PMC1252725.nxml.gz_sentence_info.txt	152	73
PMC1280409.nxml.gz_sentence_info.txt	162	102
PMC1281283.nxml.gz_sentence_info.txt	211	95
PMC1281295.nxml.gz_sentence_info.txt	325	182
PMC1361787.nxml.gz_sentence_info.txt	126	62
PMC1409785.nxml.gz_sentence_info.txt	107	53
PMC1448690.nxml.gz_sentence_info.txt	539	451
PMC1459875.nxml.gz_sentence_info.txt	120	64
PMC1474522.nxml.gz_sentence_info.txt	4	1
PMC1481554.nxml.gz_sentence_info.txt	130	56
PMC1533075.nxml.gz_sentence_info.txt	11	4
PMC1544352.nxml.gz_sentence_info.txt	165	71
PMC1592148.nxml.gz_sentence_info.txt	432	349
PMC1626394.nxml.gz_sentence_info.txt	23	10
PMC1626432.nxml.gz_sentence_info.txt	19	15
PMC1665416.nxml.gz_sentence_info.txt	253	122
PMC1764147.nxml.gz_sentence_info.txt	305	162
PMC1779612.nxml.gz_sentence_info.txt	88	55
PMC184457.nxml.gz_sentence_info.txt	98	36
PMC1852384.nxml.gz_sentence_info.txt	169	84
PMC1865559.nxml.gz_sentence_info.txt	59	52
PMC1868729.nxml.gz_sentence_info.txt	178	104
PMC1888711.nxml.gz_sentence_info.txt	148	112
PMC1913535.nxml.gz_sentence_info.txt	143	106
PMC1925082.nxml.gz_sentence_info.txt	117	50
PMC1937008.nxml.gz_sentence_info.txt	158	122
PMC1974834.nxml.gz_sentence_info.txt	125	45
PMC2009866.nxml.gz_sentence_info.txt	10	5
PMC2022638.nxml.gz_sentence_info.txt	234	114
PMC2022676.nxml.gz_sentence_info.txt	35	22
PMC2022678.nxml.gz_sentence_info.txt	223	97
PMC2098747.nxml.gz_sentence_info.txt	74	53
PMC2100429.nxml.gz_sentence_info.txt	169	96
PMC2148036.nxml.gz_sentence_info.txt	135	68
PMC2151954.nxml.gz_sentence_info.txt	215	136
PMC2231404.nxml.gz_sentence_info.txt	147	83
PMC2265032.nxml.gz_sentence_info.txt	29	16
PMC2265059.nxml.gz_sentence_info.txt	245	133
PMC2290983.nxml.gz_sentence_info.txt	218	95
PMC2290997.nxml.gz_sentence_info.txt	196	144
PMC2330139.nxml.gz_sentence_info.txt	141	76
PMC2359644.nxml.gz_sentence_info.txt	60	33
PMC2360554.nxml.gz_sentence_info.txt	64	27
PMC2364279.nxml.gz_sentence_info.txt	132	57
PMC2367669.nxml.gz_sentence_info.txt	26	21
PMC2367680.nxml.gz_sentence_info.txt	288	126
PMC2396486.nxml.gz_sentence_info.txt	137	62
PMC2405769.nxml.gz_sentence_info.txt	145	63
PMC2409299.nxml.gz_sentence_info.txt	158	86
PMC2430236.nxml.gz_sentence_info.txt	234	182
PMC2442189.nxml.gz_sentence_info.txt	167	90
PMC2516569.nxml.gz_sentence_info.txt	215	106
PMC2516588.nxml.gz_sentence_info.txt	25	11
PMC2516600.nxml.gz_sentence_info.txt	212	108
PMC2526009.nxml.gz_sentence_info.txt	256	134
PMC2529404.nxml.gz_sentence_info.txt	196	96
PMC2543024.nxml.gz_sentence_info.txt	158	120
PMC2570364.nxml.gz_sentence_info.txt	162	83
PMC2575191.nxml.gz_sentence_info.txt	88	40
PMC2581757.nxml.gz_sentence_info.txt	202	104
PMC2582131.nxml.gz_sentence_info.txt	130	80
PMC2595955.nxml.gz_sentence_info.txt	1	0
PMC2606998.nxml.gz_sentence_info.txt	128	72
PMC2621211.nxml.gz_sentence_info.txt	210	53
PMC2633366.nxml.gz_sentence_info.txt	130	116
PMC2639309.nxml.gz_sentence_info.txt	186	98
PMC2639364.nxml.gz_sentence_info.txt	120	58
PMC2639379.nxml.gz_sentence_info.txt	150	89
PMC2642759.nxml.gz_sentence_info.txt	352	223
PMC2644268.nxml.gz_sentence_info.txt	204	152
PMC2646054.nxml.gz_sentence_info.txt	197	82
PMC2658734.nxml.gz_sentence_info.txt	188	118
PMC2670501.nxml.gz_sentence_info.txt	201	114
PMC2671035.nxml.gz_sentence_info.txt	286	117
PMC2671168.nxml.gz_sentence_info.txt	242	144
PMC2671593.nxml.gz_sentence_info.txt	56	46
PMC2672359.nxml.gz_sentence_info.txt	121	84
PMC2672462.nxml.gz_sentence_info.txt	185	143
PMC2679409.nxml.gz_sentence_info.txt	730	423
PMC2681032.nxml.gz_sentence_info.txt	145	44
PMC2682672.nxml.gz_sentence_info.txt	137	82
PMC2685772.nxml.gz_sentence_info.txt	159	83
PMC2685863.nxml.gz_sentence_info.txt	19	17
PMC2687585.nxml.gz_sentence_info.txt	87	52
PMC2689221.nxml.gz_sentence_info.txt	192	154
PMC2704503.nxml.gz_sentence_info.txt	71	23
PMC2707610.nxml.gz_sentence_info.txt	324	120
PMC2716336.nxml.gz_sentence_info.txt	183	96
PMC2717130.nxml.gz_sentence_info.txt	172	92
PMC2721967.nxml.gz_sentence_info.txt	182	103
PMC2722408.nxml.gz_sentence_info.txt	156	145
PMC2722583.nxml.gz_sentence_info.txt	145	62
PMC2724426.nxml.gz_sentence_info.txt	207	77
PMC2726293.nxml.gz_sentence_info.txt	203	108
PMC2727050.nxml.gz_sentence_info.txt	164	87
PMC2738951.nxml.gz_sentence_info.txt	105	81
PMC2740662.nxml.gz_sentence_info.txt	182	109
PMC2749934.nxml.gz_sentence_info.txt	271	141
PMC2754030.nxml.gz_sentence_info.txt	131	69
PMC2756957.nxml.gz_sentence_info.txt	352	155
PMC2759448.nxml.gz_sentence_info.txt	176	99
PMC2764711.nxml.gz_sentence_info.txt	161	109
PMC2776230.nxml.gz_sentence_info.txt	143	98
PMC2777012.nxml.gz_sentence_info.txt	75	39
PMC2779500.nxml.gz_sentence_info.txt	350	185
PMC2780862.nxml.gz_sentence_info.txt	168	120
PMC2784897.nxml.gz_sentence_info.txt	1583	1073
PMC2798111.nxml.gz_sentence_info.txt	121	50
PMC2817394.nxml.gz_sentence_info.txt	106	32
PMC2821652.nxml.gz_sentence_info.txt	145	83
PMC2821904.nxml.gz_sentence_info.txt	167	84
PMC2822901.nxml.gz_sentence_info.txt	173	91
PMC2825206.nxml.gz_sentence_info.txt	108	75
PMC2825514.nxml.gz_sentence_info.txt	219	80
PMC2830165.nxml.gz_sentence_info.txt	156	92
PMC2831512.nxml.gz_sentence_info.txt	69	31
PMC2831604.nxml.gz_sentence_info.txt	190	162
PMC2831965.nxml.gz_sentence_info.txt	339	177
PMC2834346.nxml.gz_sentence_info.txt	62	31
PMC2841444.nxml.gz_sentence_info.txt	710	554
PMC2849017.nxml.gz_sentence_info.txt	264	176
PMC2850511.nxml.gz_sentence_info.txt	199	171
PMC2867001.nxml.gz_sentence_info.txt	236	161
PMC2872320.nxml.gz_sentence_info.txt	301	187
PMC2872349.nxml.gz_sentence_info.txt	153	126
PMC2873552.nxml.gz_sentence_info.txt	216	105
PMC2874300.nxml.gz_sentence_info.txt	16	11
PMC2874518.nxml.gz_sentence_info.txt	137	79
PMC2880107.nxml.gz_sentence_info.txt	109	42
PMC2880435.nxml.gz_sentence_info.txt	113	65
PMC2885310.nxml.gz_sentence_info.txt	165	86
PMC2888390.nxml.gz_sentence_info.txt	301	146
PMC2888576.nxml.gz_sentence_info.txt	383	198
PMC2888577.nxml.gz_sentence_info.txt	44	36
PMC2889879.nxml.gz_sentence_info.txt	222	119
PMC2898025.nxml.gz_sentence_info.txt	166	120
PMC2904854.nxml.gz_sentence_info.txt	226	119
PMC2907398.nxml.gz_sentence_info.txt	129	48
PMC2909243.nxml.gz_sentence_info.txt	152	51
PMC2913107.nxml.gz_sentence_info.txt	52	48
PMC2916909.nxml.gz_sentence_info.txt	204	101
PMC2922376.nxml.gz_sentence_info.txt	126	81
PMC2936567.nxml.gz_sentence_info.txt	254	138
PMC2939583.nxml.gz_sentence_info.txt	163	83
PMC2939651.nxml.gz_sentence_info.txt	204	106
PMC2940790.nxml.gz_sentence_info.txt	120	75
PMC2945165.nxml.gz_sentence_info.txt	143	78
