PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES
PMC2575191.nxml.gz	0	['Insulin sensitivity is normalized in the third generation (F3) offspring of developmentally programmed insulin resistant (F2) rats fed an energy-restricted diet\n\nAbstract\n\nBackground/Aims\nThe offspring and grandoffspring of female rats fed low protein diets during pregnancy and lactation, but fed nutritionally adequate diets thereafter, have been shown to exhibit altered insulin sensitivity in adulthood.']	(0, 407)
PMC2575191.nxml.gz	1	['The current study investigates the insulin sensitivity of the offspring and grandoffspring of female rats fed low protein diets during pregnancy, and then maintained on energy-restricted diets post weaning over three generations.']	(408, 637)
PMC2575191.nxml.gz	2	['Methods\nFemale Sprague Dawley rats (F0) were mated with control males and protein malnourished during pregnancy/lactation.']	(639, 761)
PMC2575191.nxml.gz	3	['F1 offspring were then weaned to adequate but energy-restricted diets into adulthood.']	(762, 847)
PMC2575191.nxml.gz	4	['F1 dams were fed energy-restricted diets throughout pregnancy/lactation.']	(848, 920)
PMC2575191.nxml.gz	5	['F2 offspring were also fed energy-restricted diets post weaning.']	(921, 985)
PMC2575191.nxml.gz	6	['F2 pregnant dams were maintained as described above.']	(986, 1038)
PMC2575191.nxml.gz	7	['Their F3 offspring were split into two groups; one was maintained on the energy-restricted diet, the other was maintained on an adequate diet consumed ad libitum post weaning.']	(1039, 1214)
PMC2575191.nxml.gz	8	['Results\nF2 animals fed energy-restricted diets were insulin resistant (p < 0.05), while the insulin sensitivity of their F3 offspring equaled and surpassed that of controls on both the energy-restricted and adequate ad libitum postweaning diets (p < 0.05).']	(1216, 1472)
PMC2575191.nxml.gz	9	['Conclusion\nMaternal energy-restriction did not consistently program reduced insulin sensitivity in offspring over three consecutive generations.']	(1474, 1618)
PMC2575191.nxml.gz	10	['The reasons for this remain unclear.']	(1619, 1655)
PMC2575191.nxml.gz	11	['It is possible that the intergenerational transmission of developmentally programmed insulin resistance is determined in part by the relative insulin sensitivity of the mother during pregnancy/lactation.']	(1656, 1859)
PMC2575191.nxml.gz	12	['Background\nAn increasing number of experimental animal studies have demonstrated the intergenerational effects of developmental programming on a variety of phenotypic traits, including birth weight, blood pressure, and glucose metabolism.']	(1861, 2099)
PMC2575191.nxml.gz	13	['While the investigation of the multigenerational effects of developmentally programmed traits is widening, very few studies have explored the potential for these traits to be transmitted beyond the second (F2) generation, or with post weaning diets other than adequate-control [1].']	(2100, 2381)
PMC2575191.nxml.gz	14	['A recent study reported that glucose metabolism is altered in the adequately-nourished offspring (F1 through F3 generation) of dams (F0) malnourished during gestation and lactation [2].']	(2382, 2567)
PMC2575191.nxml.gz	15	['Here we extend those findings with a pilot study examining the intergenerational effects of energy-restricted diets on developmentally programmed insulin sensitivity.']	(2568, 2734)
PMC2575191.nxml.gz	16	['As in previous studies, we found that the adult offspring (F1) of normal dams (F0) fed a low protein diet while pregnant and nursing were low birth weight and insulin sensitive, but that their adult offspring (F2) were less insulin sensitive than control animals.']	(2735, 2998)
PMC2575191.nxml.gz	17	["These animals (F1 and F2 generations) were maintained on a nutritionally adequate (i.e., standard 'control' chow) but energy-restricted diet (70% of control ad libitum consumption) throughout life."]	(2999, 3196)
