	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END
0	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	Effects	NNS	0	7
1	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	of	IN	8	10
2	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	interventions	NNS	11	24
3	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	in	IN	25	27
4	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	pregnancy	NN	28	37
5	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	on	IN	38	40
6	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	maternal	JJ	41	49
7	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	weight	NN	50	56
8	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	and	CC	57	60
9	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	obstetric	JJ	61	70
10	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	outcomes	NNS	71	79
11	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	:	:	79	80
12	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	meta	NN	81	85
13	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	-	:	85	86
14	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	analysis	NN	86	94
15	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	of	IN	95	97
16	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	randomised	JJ	98	108
17	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	evidence	NN	109	117
18	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	Abstract	NNP	119	127
19	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	Objective	NNP	128	137
20	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	To	TO	138	140
21	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	evaluate	VB	141	149
22	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	the	DT	150	153
23	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	effects	NNS	154	161
24	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	of	IN	162	164
25	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	dietary	JJ	165	172
26	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	and	CC	173	176
27	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	lifestyle	JJ	177	186
28	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	interventions	NNS	187	200
29	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	in	IN	201	203
30	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	pregnancy	NN	204	213
31	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	on	IN	214	216
32	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	maternal	JJ	217	225
33	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	and	CC	226	229
34	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	fetal	JJ	230	235
35	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	weight	NN	236	242
36	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	and	CC	243	246
37	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	to	TO	247	249
38	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	quantify	VB	250	258
39	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	the	DT	259	262
40	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	effects	NNS	263	270
41	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	of	IN	271	273
42	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	these	DT	274	279
43	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	interventions	NNS	280	293
44	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	on	IN	294	296
45	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	obstetric	JJ	297	306
46	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	outcomes	NNS	307	315
47	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_0	0	316	.	.	315	316
48	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_1	317	360	Design	NNP	317	323
49	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_1	317	360	Systematic	NNP	324	334
50	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_1	317	360	review	NN	335	341
51	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_1	317	360	and	CC	342	345
52	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_1	317	360	meta	NN	346	350
53	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_1	317	360	-	:	350	351
54	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_1	317	360	analysis	NN	351	359
55	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_1	317	360	.	.	359	360
56	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_2	361	451	Data	NNP	361	365
57	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_2	361	451	sources	NNS	366	373
58	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_2	361	451	Major	NNP	374	379
59	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_2	361	451	databases	NNS	380	389
60	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_2	361	451	from	IN	390	394
61	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_2	361	451	inception	NN	395	404
62	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_2	361	451	to	TO	405	407
63	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_2	361	451	January	NNP	408	415
64	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_2	361	451	2012	CD	416	420
65	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_2	361	451	without	IN	421	428
66	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_2	361	451	language	NN	429	437
67	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_2	361	451	restrictions	NNS	438	450
68	BMJ_2012_May_17_344_e2088.nxml.gz	BMJ_2012_May_17_344_e2088.nxml.gz_2	361	451	.	.	450	451
