PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	IGNORANCE TYPE	C_START	C_END	CONCEPT_MENTION_ID
PMC1974834	PMC1974834_0	[0]	[338]	['Effects of an antiatherogenic diet during pregnancy on markers of maternal and fetal endothelial activation and inflammation: the CARRDIP study\n\nAbstract\n\nObjective\nTo study the effect of an antiatherogenic diet on maternal and cord blood concentrations of systemic biomarkers of endothelial cell activation, haemostasis and inflammation.']	pregnancy	GO_BP	[42]	[51]	PMC1974834_T79
PMC1974834	PMC1974834_0	[0]	[338]	['Effects of an antiatherogenic diet during pregnancy on markers of maternal and fetal endothelial activation and inflammation: the CARRDIP study\n\nAbstract\n\nObjective\nTo study the effect of an antiatherogenic diet on maternal and cord blood concentrations of systemic biomarkers of endothelial cell activation, haemostasis and inflammation.']	endothelial	UBERON	[85]	[96]	PMC1974834_T277
PMC1974834	PMC1974834_0	[0]	[338]	['Effects of an antiatherogenic diet during pregnancy on markers of maternal and fetal endothelial activation and inflammation: the CARRDIP study\n\nAbstract\n\nObjective\nTo study the effect of an antiatherogenic diet on maternal and cord blood concentrations of systemic biomarkers of endothelial cell activation, haemostasis and inflammation.']	endothelial activation	GO_BP	[85]	[107]	PMC1974834_T80
PMC1974834	PMC1974834_0	[0]	[338]	['Effects of an antiatherogenic diet during pregnancy on markers of maternal and fetal endothelial activation and inflammation: the CARRDIP study\n\nAbstract\n\nObjective\nTo study the effect of an antiatherogenic diet on maternal and cord blood concentrations of systemic biomarkers of endothelial cell activation, haemostasis and inflammation.']	cord	UBERON	[228]	[232]	PMC1974834_T278
PMC1974834	PMC1974834_0	[0]	[338]	['Effects of an antiatherogenic diet during pregnancy on markers of maternal and fetal endothelial activation and inflammation: the CARRDIP study\n\nAbstract\n\nObjective\nTo study the effect of an antiatherogenic diet on maternal and cord blood concentrations of systemic biomarkers of endothelial cell activation, haemostasis and inflammation.']	blood	UBERON	[233]	[238]	PMC1974834_T279
PMC1974834	PMC1974834_0	[0]	[338]	['Effects of an antiatherogenic diet during pregnancy on markers of maternal and fetal endothelial activation and inflammation: the CARRDIP study\n\nAbstract\n\nObjective\nTo study the effect of an antiatherogenic diet on maternal and cord blood concentrations of systemic biomarkers of endothelial cell activation, haemostasis and inflammation.']	endothelial	UBERON	[280]	[291]	PMC1974834_T280
PMC1974834	PMC1974834_0	[0]	[338]	['Effects of an antiatherogenic diet during pregnancy on markers of maternal and fetal endothelial activation and inflammation: the CARRDIP study\n\nAbstract\n\nObjective\nTo study the effect of an antiatherogenic diet on maternal and cord blood concentrations of systemic biomarkers of endothelial cell activation, haemostasis and inflammation.']	endothelial cell	CL	[280]	[296]	PMC1974834_T76
PMC1974834	PMC1974834_0	[0]	[338]	['Effects of an antiatherogenic diet during pregnancy on markers of maternal and fetal endothelial activation and inflammation: the CARRDIP study\n\nAbstract\n\nObjective\nTo study the effect of an antiatherogenic diet on maternal and cord blood concentrations of systemic biomarkers of endothelial cell activation, haemostasis and inflammation.']	endothelial cell activation	GO_BP	[280]	[307]	PMC1974834_T81
PMC1974834	PMC1974834_0	[0]	[338]	['Effects of an antiatherogenic diet during pregnancy on markers of maternal and fetal endothelial activation and inflammation: the CARRDIP study\n\nAbstract\n\nObjective\nTo study the effect of an antiatherogenic diet on maternal and cord blood concentrations of systemic biomarkers of endothelial cell activation, haemostasis and inflammation.']	haemostasis	GO_BP	[309]	[320]	PMC1974834_T82
PMC1974834	PMC1974834_2	[401]	[491]	['Setting\nObstetric outpatient clinic and maternity unit of a university hospital in Norway.']	Obstetric	UBERON	[409]	[418]	PMC1974834_T281
PMC1974834	PMC1974834_3	[493]	[624]	['Population\nNonsmoking pregnant women aged 21–38 years carrying a single fetus and with no previous pregnancy-related complications.']	pregnant	GO_BP	[515]	[523]	PMC1974834_T83
PMC1974834	PMC1974834_3	[493]	[624]	['Population\nNonsmoking pregnant women aged 21–38 years carrying a single fetus and with no previous pregnancy-related complications.']	pregnancy	GO_BP	[592]	[601]	PMC1974834_T84
PMC1974834	PMC1974834_4	[626]	[792]	['Methods\nSubjects ( n = 290) were randomised to continue their usual diet or to adopt a diet low in saturated fat and cholesterol from gestational week 17–20 to birth.']	saturated	CHEBI	[725]	[734]	PMC1974834_T0
PMC1974834	PMC1974834_4	[626]	[792]	['Methods\nSubjects ( n = 290) were randomised to continue their usual diet or to adopt a diet low in saturated fat and cholesterol from gestational week 17–20 to birth.']	cholesterol	CHEBI	[743]	[754]	PMC1974834_T1
PMC1974834	PMC1974834_4	[626]	[792]	['Methods\nSubjects ( n = 290) were randomised to continue their usual diet or to adopt a diet low in saturated fat and cholesterol from gestational week 17–20 to birth.']	gestational	GO_BP	[760]	[771]	PMC1974834_T85
PMC1974834	PMC1974834_4	[626]	[792]	['Methods\nSubjects ( n = 290) were randomised to continue their usual diet or to adopt a diet low in saturated fat and cholesterol from gestational week 17–20 to birth.']	birth	GO_BP	[786]	[791]	PMC1974834_T86
PMC1974834	PMC1974834_5	[793]	[989]	['Soluble forms of cellular adhesion molecules, high-sensitivity C-reactive protein (CRP) and haemostatic markers were measured at 17–20 weeks of gestation (baseline) and subsequently up to week 36.']	molecules	CHEBI	[828]	[837]	PMC1974834_T2
PMC1974834	PMC1974834_5	[793]	[989]	['Soluble forms of cellular adhesion molecules, high-sensitivity C-reactive protein (CRP) and haemostatic markers were measured at 17–20 weeks of gestation (baseline) and subsequently up to week 36.']	high-sensitivity	PR	[839]	[855]	PMC1974834_T206
