PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	IGNORANCE TYPE	C_START	C_END	CONCEPT_MENTION_ID
BMJ_2010_Apr_29_340_c1640	BMJ_2010_Apr_29_340_c1640_0	[0]	[262]	['Low maternal exposure to ultraviolet radiation in pregnancy, month of birth, and risk of multiple sclerosis in offspring: longitudinal analysis\n\nAbstract\nObjectives To investigate the distribution of month of birth in people with multiple sclerosis in Australia.']	ultraviolet radiation	CHEBI_EXT	[25]	[46]	BMJ_2010_Apr_29_340_c1640_T0
BMJ_2010_Apr_29_340_c1640	BMJ_2010_Apr_29_340_c1640_0	[0]	[262]	['Low maternal exposure to ultraviolet radiation in pregnancy, month of birth, and risk of multiple sclerosis in offspring: longitudinal analysis\n\nAbstract\nObjectives To investigate the distribution of month of birth in people with multiple sclerosis in Australia.']	pregnancy	GO_BP_EXT	[50]	[59]	BMJ_2010_Apr_29_340_c1640_T92
BMJ_2010_Apr_29_340_c1640	BMJ_2010_Apr_29_340_c1640_0	[0]	[262]	['Low maternal exposure to ultraviolet radiation in pregnancy, month of birth, and risk of multiple sclerosis in offspring: longitudinal analysis\n\nAbstract\nObjectives To investigate the distribution of month of birth in people with multiple sclerosis in Australia.']	birth	GO_BP_EXT	[70]	[75]	BMJ_2010_Apr_29_340_c1640_T93
BMJ_2010_Apr_29_340_c1640	BMJ_2010_Apr_29_340_c1640_0	[0]	[262]	['Low maternal exposure to ultraviolet radiation in pregnancy, month of birth, and risk of multiple sclerosis in offspring: longitudinal analysis\n\nAbstract\nObjectives To investigate the distribution of month of birth in people with multiple sclerosis in Australia.']	birth	GO_BP_EXT	[209]	[214]	BMJ_2010_Apr_29_340_c1640_T94
BMJ_2010_Apr_29_340_c1640	BMJ_2010_Apr_29_340_c1640_0	[0]	[262]	['Low maternal exposure to ultraviolet radiation in pregnancy, month of birth, and risk of multiple sclerosis in offspring: longitudinal analysis\n\nAbstract\nObjectives To investigate the distribution of month of birth in people with multiple sclerosis in Australia.']	people	NCBITAXON_EXT	[218]	[224]	BMJ_2010_Apr_29_340_c1640_T264
BMJ_2010_Apr_29_340_c1640	BMJ_2010_Apr_29_340_c1640_1	[263]	[499]	['To use the large regional and seasonal variation in ambient ultraviolet radiation in Australia to explore the association between exposure to ultraviolet radiation during pregnancy and subsequent risk of multiple sclerosis in offspring.']	ultraviolet	CHEBI_EXT	[323]	[334]	BMJ_2010_Apr_29_340_c1640_T1
BMJ_2010_Apr_29_340_c1640	BMJ_2010_Apr_29_340_c1640_1	[263]	[499]	['To use the large regional and seasonal variation in ambient ultraviolet radiation in Australia to explore the association between exposure to ultraviolet radiation during pregnancy and subsequent risk of multiple sclerosis in offspring.']	ultraviolet radiation	CHEBI_EXT	[405]	[426]	BMJ_2010_Apr_29_340_c1640_T2
BMJ_2010_Apr_29_340_c1640	BMJ_2010_Apr_29_340_c1640_1	[263]	[499]	['To use the large regional and seasonal variation in ambient ultraviolet radiation in Australia to explore the association between exposure to ultraviolet radiation during pregnancy and subsequent risk of multiple sclerosis in offspring.']	pregnancy	GO_BP_EXT	[434]	[443]	BMJ_2010_Apr_29_340_c1640_T95
BMJ_2010_Apr_29_340_c1640	BMJ_2010_Apr_29_340_c1640_2	[500]	[752]	['Design Data were gathered on birth month and year (1920-1950), sex, and state of birth for all patients surveyed in 1981 in Queensland, Western Australia, New South Wales (including Australian Capital Territory), South Australia, and Hobart (Tasmania).']	birth	GO_BP_EXT	[529]	[534]	BMJ_2010_Apr_29_340_c1640_T96
BMJ_2010_Apr_29_340_c1640	BMJ_2010_Apr_29_340_c1640_2	[500]	[752]	['Design Data were gathered on birth month and year (1920-1950), sex, and state of birth for all patients surveyed in 1981 in Queensland, Western Australia, New South Wales (including Australian Capital Territory), South Australia, and Hobart (Tasmania).']	birth	GO_BP_EXT	[581]	[586]	BMJ_2010_Apr_29_340_c1640_T97
