PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	IGNORANCE TYPE	C_START	C_END	CONCEPT_MENTION_ID
BMJ_2014_Feb_10_348_g1285	BMJ_2014_Feb_10_348_g1285_0	[0]	[240]	['Antenatal lifestyle advice for women who are overweight or obese: LIMIT randomised trial\n\nAbstract\nObjective To determine the effect of antenatal dietary and lifestyle interventions on health outcomes in overweight and obese pregnant women.']	women	NCBITAXON_EXT	[31]	[36]	BMJ_2014_Feb_10_348_g1285_T225
BMJ_2014_Feb_10_348_g1285	BMJ_2014_Feb_10_348_g1285_0	[0]	[240]	['Antenatal lifestyle advice for women who are overweight or obese: LIMIT randomised trial\n\nAbstract\nObjective To determine the effect of antenatal dietary and lifestyle interventions on health outcomes in overweight and obese pregnant women.']	women	UBERON_EXT	[31]	[36]	BMJ_2014_Feb_10_348_g1285_T291
BMJ_2014_Feb_10_348_g1285	BMJ_2014_Feb_10_348_g1285_0	[0]	[240]	['Antenatal lifestyle advice for women who are overweight or obese: LIMIT randomised trial\n\nAbstract\nObjective To determine the effect of antenatal dietary and lifestyle interventions on health outcomes in overweight and obese pregnant women.']	antenatal	GO_BP_EXT	[136]	[145]	BMJ_2014_Feb_10_348_g1285_T28
BMJ_2014_Feb_10_348_g1285	BMJ_2014_Feb_10_348_g1285_0	[0]	[240]	['Antenatal lifestyle advice for women who are overweight or obese: LIMIT randomised trial\n\nAbstract\nObjective To determine the effect of antenatal dietary and lifestyle interventions on health outcomes in overweight and obese pregnant women.']	pregnant	GO_BP_EXT	[225]	[233]	BMJ_2014_Feb_10_348_g1285_T29
BMJ_2014_Feb_10_348_g1285	BMJ_2014_Feb_10_348_g1285_0	[0]	[240]	['Antenatal lifestyle advice for women who are overweight or obese: LIMIT randomised trial\n\nAbstract\nObjective To determine the effect of antenatal dietary and lifestyle interventions on health outcomes in overweight and obese pregnant women.']	women	NCBITAXON_EXT	[234]	[239]	BMJ_2014_Feb_10_348_g1285_T226
BMJ_2014_Feb_10_348_g1285	BMJ_2014_Feb_10_348_g1285_2	[278]	[468]	['We utilised a central telephone randomisation server, with computer generated schedule, balanced variable blocks, and stratification for parity, body mass index (BMI) category, and hospital.']	body	UBERON_EXT	[423]	[427]	BMJ_2014_Feb_10_348_g1285_T292
BMJ_2014_Feb_10_348_g1285	BMJ_2014_Feb_10_348_g1285_4	[534]	[638]	['Participants 2212 women with a singleton pregnancy, between 10+0 and 20+0 weeks’ gestation, and BMI ≥25.']	women	NCBITAXON_EXT	[552]	[557]	BMJ_2014_Feb_10_348_g1285_T227
BMJ_2014_Feb_10_348_g1285	BMJ_2014_Feb_10_348_g1285_4	[534]	[638]	['Participants 2212 women with a singleton pregnancy, between 10+0 and 20+0 weeks’ gestation, and BMI ≥25.']	pregnancy	GO_BP_EXT	[575]	[584]	BMJ_2014_Feb_10_348_g1285_T30
BMJ_2014_Feb_10_348_g1285	BMJ_2014_Feb_10_348_g1285_4	[534]	[638]	['Participants 2212 women with a singleton pregnancy, between 10+0 and 20+0 weeks’ gestation, and BMI ≥25.']	gestation	GO_BP_EXT	[615]	[624]	BMJ_2014_Feb_10_348_g1285_T31
BMJ_2014_Feb_10_348_g1285	BMJ_2014_Feb_10_348_g1285_5	[639]	[899]	['Interventions 1108 women were randomised to a comprehensive dietary and lifestyle intervention delivered by research staff; 1104 were randomised to standard care and received pregnancy care according to local guidelines, which did not include such information.']	women	NCBITAXON_EXT	[658]	[663]	BMJ_2014_Feb_10_348_g1285_T228
