PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	IGNORANCE TYPE	C_START	C_END	CONCEPT_MENTION_ID
PMC1074510	PMC1074510_0	[0]	[69]	['The primary prevention of birth defects: Multivitamins or folic acid?']	birth	GO_BP_EXT	[26]	[31]	PMC1074510_T158
PMC1074510	PMC1074510_0	[0]	[69]	['The primary prevention of birth defects: Multivitamins or folic acid?']	folic acid	CHEBI_EXT	[58]	[68]	PMC1074510_T0
PMC1074510	PMC1074510_1	[71]	[215]	['Abstract\nPericonceptional use of folic acid alone or in multivitamin supplements is effective for the primary prevention of neural-tube defects.']	folic acid	CHEBI_EXT	[104]	[114]	PMC1074510_T1
PMC1074510	PMC1074510_1	[71]	[215]	['Abstract\nPericonceptional use of folic acid alone or in multivitamin supplements is effective for the primary prevention of neural-tube defects.']	neural-tube	UBERON_EXT	[195]	[206]	PMC1074510_T293
PMC1074510	PMC1074510_2	[216]	[402]	['The Hungarian randomized and two-cohort controlled trials showed that periconceptional multivitamin supplementation can reduce the occurrence of some other structural birth defects, i.e.']	multivitamin	CHEBI_EXT	[303]	[315]	PMC1074510_T2
PMC1074510	PMC1074510_2	[216]	[402]	['The Hungarian randomized and two-cohort controlled trials showed that periconceptional multivitamin supplementation can reduce the occurrence of some other structural birth defects, i.e.']	birth	GO_BP_EXT	[383]	[388]	PMC1074510_T159
PMC1074510	PMC1074510_6	[556]	[658]	['The first one is whether the use of folic acid alone or folic acid-containing multivitamins is better.']	folic acid	CHEBI_EXT	[592]	[602]	PMC1074510_T3
PMC1074510	PMC1074510_6	[556]	[658]	['The first one is whether the use of folic acid alone or folic acid-containing multivitamins is better.']	folic acid	CHEBI_EXT	[612]	[622]	PMC1074510_T4
PMC1074510	PMC1074510_7	[659]	[744]	['The second one is connected with the dilemma of whether high dose of folic acid (e.g.']	folic acid	CHEBI_EXT	[728]	[738]	PMC1074510_T5
PMC1074510	PMC1074510_8	[745]	[825]	['5 mg) might be better than a daily multivitamin with 0.4 – 0.8 mg of folic acid.']	multivitamin	CHEBI_EXT	[780]	[792]	PMC1074510_T6
PMC1074510	PMC1074510_8	[745]	[825]	['5 mg) might be better than a daily multivitamin with 0.4 – 0.8 mg of folic acid.']	folic acid	CHEBI_EXT	[814]	[824]	PMC1074510_T7
PMC1074510	PMC1074510_9	[826]	[1095]	['Comparison of the pooled data of two Hungarian trials using a multivitamin containing 0.8 mg folic acid and the data of the Hungarian Case-Control Surveillance of Congenital Abnormalities using high dose of folic acid seemed to be appropriate to answer these questions.']	multivitamin	CHEBI_EXT	[888]	[900]	PMC1074510_T8
PMC1074510	PMC1074510_9	[826]	[1095]	['Comparison of the pooled data of two Hungarian trials using a multivitamin containing 0.8 mg folic acid and the data of the Hungarian Case-Control Surveillance of Congenital Abnormalities using high dose of folic acid seemed to be appropriate to answer these questions.']	folic acid	CHEBI_EXT	[919]	[929]	PMC1074510_T9
PMC1074510	PMC1074510_9	[826]	[1095]	['Comparison of the pooled data of two Hungarian trials using a multivitamin containing 0.8 mg folic acid and the data of the Hungarian Case-Control Surveillance of Congenital Abnormalities using high dose of folic acid seemed to be appropriate to answer these questions.']	folic acid	CHEBI_EXT	[1033]	[1043]	PMC1074510_T10
PMC1074510	PMC1074510_10	[1096]	[1238]	['Multivitamins containing 0.4 – 0.8 mg of folic acid were more effective for the reduction of neural-tube defects than high dose of folic acid.']	folic acid	CHEBI_EXT	[1137]	[1147]	PMC1074510_T11
PMC1074510	PMC1074510_10	[1096]	[1238]	['Multivitamins containing 0.4 – 0.8 mg of folic acid were more effective for the reduction of neural-tube defects than high dose of folic acid.']	neural-tube	UBERON_EXT	[1189]	[1200]	PMC1074510_T294
PMC1074510	PMC1074510_10	[1096]	[1238]	['Multivitamins containing 0.4 – 0.8 mg of folic acid were more effective for the reduction of neural-tube defects than high dose of folic acid.']	folic acid	CHEBI_EXT	[1227]	[1237]	PMC1074510_T12
PMC1074510	PMC1074510_11	[1239]	[1338]	['Both multivitamins and folic acid can prevent some part of congenital cardiovascular malformations.']	multivitamins	CHEBI_EXT	[1244]	[1257]	PMC1074510_T13
PMC1074510	PMC1074510_11	[1239]	[1338]	['Both multivitamins and folic acid can prevent some part of congenital cardiovascular malformations.']	folic acid	CHEBI_EXT	[1262]	[1272]	PMC1074510_T14
PMC1074510	PMC1074510_11	[1239]	[1338]	['Both multivitamins and folic acid can prevent some part of congenital cardiovascular malformations.']	cardiovascular	UBERON_EXT	[1309]	[1323]	PMC1074510_T295
PMC1074510	PMC1074510_12	[1339]	[1493]	['Only multivitamins were able to reduce the prevalence at birth of obstructive defects of urinary tract, limb deficiencies and congenital pyloric stenosis.']	multivitamins	CHEBI_EXT	[1344]	[1357]	PMC1074510_T15
PMC1074510	PMC1074510_12	[1339]	[1493]	['Only multivitamins were able to reduce the prevalence at birth of obstructive defects of urinary tract, limb deficiencies and congenital pyloric stenosis.']	birth	GO_BP_EXT	[1396]	[1401]	PMC1074510_T160
PMC1074510	PMC1074510_12	[1339]	[1493]	['Only multivitamins were able to reduce the prevalence at birth of obstructive defects of urinary tract, limb deficiencies and congenital pyloric stenosis.']	urinary tract	UBERON_EXT	[1428]	[1441]	PMC1074510_T296
PMC1074510	PMC1074510_12	[1339]	[1493]	['Only multivitamins were able to reduce the prevalence at birth of obstructive defects of urinary tract, limb deficiencies and congenital pyloric stenosis.']	limb	UBERON_EXT	[1443]	[1447]	PMC1074510_T297
PMC1074510	PMC1074510_13	[1494]	[1660]	['However, folic acid was effective in preventing some part of rectal/anal stenosis/atresia, and high dose of folic acid had effect in preventing some orofacial clefts.']	folic acid	CHEBI_EXT	[1503]	[1513]	PMC1074510_T16
PMC1074510	PMC1074510_13	[1494]	[1660]	['However, folic acid was effective in preventing some part of rectal/anal stenosis/atresia, and high dose of folic acid had effect in preventing some orofacial clefts.']	rectal	UBERON_EXT	[1555]	[1561]	PMC1074510_T298
PMC1074510	PMC1074510_13	[1494]	[1660]	['However, folic acid was effective in preventing some part of rectal/anal stenosis/atresia, and high dose of folic acid had effect in preventing some orofacial clefts.']	anal	UBERON_EXT	[1562]	[1566]	PMC1074510_T299
