PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	IGNORANCE TYPE	C_START	C_END	CONCEPT_MENTION_ID
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_0	[0]	[450]	['Impact of micronutrient supplementation during pregnancy on birth weight, duration of gestation, and perinatal mortality in rural western China: double blind cluster randomised controlled trial\n\nAbstract\nObjective To examine the impact of antenatal supplementation with multiple micronutrients or iron and folic acid compared with folic acid alone on birth weight, duration of gestation, and maternal haemoglobin concentration in the third trimester.']	Impact	SUPERFICIAL_RELATIONSHIP	[0]	[6]	BMJ_2008_Nov_7_337_a2001_T97
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_0	[0]	[450]	['Impact of micronutrient supplementation during pregnancy on birth weight, duration of gestation, and perinatal mortality in rural western China: double blind cluster randomised controlled trial\n\nAbstract\nObjective To examine the impact of antenatal supplementation with multiple micronutrients or iron and folic acid compared with folic acid alone on birth weight, duration of gestation, and maternal haemoglobin concentration in the third trimester.']	To examine	QUESTION_ANSWERED_BY_THIS_WORK	[214]	[224]	BMJ_2008_Nov_7_337_a2001_T226
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_0	[0]	[450]	['Impact of micronutrient supplementation during pregnancy on birth weight, duration of gestation, and perinatal mortality in rural western China: double blind cluster randomised controlled trial\n\nAbstract\nObjective To examine the impact of antenatal supplementation with multiple micronutrients or iron and folic acid compared with folic acid alone on birth weight, duration of gestation, and maternal haemoglobin concentration in the third trimester.']	impact	SUPERFICIAL_RELATIONSHIP	[229]	[235]	BMJ_2008_Nov_7_337_a2001_T98
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_9	[1312]	[1459]	['Iron-folic acid was associated with a significantly reduced risk of early preterm delivery (<34 weeks) (relative risk 0.50, 0.27 to 0.94, P=0.031).']	associated	SUPERFICIAL_RELATIONSHIP	[1332]	[1342]	BMJ_2008_Nov_7_337_a2001_T99
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_11	[1683]	[1898]	['In post hoc analyses there were no significant differences for perinatal mortality, but iron-folic acid was associated with a significantly reduced early neonatal mortality by 54% (relative risk 0.46, 0.21 to 0.98).']	but	ANOMALY_CURIOUS_FINDING	[1767]	[1770]	BMJ_2008_Nov_7_337_a2001_T172
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_11	[1683]	[1898]	['In post hoc analyses there were no significant differences for perinatal mortality, but iron-folic acid was associated with a significantly reduced early neonatal mortality by 54% (relative risk 0.46, 0.21 to 0.98).']	associated	SUPERFICIAL_RELATIONSHIP	[1791]	[1801]	BMJ_2008_Nov_7_337_a2001_T100
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_12	[1899]	[2093]	['Conclusion In rural populations in China antenatal supplementation with iron-folic acid was associated with longer gestation and a reduction in early neonatal mortality compared with folic acid.']	associated	SUPERFICIAL_RELATIONSHIP	[1991]	[2001]	BMJ_2008_Nov_7_337_a2001_T101
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_13	[2094]	[2291]	['Multiple micronutrients were associated with modestly increased birth weight compared with folic acid, but, despite this weight gain, there was no significant reduction in early neonatal mortality.']	associated	SUPERFICIAL_RELATIONSHIP	[2123]	[2133]	BMJ_2008_Nov_7_337_a2001_T102
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_13	[2094]	[2291]	['Multiple micronutrients were associated with modestly increased birth weight compared with folic acid, but, despite this weight gain, there was no significant reduction in early neonatal mortality.']	but	ANOMALY_CURIOUS_FINDING	[2197]	[2200]	BMJ_2008_Nov_7_337_a2001_T173
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_13	[2094]	[2291]	['Multiple micronutrients were associated with modestly increased birth weight compared with folic acid, but, despite this weight gain, there was no significant reduction in early neonatal mortality.']	despite	ANOMALY_CURIOUS_FINDING	[2202]	[2209]	BMJ_2008_Nov_7_337_a2001_T174
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_14	[2292]	[2430]	['Pregnant women in developing countries need sufficient doses of iron in nutrient supplements to maximise reductions in neonatal mortality.']	need	IMPORTANT_CONSIDERATION	[2331]	[2335]	BMJ_2008_Nov_7_337_a2001_T153
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_14	[2292]	[2430]	['Pregnant women in developing countries need sufficient doses of iron in nutrient supplements to maximise reductions in neonatal mortality.']	sufficient	IMPORTANT_CONSIDERATION	[2336]	[2346]	BMJ_2008_Nov_7_337_a2001_T154
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_16	[2467]	[3805]	['Introduction\nNeonatal deaths contribute greatly to child mortality in developing countries, and these deaths have steadily increased as a percentage of all deaths of children under the age of 5.12In China, by 2004 neonatal mortality accounted for more than half of all deaths in children under 5.3Low birthweight babies are at higher risk of morbidity and mortality than those of normal birth weight4and are also at risk of postnatal growth retardation, with possible adverse long term effects on their physical and cognitive development.56One of the major causes of low birth weight in developing countries is the poor nutritional status of the mother before and during pregnancy, resulting in restricted fetal growth especially during the third trimester.7\nPoor quality diet and inadequate intake, combined with increased nutrient requirements for placental and fetal growth, can lead to multiple micronutrient deficiencies in pregnancy and contribute to higher rates of low birth weight.8To address these multiple deficiency states Unicef has proposed the use of multiple micronutrient supplements in pregnancy that provide the recommended individual intakes for pregnant women.9\nChina is the most populated developing country in the world, and the prevalence of low birth weight varies across different socioeconomic groups and areas.']	contribute	SUPERFICIAL_RELATIONSHIP	[2496]	[2506]	BMJ_2008_Nov_7_337_a2001_T103
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_16	[2467]	[3805]	['Introduction\nNeonatal deaths contribute greatly to child mortality in developing countries, and these deaths have steadily increased as a percentage of all deaths of children under the age of 5.12In China, by 2004 neonatal mortality accounted for more than half of all deaths in children under 5.3Low birthweight babies are at higher risk of morbidity and mortality than those of normal birth weight4and are also at risk of postnatal growth retardation, with possible adverse long term effects on their physical and cognitive development.56One of the major causes of low birth weight in developing countries is the poor nutritional status of the mother before and during pregnancy, resulting in restricted fetal growth especially during the third trimester.7\nPoor quality diet and inadequate intake, combined with increased nutrient requirements for placental and fetal growth, can lead to multiple micronutrient deficiencies in pregnancy and contribute to higher rates of low birth weight.8To address these multiple deficiency states Unicef has proposed the use of multiple micronutrient supplements in pregnancy that provide the recommended individual intakes for pregnant women.9\nChina is the most populated developing country in the world, and the prevalence of low birth weight varies across different socioeconomic groups and areas.']	risk	IMPORTANT_CONSIDERATION	[2801]	[2805]	BMJ_2008_Nov_7_337_a2001_T155
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_16	[2467]	[3805]	['Introduction\nNeonatal deaths contribute greatly to child mortality in developing countries, and these deaths have steadily increased as a percentage of all deaths of children under the age of 5.12In China, by 2004 neonatal mortality accounted for more than half of all deaths in children under 5.3Low birthweight babies are at higher risk of morbidity and mortality than those of normal birth weight4and are also at risk of postnatal growth retardation, with possible adverse long term effects on their physical and cognitive development.56One of the major causes of low birth weight in developing countries is the poor nutritional status of the mother before and during pregnancy, resulting in restricted fetal growth especially during the third trimester.7\nPoor quality diet and inadequate intake, combined with increased nutrient requirements for placental and fetal growth, can lead to multiple micronutrient deficiencies in pregnancy and contribute to higher rates of low birth weight.8To address these multiple deficiency states Unicef has proposed the use of multiple micronutrient supplements in pregnancy that provide the recommended individual intakes for pregnant women.9\nChina is the most populated developing country in the world, and the prevalence of low birth weight varies across different socioeconomic groups and areas.']	at risk	IMPORTANT_CONSIDERATION	[2880]	[2887]	BMJ_2008_Nov_7_337_a2001_T156
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_16	[2467]	[3805]	['Introduction\nNeonatal deaths contribute greatly to child mortality in developing countries, and these deaths have steadily increased as a percentage of all deaths of children under the age of 5.12In China, by 2004 neonatal mortality accounted for more than half of all deaths in children under 5.3Low birthweight babies are at higher risk of morbidity and mortality than those of normal birth weight4and are also at risk of postnatal growth retardation, with possible adverse long term effects on their physical and cognitive development.56One of the major causes of low birth weight in developing countries is the poor nutritional status of the mother before and during pregnancy, resulting in restricted fetal growth especially during the third trimester.7\nPoor quality diet and inadequate intake, combined with increased nutrient requirements for placental and fetal growth, can lead to multiple micronutrient deficiencies in pregnancy and contribute to higher rates of low birth weight.8To address these multiple deficiency states Unicef has proposed the use of multiple micronutrient supplements in pregnancy that provide the recommended individual intakes for pregnant women.9\nChina is the most populated developing country in the world, and the prevalence of low birth weight varies across different socioeconomic groups and areas.']	possible	INCOMPLETE_EVIDENCE	[2926]	[2934]	BMJ_2008_Nov_7_337_a2001_T6
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_16	[2467]	[3805]	['Introduction\nNeonatal deaths contribute greatly to child mortality in developing countries, and these deaths have steadily increased as a percentage of all deaths of children under the age of 5.12In China, by 2004 neonatal mortality accounted for more than half of all deaths in children under 5.3Low birthweight babies are at higher risk of morbidity and mortality than those of normal birth weight4and are also at risk of postnatal growth retardation, with possible adverse long term effects on their physical and cognitive development.56One of the major causes of low birth weight in developing countries is the poor nutritional status of the mother before and during pregnancy, resulting in restricted fetal growth especially during the third trimester.7\nPoor quality diet and inadequate intake, combined with increased nutrient requirements for placental and fetal growth, can lead to multiple micronutrient deficiencies in pregnancy and contribute to higher rates of low birth weight.8To address these multiple deficiency states Unicef has proposed the use of multiple micronutrient supplements in pregnancy that provide the recommended individual intakes for pregnant women.9\nChina is the most populated developing country in the world, and the prevalence of low birth weight varies across different socioeconomic groups and areas.']	effects	SUPERFICIAL_RELATIONSHIP	[2953]	[2960]	BMJ_2008_Nov_7_337_a2001_T104
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_16	[2467]	[3805]	['Introduction\nNeonatal deaths contribute greatly to child mortality in developing countries, and these deaths have steadily increased as a percentage of all deaths of children under the age of 5.12In China, by 2004 neonatal mortality accounted for more than half of all deaths in children under 5.3Low birthweight babies are at higher risk of morbidity and mortality than those of normal birth weight4and are also at risk of postnatal growth retardation, with possible adverse long term effects on their physical and cognitive development.56One of the major causes of low birth weight in developing countries is the poor nutritional status of the mother before and during pregnancy, resulting in restricted fetal growth especially during the third trimester.7\nPoor quality diet and inadequate intake, combined with increased nutrient requirements for placental and fetal growth, can lead to multiple micronutrient deficiencies in pregnancy and contribute to higher rates of low birth weight.8To address these multiple deficiency states Unicef has proposed the use of multiple micronutrient supplements in pregnancy that provide the recommended individual intakes for pregnant women.9\nChina is the most populated developing country in the world, and the prevalence of low birth weight varies across different socioeconomic groups and areas.']	major	IMPORTANT_CONSIDERATION	[3018]	[3023]	BMJ_2008_Nov_7_337_a2001_T157
