PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	IGNORANCE TYPE	C_START	C_END	CONCEPT_MENTION_ID
PMC1448690	PMC1448690_0	[0]	[330]	['Too clean, or not too clean: the Hygiene Hypothesis and home hygiene\n\nAbstractSummary\nThe ‘hygiene hypothesis’ as originally formulated by Strachan, proposes that a cause of the recent rapid rise in atopic disorders could be a lower incidence of infection in early childhood, transmitted by unhygienic contact with older siblings.']	hypothesis	INCOMPLETE_EVIDENCE	[99]	[109]	PMC1448690_T42
PMC1448690	PMC1448690_0	[0]	[330]	['Too clean, or not too clean: the Hygiene Hypothesis and home hygiene\n\nAbstractSummary\nThe ‘hygiene hypothesis’ as originally formulated by Strachan, proposes that a cause of the recent rapid rise in atopic disorders could be a lower incidence of infection in early childhood, transmitted by unhygienic contact with older siblings.']	proposes	INCOMPLETE_EVIDENCE	[149]	[157]	PMC1448690_T43
PMC1448690	PMC1448690_0	[0]	[330]	['Too clean, or not too clean: the Hygiene Hypothesis and home hygiene\n\nAbstractSummary\nThe ‘hygiene hypothesis’ as originally formulated by Strachan, proposes that a cause of the recent rapid rise in atopic disorders could be a lower incidence of infection in early childhood, transmitted by unhygienic contact with older siblings.']	could be	INCOMPLETE_EVIDENCE	[216]	[224]	PMC1448690_T44
PMC1448690	PMC1448690_1	[331]	[472]	['Use of the term ‘hygiene hypothesis’ has led to several interpretations, some of which are not supported by a broader survey of the evidence.']	hypothesis	INCOMPLETE_EVIDENCE	[356]	[366]	PMC1448690_T45
PMC1448690	PMC1448690_1	[331]	[472]	['Use of the term ‘hygiene hypothesis’ has led to several interpretations, some of which are not supported by a broader survey of the evidence.']	interpretations	INCOMPLETE_EVIDENCE	[387]	[402]	PMC1448690_T46
PMC1448690	PMC1448690_1	[331]	[472]	['Use of the term ‘hygiene hypothesis’ has led to several interpretations, some of which are not supported by a broader survey of the evidence.']	some	INCOMPLETE_EVIDENCE	[404]	[408]	PMC1448690_T47
PMC1448690	PMC1448690_1	[331]	[472]	['Use of the term ‘hygiene hypothesis’ has led to several interpretations, some of which are not supported by a broader survey of the evidence.']	not supported	INCOMPLETE_EVIDENCE	[422]	[435]	PMC1448690_T48
PMC1448690	PMC1448690_1	[331]	[472]	['Use of the term ‘hygiene hypothesis’ has led to several interpretations, some of which are not supported by a broader survey of the evidence.']	evidence	INCOMPLETE_EVIDENCE	[463]	[471]	PMC1448690_T49
PMC1448690	PMC1448690_2	[473]	[640]	['The increase in allergic disorders does not correlate with the decrease in infection with pathogenic organisms, nor can it be explained by changes in domestic hygiene.']	explained	PROBABLE_UNDERSTANDING	[599]	[608]	PMC1448690_T714
PMC1448690	PMC1448690_3	[641]	[894]	['A consensus is beginning to develop round the view that more fundamental changes in lifestyle have led to decreased exposure to certain microbial or other species, such as helminths, that are important for the development of immunoregulatory mechanisms.']	consensus	PROBABLE_UNDERSTANDING	[643]	[652]	PMC1448690_T715
PMC1448690	PMC1448690_3	[641]	[894]	['A consensus is beginning to develop round the view that more fundamental changes in lifestyle have led to decreased exposure to certain microbial or other species, such as helminths, that are important for the development of immunoregulatory mechanisms.']	beginning to develop	INCOMPLETE_EVIDENCE	[656]	[676]	PMC1448690_T50
PMC1448690	PMC1448690_3	[641]	[894]	['A consensus is beginning to develop round the view that more fundamental changes in lifestyle have led to decreased exposure to certain microbial or other species, such as helminths, that are important for the development of immunoregulatory mechanisms.']	view	INCOMPLETE_EVIDENCE	[687]	[691]	PMC1448690_T51
PMC1448690	PMC1448690_3	[641]	[894]	['A consensus is beginning to develop round the view that more fundamental changes in lifestyle have led to decreased exposure to certain microbial or other species, such as helminths, that are important for the development of immunoregulatory mechanisms.']	led	SUPERFICIAL_RELATIONSHIP	[740]	[743]	PMC1448690_T814
PMC1448690	PMC1448690_3	[641]	[894]	['A consensus is beginning to develop round the view that more fundamental changes in lifestyle have led to decreased exposure to certain microbial or other species, such as helminths, that are important for the development of immunoregulatory mechanisms.']	important	IMPORTANT_CONSIDERATION	[833]	[842]	PMC1448690_T1152
PMC1448690	PMC1448690_4	[895]	[1076]	['Although this review concludes that the relationship of the hypothesis to hygiene practice is not proven, it lends strong support to initiatives seeking to improve hygiene practice.']	Although	ANOMALY_CURIOUS_FINDING	[895]	[903]	PMC1448690_T1265
PMC1448690	PMC1448690_4	[895]	[1076]	['Although this review concludes that the relationship of the hypothesis to hygiene practice is not proven, it lends strong support to initiatives seeking to improve hygiene practice.']	this review	QUESTION_ANSWERED_BY_THIS_WORK	[904]	[915]	PMC1448690_T1565
PMC1448690	PMC1448690_4	[895]	[1076]	['Although this review concludes that the relationship of the hypothesis to hygiene practice is not proven, it lends strong support to initiatives seeking to improve hygiene practice.']	relationship	SUPERFICIAL_RELATIONSHIP	[935]	[947]	PMC1448690_T815
PMC1448690	PMC1448690_4	[895]	[1076]	['Although this review concludes that the relationship of the hypothesis to hygiene practice is not proven, it lends strong support to initiatives seeking to improve hygiene practice.']	hypothesis	INCOMPLETE_EVIDENCE	[955]	[965]	PMC1448690_T52
PMC1448690	PMC1448690_4	[895]	[1076]	['Although this review concludes that the relationship of the hypothesis to hygiene practice is not proven, it lends strong support to initiatives seeking to improve hygiene practice.']	not proven	INCOMPLETE_EVIDENCE	[989]	[999]	PMC1448690_T53
PMC1448690	PMC1448690_4	[895]	[1076]	['Although this review concludes that the relationship of the hypothesis to hygiene practice is not proven, it lends strong support to initiatives seeking to improve hygiene practice.']	support	INCOMPLETE_EVIDENCE	[1017]	[1024]	PMC1448690_T54
PMC1448690	PMC1448690_4	[895]	[1076]	['Although this review concludes that the relationship of the hypothesis to hygiene practice is not proven, it lends strong support to initiatives seeking to improve hygiene practice.']	initiatives	FUTURE_WORK	[1028]	[1039]	PMC1448690_T1124
PMC1448690	PMC1448690_5	[1077]	[1141]	['It would however be helpful if the hypothesis were renamed, e.g.']	however	ALTERNATIVE_OPTIONS_CONTROVERSY	[1086]	[1093]	PMC1448690_T1360
PMC1448690	PMC1448690_5	[1077]	[1141]	['It would however be helpful if the hypothesis were renamed, e.g.']	if	ALTERNATIVE_OPTIONS_CONTROVERSY	[1105]	[1107]	PMC1448690_T1361
PMC1448690	PMC1448690_5	[1077]	[1141]	['It would however be helpful if the hypothesis were renamed, e.g.']	hypothesis	INCOMPLETE_EVIDENCE	[1112]	[1122]	PMC1448690_T55
PMC1448690	PMC1448690_6	[1142]	[1259]	['as the ‘microbial exposure’ hypothesis, or ‘microbial deprivation’ hypothesis, as proposed for instance by Bjorksten.']	hypothesis	INCOMPLETE_EVIDENCE	[1170]	[1180]	PMC1448690_T56
PMC1448690	PMC1448690_6	[1142]	[1259]	['as the ‘microbial exposure’ hypothesis, or ‘microbial deprivation’ hypothesis, as proposed for instance by Bjorksten.']	or	ALTERNATIVE_OPTIONS_CONTROVERSY	[1182]	[1184]	PMC1448690_T1362
PMC1448690	PMC1448690_6	[1142]	[1259]	['as the ‘microbial exposure’ hypothesis, or ‘microbial deprivation’ hypothesis, as proposed for instance by Bjorksten.']	hypothesis	INCOMPLETE_EVIDENCE	[1209]	[1219]	PMC1448690_T57
PMC1448690	PMC1448690_6	[1142]	[1259]	['as the ‘microbial exposure’ hypothesis, or ‘microbial deprivation’ hypothesis, as proposed for instance by Bjorksten.']	proposed	INCOMPLETE_EVIDENCE	[1224]	[1232]	PMC1448690_T58
PMC1448690	PMC1448690_7	[1260]	[1439]	['Avoiding the term ‘hygiene’ would help focus attention on determining the true impact of microbes on atopic diseases, while minimizing risks of discouraging good hygiene practice.']	attention	FUTURE_WORK	[1305]	[1314]	PMC1448690_T1125
PMC1448690	PMC1448690_7	[1260]	[1439]	['Avoiding the term ‘hygiene’ would help focus attention on determining the true impact of microbes on atopic diseases, while minimizing risks of discouraging good hygiene practice.']	true	PROBABLE_UNDERSTANDING	[1334]	[1338]	PMC1448690_T716
PMC1448690	PMC1448690_7	[1260]	[1439]	['Avoiding the term ‘hygiene’ would help focus attention on determining the true impact of microbes on atopic diseases, while minimizing risks of discouraging good hygiene practice.']	impact	SUPERFICIAL_RELATIONSHIP	[1339]	[1345]	PMC1448690_T816
PMC1448690	PMC1448690_7	[1260]	[1439]	['Avoiding the term ‘hygiene’ would help focus attention on determining the true impact of microbes on atopic diseases, while minimizing risks of discouraging good hygiene practice.']	while	ALTERNATIVE_OPTIONS_CONTROVERSY	[1378]	[1383]	PMC1448690_T1363
PMC1448690	PMC1448690_8	[1441]	[1632]	['Introduction\nWhen a disease, or group of diseases, rises rapidly without a specific explanation, it stimulates investigation to identify the cause, so that preventive measures can be devised.']	stimulates investigation	FUTURE_WORK	[1541]	[1565]	PMC1448690_T1126
