PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	C_START	C_END	CONCEPT_MENTION_ID
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_159	[37058]	[37448]	['In Bangladesh, a study of birth outcomes among low birthweight infants reported that 75% of the neonatal deaths were related to preterm delivery.4These observational findings suggest a plausible reason as to why the increased mean duration of gestation and reduced preterm delivery (especially early preterm delivery) we observed could be related to a large reduction in neonatal mortality.']	why	[37266]	[37269]	BMJ_2008_Nov_7_337_a2001_T3
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_169	[39359]	[39550]	['The outcome data were collected by the local health service staff, although the research team did provide special training on how to measure and record these outcome indicators for the trial.']	how	[39485]	[39488]	BMJ_2008_Nov_7_337_a2001_T4
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_175	[41095]	[41329]	['The greater effect on mortality of iron-folic acid compared with multiple micronutrients could account for why comparisons of multiple micronutrients with iron-folic acid give the appearance of an increased risk of neonatal mortality.']	why	[41202]	[41205]	BMJ_2008_Nov_7_337_a2001_T5
BMJ_2012_Aug_30_345_e5605	BMJ_2012_Aug_30_345_e5605_123	[24675]	[25038]	['The proportion of infants weighing greater than 4000 g who are larger than expected owing to excess glucose transfer across the placenta as detected by fetal cord hyperinsulinaemia may be as low as 15-20%.40Our strict inclusion criteria might explain why the differences we observed in maternal outcomes did not translate into a difference in infant birth weight.']	why	[24926]	[24929]	BMJ_2012_Aug_30_345_e5605_T1
BMJ_2012_May_17_344_e2088	BMJ_2012_May_17_344_e2088_15	[3465]	[3770]	['Existing reviews and guidelines are limited in their recommendations because of the small number of included studies.89They have not been able to identify the best intervention that optimises the outcomes for the mother and baby.910There is also a lack of consensus on what constitutes important outcomes.']	what	[3734]	[3738]	BMJ_2012_May_17_344_e2088_T3
BMJ_2012_May_17_344_e2088	BMJ_2012_May_17_344_e2088_49	[9592]	[9724]	['The footnotes in appendix 2 on bmj.com provide an explanation as to how we downgraded evidence in the light of various deficiencies.']	how	[9660]	[9663]	BMJ_2012_May_17_344_e2088_T4
PMC1074510	PMC1074510_0	[0]	[69]	['The primary prevention of birth defects: Multivitamins or folic acid?']	?	[68]	[69]	PMC1074510_T2
PMC1074510	PMC1074510_5	[503]	[555]	['Recently there have been two main debated questions.']	questions	[545]	[554]	PMC1074510_T3
PMC1074510	PMC1074510_9	[826]	[1095]	['Comparison of the pooled data of two Hungarian trials using a multivitamin containing 0.8 mg folic acid and the data of the Hungarian Case-Control Surveillance of Congenital Abnormalities using high dose of folic acid seemed to be appropriate to answer these questions.']	questions	[1085]	[1094]	PMC1074510_T4
PMC1074510	PMC1074510_41	[5523]	[5615]	['Recently there have been two main debated questions regarding the primary prevention of CAs.']	questions	[5565]	[5574]	PMC1074510_T5
PMC1074510	PMC1074510_42	[5616]	[5725]	['The first question is whether the use of folic acid alone or folic acid-containing multivitamins is better14.']	question	[5626]	[5634]	PMC1074510_T6
PMC1074510	PMC1074510_44	[5899]	[5977]	['As far as I know the Hungarian data sets are unique to answer these questions.']	questions	[5967]	[5976]	PMC1074510_T7
PMC1182379	PMC1182379_5	[1279]	[1418]	['However, because of concerns about effectiveness ( i.e ., Will women consistently follow hygienic practices as the result of interventions?']	Will	[1337]	[1341]	PMC1182379_T4
PMC1182379	PMC1182379_5	[1279]	[1418]	['However, because of concerns about effectiveness ( i.e ., Will women consistently follow hygienic practices as the result of interventions?']	?	[1417]	[1418]	PMC1182379_T5
PMC1182379	PMC1182379_11	[2234]	[2443]	['Given the present state of knowledge, women deserve to be informed about how they can reduce their risk of CMV infection during pregnancy, and trials are needed to identify effective educational interventions.']	how	[2307]	[2310]	PMC1182379_T6
PMC1182379	PMC1182379_48	[7892]	[8129]	['A number of experts have suggested that women be educated about hygienic practices for preventing CMV transmission from young children, and there is little dispute over what the prevention guidelines should entail (Figure3) [7,11,29-32].']	what	[8061]	[8065]	PMC1182379_T7
PMC1182379	PMC1182379_58	[10024]	[10122]	['Preventing CMV infection through hygienic practices\nWhy the ambivalence toward hygienic practices?']	Why	[10076]	[10079]	PMC1182379_T8
PMC1182379	PMC1182379_58	[10024]	[10122]	['Preventing CMV infection through hygienic practices\nWhy the ambivalence toward hygienic practices?']	?	[10121]	[10122]	PMC1182379_T9
PMC1182379	PMC1182379_62	[10562]	[10671]	['The concern, then, is not the efficacy of hygienic practices (i.e., Will they work if consistently followed?)']	Will	[10630]	[10634]	PMC1182379_T10
PMC1182379	PMC1182379_62	[10562]	[10671]	['The concern, then, is not the efficacy of hygienic practices (i.e., Will they work if consistently followed?)']	?)	[10669]	[10671]	PMC1182379_T11
PMC1182379	PMC1182379_63	[10672]	[10827]	['but, instead, the effectiveness of interventions to promote them (i.e., Will women consistently follow hygienic practices as the result of interventions?).']	Will	[10744]	[10748]	PMC1182379_T12
PMC1182379	PMC1182379_63	[10672]	[10827]	['but, instead, the effectiveness of interventions to promote them (i.e., Will women consistently follow hygienic practices as the result of interventions?).']	?)	[10824]	[10827]	PMC1182379_T13
PMC1182379	PMC1182379_109	[19505]	[19597]	['• Women should be informed about how to reduce their risk of CMV infection during pregnancy.']	how	[19538]	[19541]	PMC1182379_T14
PMC1184067	PMC1184067_85	[16186]	[16294]	['In contrast, a few (n = 11, 4%) stated they did not understand why FP/GPs should provide preconception care.']	why	[16249]	[16252]	PMC1184067_T2
PMC1184067	PMC1184067_88	[16607]	[16734]	["[7] There has been much debate about whether Japanese family physicians should provide obstetric and other women's health care."]	whether	[16644]	[16651]	PMC1184067_T3
PMC1184067	PMC1184067_110	[19684]	[19866]	['The lack of mandatory vaccination is a loophole in public health policy[16] and highlights why screening women of childbearing potential for rubella antibody is especially important.']	why	[19775]	[19778]	PMC1184067_T4
PMC1187906	PMC1187906_11	[1652]	[1845]	['[1-4] Which specific families are affected, however, is highly dependent on micro-social factors in the family related to how well resources are used in the proximal or microsocial environment.']	Which	[1658]	[1663]	PMC1187906_T2
PMC1187906	PMC1187906_11	[1652]	[1845]	['[1-4] Which specific families are affected, however, is highly dependent on micro-social factors in the family related to how well resources are used in the proximal or microsocial environment.']	how	[1774]	[1777]	PMC1187906_T3
PMC1187906	PMC1187906_20	[3166]	[3235]	['The essential question is "How will the last dollar earned be spent?"']	question	[3180]	[3188]	PMC1187906_T4
PMC1187906	PMC1187906_20	[3166]	[3235]	['The essential question is "How will the last dollar earned be spent?"']	How	[3193]	[3196]	PMC1187906_T5
PMC1187906	PMC1187906_20	[3166]	[3235]	['The essential question is "How will the last dollar earned be spent?"']	?"	[3233]	[3235]	PMC1187906_T6
PMC1187906	PMC1187906_79	[11079]	[11125]	['Are these comments applicable internationally?']	Are	[11079]	[11082]	PMC1187906_T7
PMC1187906	PMC1187906_79	[11079]	[11125]	['Are these comments applicable internationally?']	?	[11124]	[11125]	PMC1187906_T8
PMC1187906	PMC1187906_107	[15221]	[15362]	['The first three questions of the USDA/Cornell Radimer food insecurity surveys are used in our work to determine which children are "at-risk."']	which	[15333]	[15338]	PMC1187906_T9
PMC1187906	PMC1187906_109	[15379]	[15589]	['Caption (TABLE-WRAP): TABLE 1\n\nIs this child "at-risk" for food insecurity?Please tell me whether the following statements are true of you:A. I worry whether my food will run out before I get money to buy more.']	Is	[15410]	[15412]	PMC1187906_T10
PMC1187906	PMC1187906_109	[15379]	[15589]	['Caption (TABLE-WRAP): TABLE 1\n\nIs this child "at-risk" for food insecurity?Please tell me whether the following statements are true of you:A. I worry whether my food will run out before I get money to buy more.']	?	[15453]	[15454]	PMC1187906_T11
PMC1187906	PMC1187906_121	[17030]	[17247]	['The use and misuse of convenience foods, characteristic of contemporary food consumption patterns in the United States, illustrates how economic and social factors interact to affect nutritional status among the poor.']	how	[17162]	[17165]	PMC1187906_T12
PMC1280409	PMC1280409_34	[5461]	[5658]	['After describing selected findings on infection and nutrition that illustrate the methods used, we then describe how this study has been used to investigate prenatal lead exposure as a risk factor.']	how	[5574]	[5577]	PMC1280409_T10
PMC1281283	PMC1281283_21	[2828]	[2992]	['However, for women making dietary choices, the relevant question is whether eating fish and other seafood during pregnancy will impair their children’s development.']	question	[2884]	[2892]	PMC1281283_T8
PMC1281283	PMC1281283_21	[2828]	[2992]	['However, for women making dietary choices, the relevant question is whether eating fish and other seafood during pregnancy will impair their children’s development.']	whether	[2896]	[2903]	PMC1281283_T9
PMC1281283	PMC1281283_58	[7247]	[7334]	['We also asked about known exposure to mercury, for example, from occupational exposure.']	asked	[7255]	[7260]	PMC1281283_T10
PMC1281283	PMC1281283_170	[22279]	[22617]	['A recently updated federal advisory reiterated health warnings while encouraging women to consume up to two seafood meals per week (U.S. Department of Health and Human Services 2004), but it is unclear to what extent women understand the details of the health message or simply hear that seafood contains mercury and therefore is harmful.']	what	[22484]	[22488]	PMC1281283_T11
PMC1281283	PMC1281283_188	[24363]	[24484]	['Future cohort follow-up will help determine whether fish and mercury are associated with intelligence later in childhood.']	whether	[24407]	[24414]	PMC1281283_T12
PMC1448690	PMC1448690_16	[3306]	[3707]	["Most recently, a further aspect of Strachan's hypothesis has received considerable attention, particularly from the media, namely his proposition that the reason why this key exposure no longer occurs, or occurs to an insufficient extent, is the trend not only towards smaller family sizes but also ‘improved household amenities and higher standards of personal cleanliness’– in effect, cleaner homes."]	why	[3468]	[3471]	PMC1448690_T18
PMC1448690	PMC1448690_21	[4604]	[4785]	['It sought to do this by addressing two distinct questions:\nHow clear is the evidence of a causal link between a decline in microbial exposure and the recent rises in atopic disease?']	questions	[4652]	[4661]	PMC1448690_T19
PMC1448690	PMC1448690_21	[4604]	[4785]	['It sought to do this by addressing two distinct questions:\nHow clear is the evidence of a causal link between a decline in microbial exposure and the recent rises in atopic disease?']	How	[4663]	[4666]	PMC1448690_T20
PMC1448690	PMC1448690_21	[4604]	[4785]	['It sought to do this by addressing two distinct questions:\nHow clear is the evidence of a causal link between a decline in microbial exposure and the recent rises in atopic disease?']	?	[4784]	[4785]	PMC1448690_T21
PMC1448690	PMC1448690_22	[4786]	[4910]	['To what extent might cleaning and hygiene, as distinct from other influences on microbial exposure, be a significant factor?']	what	[4789]	[4793]	PMC1448690_T22
PMC1448690	PMC1448690_22	[4786]	[4910]	['To what extent might cleaning and hygiene, as distinct from other influences on microbial exposure, be a significant factor?']	?	[4909]	[4910]	PMC1448690_T23
PMC1448690	PMC1448690_77	[13290]	[13449]	['The epidemiological studies show that although these factors are related to the incidence of atopic disease, they do not explain how the relationship operates.']	how	[13419]	[13422]	PMC1448690_T24
