PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	C_START	C_END	CONCEPT_MENTION_ID
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_18	[4092]	[4393]	['The only antenatal supplement promoted by the Ministry of Health in China is folic acid to prevent congenital neural tube defects.11There are no specific policies or programmes for the distribution of multiple micronutrient or iron-folic acid supplements during pregnancy, even to disadvantaged women.']	no ... policies	[4234, 4246]	[4236, 4254]	BMJ_2008_Nov_7_337_a2001_T0
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_47	[9474]	[9626]	['Newly identified pregnant women were interviewed to record their sociodemographic status and their menstrual, reproductive, medical, and family history.']	Newly identified	[9474]	[9490]	BMJ_2008_Nov_7_337_a2001_T1
BMJ_2010_Apr_29_340_c1640	BMJ_2010_Apr_29_340_c1640_18	[3773]	[5885]	['This evidence comes from both case-control and cohort studies and indicates that age of operation for such a protective effect might include both childhood and early adulthood.67891011\nExposure to ultraviolet radiation in early life has not yet been formally examined but might be linked to excess risk of multiple sclerosis at birth through seasonal deficiency in maternal vitamin D concentrations.12A study of half siblings with multiple sclerosis has also shown that risk can be maternally mediated.13Pregnancy is a vulnerable time for vitamin D deficiency because of increased physiological needs and reduced maternal outdoor activity.14Experimental data on animal fetal development indicate that cerebral white matter is responsive to vitamin D and that oligodendrocytes in the brain and spinal cord have vitamin D receptors.1516Furthermore, maternal vitamin D depletion alters neurogenesis in the developing rat brain,17with subsequent altered gene expression in adult life.18A recent genetic study in humans has further implicated vitamin D as a strong environmental candidate by showing direct functional interaction with the major locus that determines susceptibility to multiple sclerosis.19Although human evidence pertaining to fetal development has been difficult to obtain, the body of related evidence to date has led some to recommend antenatal supplementation with vitamin D to prevent multiple sclerosis.14\nAs an indicator of possible perinatal environmental exposures, such as ultraviolet radiation, individual studies in the northern hemisphere have examined month of birth and risk of multiple sclerosis with varied results.2021222324A large recent pooled analysis of births in the northern hemisphere, however, showed an excess of multiple sclerosis among people born in May and a relative deficit among those born in November; these results were stronger in familial cases and suggested interactions between genes and environment that are related to climate and that might act during gestation or shortly after birth.12We examined month of birth and risk of multiple sclerosis in Australia.']	not yet	[4010]	[4017]	BMJ_2010_Apr_29_340_c1640_T0
BMJ_2010_Apr_29_340_c1640	BMJ_2010_Apr_29_340_c1640_96	[26434]	[27215]	['By the time of delivery, maternal and infant cord serum 25-hydroxyvitamin D3concentrations are highly correlated.37Unfortunately, much remains unknown, leading to large international variations in maternal vitamin D monitoring and supplementation during pregnancy.353839\nA maternal effect operating antenatally would also be consistent with the stronger maternal than paternal “parent of origin” effect in familial multiple sclerosis.1340It has been previously proposed14that maternal vitamin D deficiency, a problem for some dark skinned women migrating to regions with low ambient ultraviolet radiation, such as the UK, might explain the increase in incidence of disease seen among second generation migrants in such locations.41Our findings are consistent with this explanation.']	remains unknown	[26569]	[26584]	BMJ_2010_Apr_29_340_c1640_T1
BMJ_2012_Jan_30_344_e184	BMJ_2012_Jan_30_344_e184_110	[26394]	[26877]	['However, the allergy outcomes from this trial were obtained through linkage to a national registry of doctors’ visits.17The expected event rates in Olsen et al were low, and whether diagnoses were made according to standard definitions is not known.17The planned allergy assessments of the children in our study at 3 and 6 years of age will be important in documenting the progression of allergic disease and whether n-3 LCPUFA supplementation during pregnancy has long term effects.']	not known	[26633]	[26642]	BMJ_2012_Jan_30_344_e184_T0
BMJ_2014_Feb_10_348_g1285	BMJ_2014_Feb_10_348_g1285_16	[4266]	[4670]	['While meta-analyses indicate that interventions seem effective in limiting gestational weight gain, the effect on maternal and perinatal outcomes, which have been under-reported, remains to be determined.171819\nWe conducted a randomised trial to evaluate whether provision of antenatal lifestyle advice to overweight or obese pregnant women was effective in improving maternal and infant health outcomes.']	remains to be determined	[4445]	[4469]	BMJ_2014_Feb_10_348_g1285_T0
BMJ_2014_Feb_10_348_g1285	BMJ_2014_Feb_10_348_g1285_50	[13465]	[13913]	['There were 10 stillborn infants (two from placental abruption, one from severe intrauterine growth restriction, one from acute chorioamnionitis, and one from motor vehicle collision in lifestyle advice group; and two from placental insufficiency, one from obstetric cholestasis, and two unexplained in standard care group) and two neonatal deaths (excluding lethal congenital anomalies) from complications of extreme prematurity, one in each group.']	unexplained	[13752]	[13763]	BMJ_2014_Feb_10_348_g1285_T1
BMJ_2014_Feb_10_348_g1285	BMJ_2014_Feb_10_348_g1285_99	[27246]	[28110]	['It is difficult, however, to separate the relative contribution of each of these components, with maternal deposition of adipose tissue likely to have the greatest causal impact in terms of both short term pregnancy related outcomes and the longer term health of the child.30\nWhile the effect of any changes in maternal dietary intake, including specific nutritional components, and physical activity on in utero growth remains to be determined, observational studies suggest that consumption of a diet high in polyunsaturated fatty acids is associated with reduced early childhood adiposity as measured by skinfold thickness31and predictive of fat mass determined by DEXA at ages 4 and 6 years.32Together, these findings highlight the potential impact of relatively modest changes in the quality of maternal diet on in utero growth and future childhood adiposity.']	remains to be determined	[27666]	[27690]	BMJ_2014_Feb_10_348_g1285_T2
BMJ_2014_Feb_10_348_g1285	BMJ_2014_Feb_10_348_g1285_106	[31389]	[32281]	['Alternate approaches might entail the use of drugs, including metformin, which is currently being evaluated.4243\n\nWhat is already known on this topic\nOverweight and obesity is common during pregnancy\nIncreasing maternal BMI and high gestational weight gain are both associated with an increased risk of complications during pregnancy and childbirth\nSystematic reviews have indicated that while antenatal dietary and lifestyle interventions seem effective in limiting gestational weight gain, the effect on clinically relevant outcomes remains to be determined\n\nWhat this study adds\nThe findings of this randomised trial indicate that providing a dietary and lifestyle intervention to pregnant women who are overweight or obese was not associated with a reduction in the incidence of infants born large for gestational age or in improving maternal pregnancy and birth outcomes\n\nPubMed Central:']	remains to be determined	[31924]	[31948]	BMJ_2014_Feb_10_348_g1285_T3
PMC1074510	PMC1074510_129	[17869]	[17983]	['There was no obvious difference in the prevalence of maternal diseases and drug uses between the two study groups.']	There was no	[17869]	[17881]	PMC1074510_T0
