PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	IGNORANCE TYPE	C_START	C_END	CONCEPT_MENTION_ID
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_16	[2467]	[3805]	['Introduction\nNeonatal deaths contribute greatly to child mortality in developing countries, and these deaths have steadily increased as a percentage of all deaths of children under the age of 5.12In China, by 2004 neonatal mortality accounted for more than half of all deaths in children under 5.3Low birthweight babies are at higher risk of morbidity and mortality than those of normal birth weight4and are also at risk of postnatal growth retardation, with possible adverse long term effects on their physical and cognitive development.56One of the major causes of low birth weight in developing countries is the poor nutritional status of the mother before and during pregnancy, resulting in restricted fetal growth especially during the third trimester.7\nPoor quality diet and inadequate intake, combined with increased nutrient requirements for placental and fetal growth, can lead to multiple micronutrient deficiencies in pregnancy and contribute to higher rates of low birth weight.8To address these multiple deficiency states Unicef has proposed the use of multiple micronutrient supplements in pregnancy that provide the recommended individual intakes for pregnant women.9\nChina is the most populated developing country in the world, and the prevalence of low birth weight varies across different socioeconomic groups and areas.']	recommended	FUTURE_WORK	[3598]	[3609]	BMJ_2008_Nov_7_337_a2001_T150
BMJ_2010_Apr_29_340_c1640	BMJ_2010_Apr_29_340_c1640_18	[3773]	[5885]	['This evidence comes from both case-control and cohort studies and indicates that age of operation for such a protective effect might include both childhood and early adulthood.67891011\nExposure to ultraviolet radiation in early life has not yet been formally examined but might be linked to excess risk of multiple sclerosis at birth through seasonal deficiency in maternal vitamin D concentrations.12A study of half siblings with multiple sclerosis has also shown that risk can be maternally mediated.13Pregnancy is a vulnerable time for vitamin D deficiency because of increased physiological needs and reduced maternal outdoor activity.14Experimental data on animal fetal development indicate that cerebral white matter is responsive to vitamin D and that oligodendrocytes in the brain and spinal cord have vitamin D receptors.1516Furthermore, maternal vitamin D depletion alters neurogenesis in the developing rat brain,17with subsequent altered gene expression in adult life.18A recent genetic study in humans has further implicated vitamin D as a strong environmental candidate by showing direct functional interaction with the major locus that determines susceptibility to multiple sclerosis.19Although human evidence pertaining to fetal development has been difficult to obtain, the body of related evidence to date has led some to recommend antenatal supplementation with vitamin D to prevent multiple sclerosis.14\nAs an indicator of possible perinatal environmental exposures, such as ultraviolet radiation, individual studies in the northern hemisphere have examined month of birth and risk of multiple sclerosis with varied results.2021222324A large recent pooled analysis of births in the northern hemisphere, however, showed an excess of multiple sclerosis among people born in May and a relative deficit among those born in November; these results were stronger in familial cases and suggested interactions between genes and environment that are related to climate and that might act during gestation or shortly after birth.12We examined month of birth and risk of multiple sclerosis in Australia.']	recommend	FUTURE_WORK	[5113]	[5122]	BMJ_2010_Apr_29_340_c1640_T220
BMJ_2012_Aug_30_345_e5605	BMJ_2012_Aug_30_345_e5605_32	[6637]	[6757]	['The recommended low glycaemic index diet was eucaloric, and women were not advised to reduce their total caloric intake.']	recommended	FUTURE_WORK	[6641]	[6652]	BMJ_2012_Aug_30_345_e5605_T90
BMJ_2012_Jan_30_344_e184	BMJ_2012_Jan_30_344_e184_9	[2240]	[2395]	['Longer term follow-up is needed to determine if supplementation has an effect on respiratory allergic diseases and aeroallergen sensitisation in childhood.']	is needed	FUTURE_WORK	[2262]	[2271]	BMJ_2012_Jan_30_344_e184_T93
BMJ_2012_May_17_344_e2088	BMJ_2012_May_17_344_e2088_14	[2423]	[3464]	['Half the population is either overweight (body mass index (BMI) 25.0-29.9) or obese (BMI ≥30).1In Europe and the United States, 20-40% of women gain more than the recommended weight during pregnancy.2Increased maternal weight or excessive weight gain in pregnancy is associated with adverse pregnancy outcomes.3Half the women who die during pregnancy, childbirth, or puerperium in the United Kingdom are either obese or overweight.4For the offspring, maternal obesity is a major risk factor for childhood obesity, which persists into adulthood independent of other factors.5Obesity costs the UK National Health Service (NHS) around £0.5bn a year and the UK economy a further £2.3bn in indirect costs.6\nThe antenatal period, with opportunities for regular contact with health professionals, is considered an ideal time to intervene as mothers are motivated to make changes that could optimise their outcome and that of the baby.7There is a need to identify appropriate weight management interventions that are effective and safe in pregnancy.']	need	FUTURE_WORK	[3362]	[3366]	BMJ_2012_May_17_344_e2088_T157
BMJ_2014_Feb_10_348_g1285	BMJ_2014_Feb_10_348_g1285_29	[7668]	[7824]	['Using these perceived barriers, women were assisted to problem solve and to develop individualised strategies to facilitate their successful implementation.']	strategies	FUTURE_WORK	[7767]	[7777]	BMJ_2014_Feb_10_348_g1285_T124
PMC1074510	PMC1074510_158	[21882]	[22162]	['Discussion\nThe comparison of the results of the two Hungarian intervention trials and the HCCSCA provide an opportunity to estimate the preventive effectiveness of a folic acid (low dose: 0.8 mg) containing multivitamin and the high dose of folic acid alone for NTD and other CAs.']	opportunity	FUTURE_WORK	[21990]	[22001]	PMC1074510_T178
PMC1164414	PMC1164414_19	[4027]	[4174]	['Moreover, the protective effect of MTHFR variants was present only in children before folic acid supplement in pregnancy has been recommended [17].']	recommended	FUTURE_WORK	[4157]	[4168]	PMC1164414_T87
PMC1168874	PMC1168874_9	[942]	[1040]	['Thus, a better balance is needed between the risk and benefit of drug treatments during pregnancy.']	needed	FUTURE_WORK	[968]	[974]	PMC1168874_T230
PMC1182379	PMC1182379_2	[545]	[765]	['Discussion\nCongenital CMV is a prime target for prevention not only because of its substantial disease burden but also because the biology and epidemiology of CMV suggest that there are ways to reduce viral transmission.']	target	FUTURE_WORK	[582]	[588]	PMC1182379_T203
