PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	IGNORANCE TYPE	C_START	C_END	CONCEPT_MENTION_ID
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_16	[2467]	[3805]	['Introduction\nNeonatal deaths contribute greatly to child mortality in developing countries, and these deaths have steadily increased as a percentage of all deaths of children under the age of 5.12In China, by 2004 neonatal mortality accounted for more than half of all deaths in children under 5.3Low birthweight babies are at higher risk of morbidity and mortality than those of normal birth weight4and are also at risk of postnatal growth retardation, with possible adverse long term effects on their physical and cognitive development.56One of the major causes of low birth weight in developing countries is the poor nutritional status of the mother before and during pregnancy, resulting in restricted fetal growth especially during the third trimester.7\nPoor quality diet and inadequate intake, combined with increased nutrient requirements for placental and fetal growth, can lead to multiple micronutrient deficiencies in pregnancy and contribute to higher rates of low birth weight.8To address these multiple deficiency states Unicef has proposed the use of multiple micronutrient supplements in pregnancy that provide the recommended individual intakes for pregnant women.9\nChina is the most populated developing country in the world, and the prevalence of low birth weight varies across different socioeconomic groups and areas.']	lead	PROBABLE_UNDERSTANDING	[3349]	[3353]	BMJ_2008_Nov_7_337_a2001_T84
BMJ_2010_Apr_29_340_c1640	BMJ_2010_Apr_29_340_c1640_17	[3299]	[3772]	['This latitudinal gradient seems environmentally related because the risk associated with latitude alters if people move after birth.45A strong environmental candidate is the level of ambient regional ultraviolet radiation, acting either directly or through the generation of vitamin D.6Higher exposure to ultraviolet radiation,7higher vitamin D intake,8and also higher serum vitamin D concentrations9seem to be associated with a reduced risk of onset of multiple sclerosis.']	because	PROBABLE_UNDERSTANDING	[3355]	[3362]	BMJ_2010_Apr_29_340_c1640_T109
BMJ_2012_Aug_30_345_e5605	BMJ_2012_Aug_30_345_e5605_13	[1659]	[3104]	['Introduction\nLarge for gestational age or macrosomic infants are predisposed to a variety of adverse obstetric and neonatal outcomes, and delivery of a large infant significantly increases the risk of birth complications for the mother.12In the long term, infants at the highest end of the distribution for weight or body mass index are more likely to be obese in childhood, adolescence, and early adulthood than are other infants,3and they are at greater risk of cardiovascular and metabolic complications later in life.45\nSeveral factors influence birth weight, including maternal age, parity, ethnicity, and previous delivery of a large for gestational age infant.6Both maternal weight and gestational weight gain exert a significant influence on birth weight.789Increased maternal body mass index confers an elevated risk of delivering a heavier infant,10and evidence supports a strong associations between excessive weight gain and an increased birth weight.1112\nGlucose is the main energy substrate for fetal growth.13Birth weights in infants of mothers with diabetes are increased; up to 35% are above the 95th centile.14Moreover, a strong, continuous association has been shown between maternal glucose concentrations below those diagnostic of diabetes and the incidence of macrosomia and its inherent complications.15Maternal diet, and particularly the type and content of carbohydrate, influences maternal blood glucose concentrations.']	likely	PROBABLE_UNDERSTANDING	[2001]	[2007]	BMJ_2012_Aug_30_345_e5605_T62
BMJ_2012_Jan_30_344_e184	BMJ_2012_Jan_30_344_e184_11	[2521]	[3175]	['Introduction\nThe prevalence of allergic diseases in Australia and other industrialised countries has increased over the past 30 years and is now estimated to be at least 20%.123The cost to healthcare systems and the burden to families are high.45The pattern of allergic disease differs with age; the incidence of food allergy and atopic dermatitis peaks by 1 year of age, whereas asthma and allergic rhinitis continue to rise until around 15 years of age.6The increase in allergic disease has occurred too rapidly (within one to two generations) to be a result of genetic changes in the population, so it is likely to be related to environmental changes.']	likely	PROBABLE_UNDERSTANDING	[3129]	[3135]	BMJ_2012_Jan_30_344_e184_T58
BMJ_2012_May_17_344_e2088	BMJ_2012_May_17_344_e2088_14	[2423]	[3464]	['Half the population is either overweight (body mass index (BMI) 25.0-29.9) or obese (BMI ≥30).1In Europe and the United States, 20-40% of women gain more than the recommended weight during pregnancy.2Increased maternal weight or excessive weight gain in pregnancy is associated with adverse pregnancy outcomes.3Half the women who die during pregnancy, childbirth, or puerperium in the United Kingdom are either obese or overweight.4For the offspring, maternal obesity is a major risk factor for childhood obesity, which persists into adulthood independent of other factors.5Obesity costs the UK National Health Service (NHS) around £0.5bn a year and the UK economy a further £2.3bn in indirect costs.6\nThe antenatal period, with opportunities for regular contact with health professionals, is considered an ideal time to intervene as mothers are motivated to make changes that could optimise their outcome and that of the baby.7There is a need to identify appropriate weight management interventions that are effective and safe in pregnancy.']	as	PROBABLE_UNDERSTANDING	[3254]	[3256]	BMJ_2012_May_17_344_e2088_T89
BMJ_2014_Feb_10_348_g1285	BMJ_2014_Feb_10_348_g1285_11	[1511]	[1758]	['Infants born to women after lifestyle advice were significantly less likely to have birth weight above 4000 g (lifestyle advice 164/1075 (15%) v standard care 201/1067 (19%); 0.82, 0.68 to 0.99; number needed to treat (NNT) 28, 15 to 263; P=0.04).']	likely	PROBABLE_UNDERSTANDING	[1580]	[1586]	BMJ_2014_Feb_10_348_g1285_T72
PMC1074510	PMC1074510_19	[2270]	[2413]	['Therefore the prevention of CAs is an extremely important public health issue, since obviously we can secure the health in healthy born people.']	Therefore	PROBABLE_UNDERSTANDING	[2270]	[2279]	PMC1074510_T127
PMC1164414	PMC1164414_11	[2598]	[2754]	['It is supposed that variants (677TT/1298AA or 677CC/1298CC) of MTHFR increase the level of methylene-THF leading to a subsequent reduction of uracil in DNA.']	supposed	PROBABLE_UNDERSTANDING	[2604]	[2612]	PMC1164414_T46
PMC1168874	PMC1168874_8	[800]	[941]	['These biases explain that the teratogenic risk of drugs is exaggerated, while the benefit of medicine use during pregnancy is underestimated.']	explain	PROBABLE_UNDERSTANDING	[813]	[820]	PMC1168874_T135
PMC1182379	PMC1182379_2	[545]	[765]	['Discussion\nCongenital CMV is a prime target for prevention not only because of its substantial disease burden but also because the biology and epidemiology of CMV suggest that there are ways to reduce viral transmission.']	because	PROBABLE_UNDERSTANDING	[613]	[620]	PMC1182379_T99
