PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	IGNORANCE TYPE	C_START	C_END	CONCEPT_MENTION_ID
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_34	[6966]	[7163]	['Recruitment was slower than expected, however, because many births were in women who lived in large cities in eastern China but who returned to their village to give birth and register their child.']	because	PROBLEM_COMPLICATION	[7013]	[7020]	BMJ_2008_Nov_7_337_a2001_T221
BMJ_2010_Apr_29_340_c1640	BMJ_2010_Apr_29_340_c1640_20	[6141]	[7068]	['Methods\n\nCase ascertainment\nWe obtained data on the number of patients with multiple sclerosis born in Australia for each birth month of every (birth) year, 1920-50, by sex and state of birth for Queensland, Western Australia, New South Wales (including Australian Capital Territory), South Australia, and Hobart (Tasmania) from prevalence surveys carried out in 1981.22526In these surveys, cases were ascertained from hospital records, treating doctors, multiple sclerosis societies, records from the Department of Veterans’ Affairs, and the Australian Bureau of Statistics.2In the Hobart region the State Chronic Care Hospital Register and Commonwealth Department of Health notifications were also used.26All patients were interviewed and examined for verification of multiple sclerosis, except in New South Wales, where only 57% of the patients were interviewed and examined because of the large number of patients notified.']	because	PROBLEM_COMPLICATION	[7019]	[7026]	BMJ_2010_Apr_29_340_c1640_T263
BMJ_2012_Aug_30_345_e5605	BMJ_2012_Aug_30_345_e5605_121	[24400]	[24600]	['Our selection criteria may have introduced a degree of selection bias towards women who were giving birth to larger babies owing to genetic potential rather than to aberrations in maternal metabolism.']	bias	PROBLEM_COMPLICATION	[24465]	[24469]	BMJ_2012_Aug_30_345_e5605_T130
BMJ_2012_Jan_30_344_e184	BMJ_2012_Jan_30_344_e184_17	[4587]	[5437]	['Two previous randomised trials have shown that fish oil treatment during pregnancy, compared with placebo, resulted in down regulation of cytokine responses (interleukin-5, interleukin-13, interferon-γ) to allergens in mononuclear cells in cord blood,1112as well as up regulation of transforming growth factor-β in cord blood.12These data are supported by a recent Swedish study showing fewer infants with immunoglobulin E associated eczema in response to n-3 LCPUFA supplementation from the 25th week of gestation (4/52 (8%) v 15/63 (24%), P<0.05).13However, the lack of clarity regarding randomisation processes in this study means that one cannot exclude the possibility of bias, and the small sample size means that a large degree of uncertainty is associated with the results, highlighting the need for larger, more definitive randomised trials.']	of	PROBLEM_COMPLICATION	[5156]	[5158]	BMJ_2012_Jan_30_344_e184_T135
BMJ_2012_May_17_344_e2088	BMJ_2012_May_17_344_e2088_15	[3465]	[3770]	['Existing reviews and guidelines are limited in their recommendations because of the small number of included studies.89They have not been able to identify the best intervention that optimises the outcomes for the mother and baby.910There is also a lack of consensus on what constitutes important outcomes.']	because	PROBLEM_COMPLICATION	[3534]	[3541]	BMJ_2012_May_17_344_e2088_T239
BMJ_2014_Feb_10_348_g1285	BMJ_2014_Feb_10_348_g1285_15	[2209]	[4265]	['Introduction\nThe World Health Organization has identified obesity as a health problem of global importance,1contributing to the burden of disease through an increased risk of cardiovascular disease and diabetes and their complications.2Overweight and obesity are commonly encountered during pregnancy, with about half of women entering pregnancy with a body mass index (BMI) ≥25.34\nThe risks associated with overweight and obesity during pregnancy are well documented and increase with increasing BMI.56Maternal complications include an increased risk of hypertension and pre-eclampsia,567gestational diabetes,567need for both induction of labour and caesarean section,567and perinatal death.89Infants born to overweight or obese women are more likely to be macrosomic,6789be admitted to intensive care,569and require treatment for jaundice or hypoglycaemia.56Furthermore, population studies consistently identify both maternal overweight and obesity and high infant birth weight (variably defined as birth weight above the 90th centile for gestational age or birth weight above 4000 g or 4500 g) as important risk factors for the development of early infant10and childhood obesity.11\nSubstantial literature on maternal weight gain in pregnancy has been summarised by the Institute of Medicine.12Several population based cohort studies have evaluated the effect of varying degrees of gestational weight gain on pregnancy outcomes for women who are overweight or obese, suggesting that, compared with higher weight gain, weight gain within the recommendations of the Institute of Medicine is associated with a reduced risk of maternal complications and of infants being born large for gestational age.13141516Most small randomised trials to date evaluating antenatal dietary and lifestyle interventions in women who are overweight or obese have primarily focused on limiting gestational weight gain, often as a surrogate measure for clinical outcomes, based on the assumption that lower weight gain will in turn improve outcomes in pregnancy and childbirth.']	complications	PROBLEM_COMPLICATION	[2721]	[2734]	BMJ_2014_Feb_10_348_g1285_T183
PMC1074510	PMC1074510_19	[2270]	[2413]	['Therefore the prevention of CAs is an extremely important public health issue, since obviously we can secure the health in healthy born people.']	since	PROBLEM_COMPLICATION	[2349]	[2354]	PMC1074510_T276
PMC1164414	PMC1164414_57	[9014]	[9241]	['With regard to ALL, our results are in contrast to previous findings and do not support the assumption that higher methylene-THF levels due to MTHFR variants lead to a decreased risk of ALL in our study population [8,10,11,13].']	due to	PROBLEM_COMPLICATION	[9150]	[9156]	PMC1164414_T122
PMC1168874	PMC1168874_3	[219]	[299]	['The previous human teratogenic studies had serious methodological problems, e.g.']	problems	PROBLEM_COMPLICATION	[285]	[293]	PMC1168874_T351
PMC1182379	PMC1182379_5	[1279]	[1418]	['However, because of concerns about effectiveness ( i.e ., Will women consistently follow hygienic practices as the result of interventions?']	because	PROBLEM_COMPLICATION	[1288]	[1295]	PMC1182379_T348
