	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC4113768	7/2014	560.0	932.0
1	PMC5941617	5/2018	385.0	224.0
2	PMC4934634	11/2015	126.0	91.0
3	PMC4448820	5/2015	121.0	1124.0
4	PMC3717170	5/2013	94.0	76.0
5	PMC5513133	7/2017	93.0	88.0
6	PMC3347028	3/2012	92.0	86.0
7	PMC3659910	1/2013	89.0	73.0
8	PMC3873449	12/2013	83.0	54.0
9	PMC5956785	5/2018	83.0	94.0
10	PMC3356951	4/2012	79.0	51.0
11	PMC3672018	5/2013	72.0	39.0
12	PMC3347007	4/2012	72.0	25.0
13	PMC4329404	10/2014	67.0	21.0
14	PMC3257641	3/2010	67.0	60.0
15	PMC3277098	12/2011	67.0	92.0
16	PMC3515553	12/2012	66.0	58.0
17	PMC3798907	8/2013	65.0	42.0
18	PMC3702245	6/2013	65.0	18.0
19	PMC4169453	9/2014	65.0	57.0
20	PMC5664622	9/2017	64.0	25.0
21	PMC4684854	12/2015	64.0	60.0
22	PMC4417995	4/2015	61.0	54.0
23	PMC3407995	7/2012	61.0	239.0
24	PMC4896250	4/2016	60.0	4228.0
25	PMC5014971	8/2016	60.0	41.0
26	PMC2963768	10/2010	60.0	44.0
27	PMC4930210	7/2016	59.0	37.0
28	PMC3827489	10/2013	58.0	22.0
29	PMC4251419	12/2014	58.0	80.0
30	PMC4889866	5/2016	58.0	26.0
31	PMC4971719	8/2016	57.0	38.0
32	PMC5418719	5/2017	56.0	15.0
33	PMC5638722	8/2017	54.0	20.0
34	PMC3427250	8/2012	53.0	13.0
35	PMC3760821	9/2013	53.0	53.0
36	PMC4992225	8/2016	53.0	86.0
37	PMC4973215	8/2016	53.0	17.0
38	PMC6011374	6/2018	51.0	21.0
39	PMC4944244	7/2016	51.0	77.0
40	PMC5146866	12/2016	50.0	14.0
41	PMC4377870	3/2015	49.0	158.0
42	PMC3773018	4/2013	49.0	32.0
43	PMC3501517	11/2012	49.0	58.0
44	PMC4595656	10/2015	49.0	81.0
45	PMC5405075	4/2017	48.0	35.0
46	PMC5129897	10/2016	47.0	101.0
47	PMC4072587	6/2014	47.0	27.0
48	PMC4719746	1/2016	47.0	41.0
49	PMC5706533	11/2017	46.0	63.0
50	PMC4405493	4/2015	46.0	49.0
51	PMC4499946	7/2015	46.0	78.0
52	PMC5489519	6/2017	46.0	31.0
53	PMC5838372	3/2018	45.0	23.0
54	PMC5062906	10/2016	44.0	118.0
55	PMC5659607	10/2017	44.0	27.0
56	PMC5155676	12/2016	44.0	33.0
57	PMC4256222	12/2014	43.0	42.0
58	PMC5634602	10/2017	43.0	58.0
59	PMC3476426	8/2012	43.0	44.0
60	PMC5372327	3/2017	42.0	32.0
61	PMC2996405	11/2010	42.0	151.0
62	PMC4383226	2/2015	41.0	71.0
63	PMC5679631	11/2017	41.0	36.0
64	PMC4632418	10/2015	40.0	39.0
65	PMC3685533	6/2013	40.0	35.0
66	PMC4600246	10/2015	40.0	32.0
67	PMC3613945	2/2013	40.0	210.0
68	PMC3034879	12/2010	40.0	64.0
69	PMC3427192	4/2012	39.0	21.0
70	PMC3641012	4/2013	39.0	59.0
71	PMC5732505	12/2017	38.0	57.0
72	PMC4770602	1/2016	37.0	15.0
73	PMC4427001	4/2015	37.0	59.0
74	PMC2290997	4/2008	37.0	107.0
75	PMC4990268	8/2016	37.0	851.0
76	PMC5085625	9/2016	36.0	73.0
77	PMC4396835	1/2015	36.0	67.0
78	PMC2582131	11/2008	36.0	44.0
79	PMC4785305	3/2016	35.0	36.0
80	PMC5051327	9/2016	35.0	13.0
81	PMC5784894	1/2018	35.0	50.0
82	PMC5426325	4/2017	35.0	55.0
83	PMC4488777	5/2015	34.0	105.0
84	PMC4302429	1/2015	34.0	56.0
85	PMC4452099	6/2015	34.0	29.0
86	PMC4466139	6/2015	33.0	36.0
87	PMC5812027	2/2018	33.0	57.0
88	PMC4689556	12/2015	33.0	51.0
89	PMC4764019	1/2016	32.0	36.0
