	ARTICLE	ARTICLE DATE	NUM SENTENCES
184	PMC4113768	7/2014	560
462	PMC5941617	5/2018	385
324	PMC4934634	11/2015	126
245	PMC4448820	5/2015	121
143	PMC3717170	5/2013	94
421	PMC5513133	7/2017	93
73	PMC3347028	3/2012	92
125	PMC3659910	1/2013	89
160	PMC3873449	12/2013	83
464	PMC5956785	5/2018	83
76	PMC3356951	4/2012	79
130	PMC3672018	5/2013	72
72	PMC3347007	4/2012	72
218	PMC4329404	10/2014	67
59	PMC3257641	3/2010	67
65	PMC3277098	12/2011	67
107	PMC3515553	12/2012	66
151	PMC3798907	8/2013	65
135	PMC3702245	6/2013	65
191	PMC4169453	9/2014	65
441	PMC5664622	9/2017	64
277	PMC4684854	12/2015	64
241	PMC4417995	4/2015	61
84	PMC3407995	7/2012	61
310	PMC4896250	4/2016	60
347	PMC5014971	8/2016	60
40	PMC2963768	10/2010	60
321	PMC4930210	7/2016	59
156	PMC3827489	10/2013	58
204	PMC4251419	12/2014	58
308	PMC4889866	5/2016	58
330	PMC4971719	8/2016	57
409	PMC5418719	5/2017	56
438	PMC5638722	8/2017	54
91	PMC3427250	8/2012	53
149	PMC3760821	9/2013	53
340	PMC4992225	8/2016	53
331	PMC4973215	8/2016	53
468	PMC6011374	6/2018	51
326	PMC4944244	7/2016	51
380	PMC5146866	12/2016	50
225	PMC4377870	3/2015	49
150	PMC3773018	4/2013	49
103	PMC3501517	11/2012	49
262	PMC4595656	10/2015	49
405	PMC5405075	4/2017	48
376	PMC5129897	10/2016	47
180	PMC4072587	6/2014	47
282	PMC4719746	1/2016	47
446	PMC5706533	11/2017	46
239	PMC4405493	4/2015	46
252	PMC4499946	7/2015	46
419	PMC5489519	6/2017	46
460	PMC5838372	3/2018	45
362	PMC5062906	10/2016	44
440	PMC5659607	10/2017	44
381	PMC5155676	12/2016	44
205	PMC4256222	12/2014	43
437	PMC5634602	10/2017	43
100	PMC3476426	8/2012	43
400	PMC5372327	3/2017	42
41	PMC2996405	11/2010	42
232	PMC4383226	2/2015	41
442	PMC5679631	11/2017	41
269	PMC4632418	10/2015	40
132	PMC3685533	6/2013	40
264	PMC4600246	10/2015	40
119	PMC3613945	2/2013	40
45	PMC3034879	12/2010	40
90	PMC3427192	4/2012	39
123	PMC3641012	4/2013	39
450	PMC5732505	12/2017	38
289	PMC4770602	1/2016	37
242	PMC4427001	4/2015	37
13	PMC2290997	4/2008	37
338	PMC4990268	8/2016	37
368	PMC5085625	9/2016	36
236	PMC4396835	1/2015	36
18	PMC2582131	11/2008	36
293	PMC4785305	3/2016	35
360	PMC5051327	9/2016	35
455	PMC5784894	1/2018	35
411	PMC5426325	4/2017	35
249	PMC4488777	5/2015	34
215	PMC4302429	1/2015	34
246	PMC4452099	6/2015	34
247	PMC4466139	6/2015	33
457	PMC5812027	2/2018	33
278	PMC4689556	12/2015	33
287	PMC4764019	1/2016	32
267	PMC4624803	10/2015	32
366	PMC5084041	10/2016	32
426	PMC5537904	7/2017	31
355	PMC5035678	4/2016	31
255	PMC4516377	6/2015	31
74	PMC3348565	4/2012	31
134	PMC3695234	7/2013	31
121	PMC3629265	4/2013	31
43	PMC3004407	12/2010	30
142	PMC3713405	7/2013	30
333	PMC4976416	7/2016	30
124	PMC3651971	5/2013	30
343	PMC4997421	8/2016	30
219	PMC4329745	10/2014	29
44	PMC3032617	5/2010	29
133	PMC3691177	6/2013	29
37	PMC2889879	5/2010	29
329	PMC4969253	8/2016	29
60	PMC3271033	1/2012	29
280	PMC4691762	12/2015	28
50	PMC3103150	3/2011	28
89	PMC3424155	8/2012	28
176	PMC4045304	2/2014	28
129	PMC3668200	5/2013	28
395	PMC5340372	3/2017	28
105	PMC3509518	11/2012	27
96	PMC3470091	9/2012	27
153	PMC3814422	10/2013	27
337	PMC4989298	8/2016	26
363	PMC5064894	10/2016	26
171	PMC3991049	11/2013	26
30	PMC2798111	12/2010	26
403	PMC5385921	4/2017	25
359	PMC5045784	10/2016	25
114	PMC3552819	12/2012	24
17	PMC2581757	11/2008	24
147	PMC3739737	8/2013	24
48	PMC3075531	7/2010	24
98	PMC3472720	8/2012	24
311	PMC4897157	5/2016	23
