	ARTICLE	ARTICLE DATE	NUM SENTENCES
1143	PMC4896250	4/2016	4228
897	PMC4448820	5/2015	1124
119	PMC2784897	12/2007	1073
688	PMC4120194	7/2014	1032
686	PMC4113768	7/2014	932
1212	PMC4990268	8/2016	851
132	PMC2841444	2/2010	539
1211	PMC4989298	8/2016	484
20	PMC1448690	4/2006	446
855	PMC4392553	3/2015	432
510	PMC3710934	7/2013	419
91	PMC2679409	5/2009	410
1001	PMC4661500	11/2014	404
1167	PMC4933715	7/2016	395
1004	PMC4663588	11/2015	388
1313	PMC5129285	11/2016	386
1392	PMC5347102	3/2017	381
651	PMC4037119	5/2014	378
966	PMC4586450	10/2015	361
1061	PMC4739499	2/2016	353
1352	PMC5241768	1/2017	353
1013	PMC4676908	12/2015	350
26	PMC1592148	7/2006	349
1481	PMC5487839	3/2016	341
704	PMC4154213	5/2014	337
402	PMC3532199	11/2012	332
1119	PMC4864049	1/2016	329
946	PMC4539876	7/2015	328
569	PMC3850030	9/2013	328
600	PMC3901973	5/2013	326
1036	PMC4714725	1/2016	326
236	PMC3183498	8/2011	319
1125	PMC4869271	5/2016	316
1293	PMC5091916	11/2016	305
807	PMC4318168	1/2013	304
1146	PMC4903143	5/2016	297
443	PMC3607807	3/2013	295
385	PMC3500842	6/2011	294
920	PMC4490503	6/2015	293
540	PMC3773919	9/2013	288
1441	PMC5424401	10/2015	287
520	PMC3734354	7/2013	280
519	PMC3728489	7/2013	280
777	PMC4271720	12/2014	277
1108	PMC4846845	4/2016	276
1035	PMC4703068	8/2015	273
698	PMC4143239	8/2014	269
731	PMC4193257	7/1992	268
1002	PMC4661586	4/2015	267
783	PMC4277121	12/2015	265
557	PMC3820434	12/2012	264
1256	PMC5030620	9/2016	263
314	PMC3355854	3/2012	257
718	PMC4172095	8/2014	256
947	PMC4539881	7/2015	253
1206	PMC4980580	8/2016	249
1171	PMC4935697	7/2016	245
405	PMC3534233	11/2012	245
822	PMC4349447	3/2015	245
836	PMC4377879	3/2015	242
321	PMC3366611	4/2012	241
183	PMC3029215	1/2011	240
1458	PMC5445501	5/2017	240
411	PMC3544621	11/2012	240
340	PMC3407995	7/2012	239
674	PMC4085190	7/2014	238
706	PMC4155824	8/2014	234
799	PMC4303849	1/2015	232
1207	PMC4982007	8/2016	231
220	PMC3127778	5/2011	230
1151	PMC4910734	6/2015	229
1380	PMC5327873	1/2017	228
965	PMC4586449	10/2015	226
664	PMC4065350	12/2013	226
780	PMC4275593	9/2014	225
1621	PMC5941617	5/2018	224
397	PMC3515887	11/2012	223
81	PMC2642759	1/2009	222
531	PMC3751294	8/2013	221
891	PMC4438628	5/2015	220
603	PMC3907150	1/2014	220
174	PMC2999828	3/2009	219
922	PMC4494359	11/2013	219
554	PMC3816674	12/2012	218
446	PMC3608974	2/2013	218
648	PMC4031802	6/2014	217
452	PMC3615950	3/2013	217
346	PMC3415261	7/2012	216
390	PMC3504314	11/2012	216
1166	PMC4933662	4/2016	215
611	PMC3928864	1/2014	215
1543	PMC5644840	4/2014	215
1019	PMC4683742	12/2015	214
710	PMC4161944	9/2014	213
1034	PMC4703052	1/2016	211
837	PMC4377888	3/2015	210
1514	PMC555773	9/2004	210
449	PMC3613945	2/2013	210
717	PMC4172064	9/2014	208
1620	PMC5924963	4/2018	208
1351	PMC5241009	1/2017	207
235	PMC3180355	8/2011	206
256	PMC3238385	10/2010	205
692	PMC4129499	8/2014	204
967	PMC4586451	10/2015	204
564	PMC3828585	11/2013	204
1145	PMC4897523	10/2014	203
1295	PMC5093279	10/2016	203
1057	PMC4736099	1/2016	202
437	PMC3586494	2/2013	202
1363	PMC5292182	1/2017	200
1040	PMC4721332	11/2014	200
145	PMC2888576	6/2010	198
770	PMC4260194	12/2014	198
1343	PMC5216258	12/2016	198
1379	PMC5325830	2/2017	196
1274	PMC5059968	10/2016	196
1487	PMC5511638	7/2017	196
331	PMC3387724	7/2012	195
974	PMC4592566	10/2015	194
877	PMC4417529	4/2015	194
242	PMC3202114	10/2011	191
496	PMC3693910	6/2013	191
988	PMC4627942	10/2015	190
1101	PMC4825102	2/2016	190
563	PMC3828574	11/2013	189
849	PMC4386645	3/2015	189
136	PMC2872320	3/2010	187
1583	PMC5732382	12/2017	186
798	PMC4302607	1/2015	186
539	PMC3773449	8/2013	186
658	PMC4051754	6/2014	185
929	PMC4509429	7/2015	185
1155	PMC4919374	6/2016	185
649	PMC4034700	5/2014	184
870	PMC4409764	4/2015	184
896	PMC4446764	5/2015	183
1336	PMC5187359	12/2016	183
329	PMC3385441	2/2012	183
1536	PMC5634437	10/2017	182
63	PMC2430236	6/2008	182
17	PMC1281295	10/2005	182
1265	PMC5045149	9/2016	181
1043	PMC4728620	1/2016	181
566	PMC3829207	11/2013	181
1259	PMC5035072	9/2016	181
1090	PMC4807004	3/2016	181
1231	PMC5000726	8/2016	181
1636	PMC6039335	7/2018	180
963	PMC4581239	8/2015	180
1437	PMC5420136	5/2017	180
1081	PMC4789467	3/2016	179
1323	PMC5139892	12/2016	179
772	PMC4264037	9/2014	178
1562	PMC5688482	11/2017	178
202	PMC3099599	5/2011	178
932	PMC4514967	12/2014	177
512	PMC3713405	7/2013	177
937	PMC4518609	5/2015	177
791	PMC4292443	1/2015	177
130	PMC2831965	1/2010	177
1446	PMC5434919	3/2017	176
133	PMC2849017	9/2007	176
1251	PMC5025983	8/2015	176
1089	PMC4806285	3/2016	176
489	PMC3683620	5/2013	175
483	PMC3674738	5/2013	174
1391	PMC5345907	1/2017	174
596	PMC3895739	12/2013	174
506	PMC3704911	7/2013	174
1597	PMC5793328	1/2018	174
421	PMC3561108	9/2012	173
410	PMC3543392	12/2012	173
742	PMC4210909	10/2014	173
653	PMC4045304	2/2014	173
439	PMC3599191	1/2013	172
680	PMC4100392	6/2014	172
720	PMC4173670	9/2014	172
1466	PMC5470056	4/2017	172
117	PMC2779500	11/2009	172
134	PMC2850511	4/2010	171
352	PMC3426771	1/2012	170
1141	PMC4892663	5/2016	170
641	PMC4018969	5/2014	170
1075	PMC4774132	3/2016	168
709	PMC4161853	8/2014	168
1279	PMC5069446	10/2016	167
762	PMC4246417	11/2014	166
1478	PMC5485170	3/2017	166
568	PMC3849683	9/2013	165
911	PMC4466850	4/2015	164
466	PMC3650171	2/2013	164
1112	PMC4856298	5/2016	164
263	PMC3250923	10/2011	164
1375	PMC5320754	2/2017	163
1492	PMC5516245	10/2016	163
1097	PMC4820961	3/2016	163
1431	PMC5410409	4/2017	163
643	PMC4026129	1/2014	162
30	PMC1764147	12/2006	162
1170	PMC4934640	11/2015	162
129	PMC2831604	1/2010	161
507	PMC3705146	5/2013	161
1524	PMC5593991	9/2017	161
833	PMC4372177	2/2015	161
135	PMC2867001	5/2010	161
537	PMC3766643	8/2013	160
945	PMC4539485	8/2015	160
565	PMC3828638	11/2013	160
1456	PMC5444625	5/2017	160
1290	PMC5088205	11/2016	160
1361	PMC5291430	2/2017	160
552	PMC3813450	10/2013	159
1625	PMC5958072	5/2018	159
1126	PMC4871475	5/2016	159
835	PMC4377870	3/2015	158
219	PMC3124144	5/2011	158
1582	PMC5727393	12/2017	157
300	PMC3325178	4/2012	157
1321	PMC5137972	6/2016	157
861	PMC4404046	4/2015	156
768	PMC4258799	11/2014	155
840	PMC4379362	3/2015	155
913	PMC4476607	1/2015	155
337	PMC3404662	4/2012	155
1602	PMC5804527	8/2016	155
1348	PMC5232347	1/2017	155
112	PMC2756957	10/2009	155
1105	PMC4835505	4/2016	155
358	PMC3436647	4/2012	154
662	PMC4062859	3/2014	154
1150	PMC4910255	6/2016	154
1285	PMC5084016	10/2016	154
1469	PMC5472316	6/2017	154
97	PMC2689221	5/2009	154
247	PMC3219760	10/2011	154
1599	PMC5800548	2/2018	153
1555	PMC5678092	11/2017	152
980	PMC4609156	10/2015	152
384	PMC3496584	7/2012	152
8	PMC1168874	7/2005	152
730	PMC4193194	10/2014	152
454	PMC3621213	1/2013	152
1525	PMC5594587	9/2017	152
277	PMC3272870	12/2011	151
1405	PMC5371920	3/2017	151
1288	PMC5084734	5/2016	151
173	PMC2996405	11/2010	151
915	PMC4477503	6/2015	151
638	PMC4015817	10/2013	150
82	PMC2644268	3/2009	150
1477	PMC5485039	3/2017	150
1165	PMC4931906	5/2016	149
1278	PMC5065689	10/2016	149
293	PMC3316748	10/2011	149
953	PMC4549107	8/2015	149
1394	PMC5350457	2/2017	148
1176	PMC4940755	7/2015	148
524	PMC3740243	8/2013	148
225	PMC3138750	7/2011	148
1563	PMC5689158	11/2017	147
1116	PMC4861006	5/2016	147
1010	PMC4672086	12/2015	147
739	PMC4207047	5/2014	147
1309	PMC5119728	11/2016	147
931	PMC4512131	8/2015	147
1557	PMC5680205	11/2017	147
1400	PMC5367805	3/2017	147
942	PMC4534102	8/2015	147
144	PMC2888390	6/2010	146
983	PMC4618150	10/2015	146
221	PMC3130670	6/2011	146
781	PMC4275595	9/2014	146
429	PMC3577503	1/2013	146
227	PMC3156327	4/2011	145
1014	PMC4680925	12/2015	145
406	PMC3534321	12/2012	145
103	PMC2722408	7/2009	145
821	PMC4346113	3/2015	144
1263	PMC5041052	8/2016	144
1200	PMC4977046	3/2016	144
740	PMC4208652	6/2014	144
1499	PMC5526977	7/2017	144
90	PMC2672462	4/2009	143
795	PMC4302093	1/2015	143
1092	PMC4810511	3/2016	143
87	PMC2671168	5/2009	143
867	PMC4407308	4/2015	142
326	PMC3378453	4/2012	142
689	PMC4122175	8/2014	142
672	PMC4078997	5/2014	142
1329	PMC5153572	11/2016	142
474	PMC3660281	5/2013	142
534	PMC3759332	9/2013	142
110	PMC2749934	9/2009	141
363	PMC3462678	4/2012	141
1541	PMC5644053	10/2017	140
1315	PMC5131456	11/2016	140
1483	PMC5496067	6/2017	140
1546	PMC5651398	9/2017	140
1005	PMC4663595	11/2015	140
633	PMC3996361	4/2014	140
1297	PMC5094567	6/2016	140
1291	PMC5089547	11/2016	140
1519	PMC5579643	8/2017	140
380	PMC3488410	10/2012	139
1033	PMC4701936	1/2016	138
530	PMC3749995	8/2013	138
155	PMC2936567	9/2010	138
1180	PMC4949006	7/2016	138
388	PMC3504157	11/2012	138
1518	PMC5578746	8/2017	138
928	PMC4507980	7/2015	138
189	PMC3050773	2/2011	138
969	PMC4588865	8/2015	138
1201	PMC4977047	2/2016	137
1527	PMC5606134	9/2017	137
817	PMC4334623	2/2015	137
191	PMC3061267	2/2011	137
1254	PMC5029041	9/2016	137
369	PMC3472225	8/2012	137
324	PMC3375006	4/2012	136
479	PMC3669017	5/2013	136
695	PMC4141279	8/2014	136
1594	PMC5784936	1/2018	136
1626	PMC5965027	5/2018	136
927	PMC4504131	7/2015	135
1419	PMC5387697	2/2017	135
567	PMC3829803	11/2013	135
341	PMC3409554	7/2012	135
738	PMC4203464	10/2014	135
1228	PMC4999029	5/2016	135
68	PMC2526009	10/2008	134
972	PMC4591141	10/2015	134
456	PMC3628788	4/2013	134
1239	PMC5016860	9/2016	134
562	PMC3827496	11/2013	134
671	PMC4078574	6/2014	134
1210	PMC4988629	8/2016	134
315	PMC3355895	1/2011	133
793	PMC4292819	1/2015	133
588	PMC3877003	12/2013	133
319	PMC3365381	3/2011	133
484	PMC3675032	6/2013	133
1118	PMC4861337	5/2016	133
1468	PMC5471716	1/2017	132
51	PMC2265059	3/2008	132
1003	PMC4663580	11/2015	132
357	PMC3433666	8/2012	132
729	PMC4192934	7/1989	131
619	PMC3946277	3/2014	131
904	PMC4463023	2/2015	131
820	PMC4342189	2/2015	131
1596	PMC5792223	1/2018	131
48	PMC2151954	10/2007	131
1434	PMC5417583	5/2017	130
589	PMC3877972	12/2013	130
254	PMC3236407	11/2012	130
1016	PMC4682815	12/2015	130
361	PMC3448850	4/2012	130
529	PMC3747105	8/2013	130
1564	PMC5690236	7/2015	130
1292	PMC5090877	11/2016	129
1454	PMC5442804	9/2016	129
943	PMC4536216	8/2015	129
356	PMC3433387	5/2012	129
610	PMC3926776	2/2011	129
675	PMC4089555	5/2014	128
1283	PMC5073870	10/2016	128
1509	PMC5543438	8/2017	128
702	PMC4144280	9/2014	128
533	PMC3758023	8/2013	128
209	PMC3111740	5/2011	127
1607	PMC5826910	2/2018	127
806	PMC4316389	1/2015	127
1637	PMC6043562	7/2018	127
59	PMC2367680	5/2008	126
416	PMC3553086	1/2013	126
826	PMC4354412	3/2015	126
283	PMC3278486	1/2012	126
637	PMC4014765	3/2014	126
170	PMC2993657	11/2010	126
1339	PMC5206289	5/2016	126
547	PMC3794936	10/2013	126
601	PMC3901983	1/2013	126
773	PMC4266867	11/2014	125
1248	PMC5025055	9/2016	125
1341	PMC5215441	7/2016	125
938	PMC4526903	6/2015	125
727	PMC4192458	9/2014	125
902	PMC4459664	4/2015	125
195	PMC3081498	7/2006	125
693	PMC4132016	8/2014	125
1588	PMC5748804	12/2017	125
464	PMC3642194	5/2013	125
546	PMC3794857	10/2013	125
848	PMC4385595	3/2015	125
1572	PMC5704156	11/2017	125
700	PMC4143824	7/2014	125
1377	PMC5325195	2/2017	125
645	PMC4029598	12/2013	125
782	PMC4275682	12/2014	124
622	PMC3969295	2/2014	124
656	PMC4049132	6/2014	124
1247	PMC5024513	9/2016	124
1136	PMC4882712	5/2016	124
1140	PMC4892656	6/2016	124
1455	PMC5443512	5/2017	124
634	PMC3999948	4/2014	123
378	PMC3483668	10/2012	123
703	PMC4152245	9/2014	123
1515	PMC5562975	8/2017	123
580	PMC3864158	12/2013	123
1242	PMC5017622	9/2016	123
1154	PMC4918713	6/2015	123
223	PMC3134395	6/2011	123
1286	PMC5084028	10/2016	123
1370	PMC5307851	2/2017	123
430	PMC3578836	2/2013	122
371	PMC3474767	10/2012	122
1188	PMC4964025	7/2016	122
719	PMC4172780	9/2014	122
29	PMC1665416	11/2006	122
1223	PMC4997411	8/2016	122
1517	PMC5576377	8/2017	122
650	PMC4036492	5/2014	122
1168	PMC4934568	10/2014	122
1138	PMC4891833	6/2016	122
39	PMC1937008	7/2007	122
1396	PMC5351212	3/2017	122
1153	PMC4915063	6/2016	122
1345	PMC5219667	1/2017	122
830	PMC4363193	3/2015	122
339	PMC3407139	7/2012	121
1415	PMC5384134	4/2017	121
1395	PMC5351166	3/2017	121
6	PMC1074510	3/2004	121
893	PMC4441812	6/2015	121
1346	PMC5223368	12/2016	121
118	PMC2780862	12/2009	120
736	PMC4202003	10/2014	120
184	PMC3031146	1/2011	120
99	PMC2707610	7/2009	120
475	PMC3660294	5/2013	120
659	PMC4053091	4/2014	120
1252	PMC5028238	10/2016	120
827	PMC4358872	2/2015	120
1579	PMC5718612	12/2017	120
70	PMC2543024	9/2008	120
312	PMC3354911	12/2011	120
644	PMC4026680	3/2014	120
914	PMC4476863	6/2015	120
1609	PMC5828098	2/2018	119
850	PMC4388824	4/2015	119
338	PMC3406997	5/2012	119
149	PMC2904854	3/2010	119
900	PMC4453242	5/2015	119
1174	PMC4939564	8/2015	119
598	PMC3898607	1/2014	119
851	PMC4388909	5/2014	119
1463	PMC5452160	4/2017	118
1009	PMC4670104	12/2015	118
318	PMC3360698	5/2012	118
1161	PMC4924192	6/2016	118
685	PMC4110237	7/2014	118
1301	PMC5100627	10/2016	118
994	PMC4642531	8/2015	118
1276	PMC5062906	10/2016	118
84	PMC2658734	4/2009	118
684	PMC4109981	7/2014	118
923	PMC4499266	4/2015	118
621	PMC3966825	3/2014	117
612	PMC3930526	2/2014	117
233	PMC3171895	9/2011	117
572	PMC3855580	10/2013	117
1334	PMC5168650	12/2016	117
86	PMC2671035	5/2009	117
182	PMC3028947	11/2010	117
847	PMC4383575	1/2015	117
264	PMC3252281	12/2011	117
879	PMC4418750	6/2015	117
1021	PMC4685088	12/2015	117
494	PMC3690969	7/2013	116
723	PMC4183922	6/2014	116
77	PMC2633366	8/2006	116
