	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC3103150	3/2011	1.0	0.0
1	PMC3668200	5/2013	1.0	0.0
2	PMC4934634	11/2015	1.0	0.0
3	PMC5084016	10/2016	1.0	0.0
4	PMC5941617	5/2018	1.0	0.0
5	PMC3740243	8/2013	0.0	2.0
6	PMC3387724	7/2012	0.0	1.0
7	PMC3728489	7/2013	0.0	1.0
8	PMC4216020	10/2014	0.0	1.0
9	PMC4409764	4/2015	0.0	1.0
10	PMC4539876	7/2015	0.0	1.0
11	PMC4682386	12/2015	0.0	1.0
12	PMC4682819	12/2015	0.0	1.0
13	PMC4728620	1/2016	0.0	1.0
14	PMC4957279	7/2016	0.0	1.0
15	PMC5133065	10/2016	0.0	1.0
16	PMC5347102	3/2017	0.0	1.0
17	PMC5643576	9/2015	0.0	1.0
