	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC4113768	7/2014	723.0	2699
1	PMC5941617	5/2018	412.0	320
2	PMC4934634	11/2015	151.0	158
3	PMC4448820	5/2015	139.0	1559
4	PMC4329404	10/2014	109.0	78
5	PMC5513133	7/2017	105.0	166
6	PMC3347028	3/2012	104.0	142
7	PMC3659910	1/2013	102.0	94
8	PMC5956785	5/2018	101.0	185
9	PMC3717170	5/2013	101.0	109
10	PMC3873449	12/2013	100.0	118
11	PMC3347007	4/2012	99.0	93
12	PMC3356951	4/2012	94.0	85
13	PMC4169453	9/2014	85.0	166
14	PMC4896250	4/2016	84.0	9526
15	PMC3672018	5/2013	81.0	115
16	PMC3515553	12/2012	79.0	121
17	PMC3407995	7/2012	79.0	415
18	PMC4930210	7/2016	78.0	96
19	PMC5664622	9/2017	77.0	61
20	PMC3427250	8/2012	76.0	59
21	PMC4417995	4/2015	75.0	115
22	PMC4971719	8/2016	74.0	99
23	PMC3277098	12/2011	74.0	135
24	PMC5418719	5/2017	74.0	68
25	PMC3641012	4/2013	74.0	191
26	PMC4992225	8/2016	73.0	213
27	PMC3798907	8/2013	73.0	83
28	PMC4405493	4/2015	72.0	108
29	PMC3702245	6/2013	71.0	27
30	PMC3257641	3/2010	70.0	95
31	PMC6011374	6/2018	68.0	58
32	PMC5146866	12/2016	67.0	43
33	PMC4944244	7/2016	67.0	165
34	PMC2963768	10/2010	66.0	95
35	PMC5838372	3/2018	66.0	63
36	PMC4684854	12/2015	65.0	78
37	PMC3827489	10/2013	64.0	41
38	PMC5014971	8/2016	64.0	73
39	PMC4251419	12/2014	63.0	102
40	PMC3501517	11/2012	62.0	173
41	PMC4973215	8/2016	62.0	45
42	PMC5638722	8/2017	62.0	74
43	PMC4072587	6/2014	61.0	97
44	PMC5706533	11/2017	61.0	118
45	PMC4889866	5/2016	61.0	81
46	PMC3760821	9/2013	60.0	127
47	PMC4499946	7/2015	60.0	241
48	PMC5062906	10/2016	59.0	326
49	PMC4256222	12/2014	58.0	89
50	PMC3651971	5/2013	57.0	107
51	PMC5155676	12/2016	57.0	82
52	PMC4377870	3/2015	56.0	202
53	PMC5679631	11/2017	56.0	115
