	ARTICLE	ARTICLE DATE	NUM SENTENCES
1144	PMC4896250	4/2016	9526
687	PMC4113768	7/2014	2699
120	PMC2784897	12/2007	1583
898	PMC4448820	5/2015	1559
689	PMC4120194	7/2014	1249
1213	PMC4990268	8/2016	1174
403	PMC3532199	11/2012	836
1295	PMC5091916	11/2016	764
92	PMC2679409	5/2009	716
133	PMC2841444	2/2010	693
1002	PMC4661500	11/2014	683
1014	PMC4676908	12/2015	670
511	PMC3710934	7/2013	664
1212	PMC4989298	8/2016	643
705	PMC4154213	5/2014	642
1168	PMC4933715	7/2016	603
856	PMC4392553	3/2015	593
967	PMC4586450	10/2015	580
1394	PMC5347102	3/2017	579
1005	PMC4663588	11/2015	549
20	PMC1448690	4/2006	534
1036	PMC4703068	8/2015	523
257	PMC3238385	10/2010	506
541	PMC3773919	9/2013	503
652	PMC4037119	5/2014	485
570	PMC3850030	9/2013	485
1354	PMC5241768	1/2017	478
1315	PMC5129285	11/2016	469
1126	PMC4869271	5/2016	464
1106	PMC4835505	4/2016	447
1458	PMC5444625	5/2017	447
1456	PMC5442804	9/2016	443
1037	PMC4714725	1/2016	443
1113	PMC4856298	5/2016	439
1062	PMC4739499	2/2016	434
823	PMC4349447	3/2015	434
26	PMC1592148	7/2006	432
947	PMC4539876	7/2015	431
447	PMC3608974	2/2013	430
966	PMC4586449	10/2015	422
1120	PMC4864049	1/2016	421
1585	PMC5727393	12/2017	420
341	PMC3407995	7/2012	415
1257	PMC5030620	9/2016	413
1443	PMC5424401	10/2015	412
1127	PMC4871475	5/2016	412
808	PMC4318168	1/2013	403
548	PMC3794936	10/2013	398
558	PMC3820434	12/2012	398
601	PMC3901973	5/2013	397
699	PMC4143239	8/2014	397
1460	PMC5445501	5/2017	394
1142	PMC4892663	5/2016	392
1483	PMC5487839	3/2016	390
146	PMC2888576	6/2010	383
386	PMC3500842	6/2011	381
1207	PMC4980580	8/2016	381
921	PMC4490503	6/2015	379
1382	PMC5327873	1/2017	377
1003	PMC4661586	4/2015	375
1147	PMC4903143	5/2016	371
975	PMC4592566	10/2015	371
