	ARTICLE	ARTICLE DATE	NUM SENTENCES
200	PMC4113768	7/2014	723
511	PMC5941617	5/2018	412
357	PMC4934634	11/2015	151
269	PMC4448820	5/2015	139
237	PMC4329404	10/2014	109
466	PMC5513133	7/2017	105
83	PMC3347028	3/2012	104
137	PMC3659910	1/2013	102
513	PMC5956785	5/2018	101
156	PMC3717170	5/2013	101
174	PMC3873449	12/2013	100
82	PMC3347007	4/2012	99
86	PMC3356951	4/2012	94
207	PMC4169453	9/2014	85
342	PMC4896250	4/2016	84
142	PMC3672018	5/2013	81
118	PMC3515553	12/2012	79
95	PMC3407995	7/2012	79
354	PMC4930210	7/2016	78
488	PMC5664622	9/2017	77
102	PMC3427250	8/2012	76
264	PMC4417995	4/2015	75
364	PMC4971719	8/2016	74
75	PMC3277098	12/2011	74
451	PMC5418719	5/2017	74
134	PMC3641012	4/2013	74
374	PMC4992225	8/2016	73
165	PMC3798907	8/2013	73
260	PMC4405493	4/2015	72
148	PMC3702245	6/2013	71
69	PMC3257641	3/2010	70
517	PMC6011374	6/2018	68
419	PMC5146866	12/2016	67
360	PMC4944244	7/2016	67
44	PMC2963768	10/2010	66
509	PMC5838372	3/2018	66
307	PMC4684854	12/2015	65
170	PMC3827489	10/2013	64
382	PMC5014971	8/2016	64
223	PMC4251419	12/2014	63
114	PMC3501517	11/2012	62
365	PMC4973215	8/2016	62
485	PMC5638722	8/2017	62
196	PMC4072587	6/2014	61
493	PMC5706533	11/2017	61
340	PMC4889866	5/2016	61
162	PMC3760821	9/2013	60
278	PMC4499946	7/2015	60
398	PMC5062906	10/2016	59
224	PMC4256222	12/2014	58
135	PMC3651971	5/2013	57
420	PMC5155676	12/2016	57
246	PMC4377870	3/2015	56
489	PMC5679631	11/2017	56
111	PMC3476426	8/2012	55
463	PMC5489519	6/2017	55
163	PMC3773018	4/2013	55
487	PMC5659607	10/2017	54
313	PMC4719746	1/2016	52
144	PMC3685533	6/2013	52
51	PMC3034879	12/2010	52
290	PMC4595656	10/2015	51
484	PMC5634602	10/2017	51
439	PMC5372327	3/2017	50
447	PMC5405075	4/2017	50
415	PMC5129897	10/2016	49
46	PMC2996405	11/2010	49
504	PMC5784894	1/2018	48
498	PMC5732505	12/2017	47
298	PMC4632418	10/2015	47
403	PMC5084041	10/2016	47
234	PMC4302429	1/2015	46
253	PMC4383226	2/2015	46
13	PMC2290997	4/2008	46
130	PMC3613945	2/2013	46
132	PMC3629265	4/2013	46
296	PMC4624803	10/2015	46
145	PMC3691177	6/2013	46
396	PMC5051327	9/2016	45
372	PMC4990268	8/2016	45
324	PMC4785305	3/2016	45
50	PMC3032617	5/2010	45
309	PMC4689556	12/2015	44
187	PMC3991049	11/2013	44
292	PMC4600246	10/2015	43
272	PMC4466139	6/2015	43
275	PMC4488777	5/2015	43
270	PMC4452099	6/2015	43
265	PMC4427001	4/2015	42
84	PMC3348565	4/2012	42
101	PMC3427192	4/2012	41
378	PMC4997421	8/2016	41
48	PMC3004407	12/2010	41
257	PMC4396835	1/2015	41
506	PMC5812027	2/2018	41
320	PMC4770602	1/2016	40
405	PMC5085625	9/2016	40
471	PMC5537904	7/2017	40
70	PMC3271033	1/2012	40
454	PMC5426325	4/2017	40
