	ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)	CLUSTER	PREPROCESSED_SENTENCE
S48-PMC3702245	PMC3702245	6/2013	S48-PMC3702245	['Vitamin D HAS BEEN SHOWN to upregulate Endogenous Synthesis Of Cathelicidin, a potent Antimicrobial peptide, in response to Microbial Invasion, via activation of toll-like receptors on microphages and Monocytes.6,24given that Antimicrobial peptides provide rapid Defense against invading pathogens, it is PLAUSIBLE that Vitamin D plays a ROLE in host defense against infections in both mother and offspring.']	[('INCOMPLETE_EVIDENCE', 10), ('INCOMPLETE_EVIDENCE', 305), ('SUPERFICIAL_RELATIONSHIP', 338)]	3	[('CHEBI_28384', 'vitamin K', 0, 'Vitamin D'), ('GO_0009790', 'embryo development', 39, 'endogenous'), ('GO_0007608', 'sensory perception of smell', 50, 'synthesis of ...'), ('CHEBI_3364', 'Canthiumine', 63, 'cathelicidin'), ('PR_000006009', 'alpha-catulin', 63, 'cathelicidin'), ('CHEBI_65381', 'albizoside C', 86, 'antimicrobial'), ('NCBITaxon_10088', 'Mus <genus>', 124, 'microbial'), ('GO_0007586', 'digestion', 134, 'invasion'), ('CL_0000576', 'monocyte', 201, 'monocytes'), ('CHEBI_65381', 'albizoside C', 226, 'antimicrobial'), ('GO_0006952', 'defense response', 263, 'defense'), ('CHEBI_27300', 'vitamin D', 320, 'vitamin D')]	0	['vitamin shown upregulate endogenous synthesis , potent antimicrobial peptide, response microbial invasion, via activation toll-like receptors microphages monocytes.6,24given antimicrobial peptides provide rapid defense invading pathogens, plausible  plays role host defense infections mother offspring.']
S186-PMC4302429	PMC4302429	1/2015	S186-PMC4302429	['PRESUMABLY, in addition to Cathelicidin, OTHER Immune Mediators are INVOLVED in the Vitamin D-dependent Immune pathways.']	[('ANOMALY_CURIOUS_FINDING', 0), ('INCOMPLETE_EVIDENCE', 0), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 41), ('SUPERFICIAL_RELATIONSHIP', 68)]	4	[('CHEBI_3364', 'Canthiumine', 27, 'cathelicidin'), ('PR_000006009', 'alpha-catulin', 27, 'cathelicidin'), ('UBERON_0002405', 'immune system', 47, 'immune'), ('CHEBI_35222', 'inhibitor', 54, 'mediators'), ('CHEBI_27300', 'vitamin D', 84, 'vitamin D'), ('UBERON_0002405', 'immune system', 104, 'immune')]	0	['presumably, addition , immune mediators involved -dependent immune pathways.']
S14-PMC4859539	PMC4859539	5/2016	S14-PMC4859539	['additionally, WHILE ONE STUDY examined the levels of maternal and neonatal Vitamin D and Cathelicidin concentrations in healthy children at Delivery, there is a LACK OF research TO DETERMINE CORRELATIONS between Vitamin D status and cathelicidin among healthy children over time [20], as well as WHICH FACTORS such as age of the child, gender, and body composition MAY INDEPENDENTLY IMPACT Cathelicidin concentrations.']	[('ALTERNATIVE_OPTIONS_CONTROVERSY', 14), ('INCOMPLETE_EVIDENCE', 20), ('INCOMPLETE_EVIDENCE', 161), ('QUESTION_ANSWERED_BY_THIS_WORK', 178), ('SUPERFICIAL_RELATIONSHIP', 191), ('EXPLICIT_QUESTION', 296), ('SUPERFICIAL_RELATIONSHIP', 302), ('INCOMPLETE_EVIDENCE', 365), ('SUPERFICIAL_RELATIONSHIP', 369), ('SUPERFICIAL_RELATIONSHIP', 383)]	10	[('CHEBI_27300', 'vitamin D', 75, 'vitamin D'), ('CHEBI_3364', 'Canthiumine', 89, 'cathelicidin'), ('PR_000006009', 'alpha-catulin', 89, 'cathelicidin'), ('GO_0007567', 'parturition', 140, 'delivery'), ('CHEBI_27300', 'vitamin D', 212, 'vitamin D'), ('CHEBI_3364', 'Canthiumine', 390, 'cathelicidin'), ('PR_000006009', 'alpha-catulin', 390, 'cathelicidin')]	0	['additionally, one study examined levels maternal neonatal   concentrations healthy children delivery, lack research determine correlations  status cathelicidin among healthy children time [20], well factors age child, gender, body composition may independently impact  concentrations.']
S97-PMC4859539	PMC4859539	5/2016	S97-PMC4859539	"['[""""in MODELS 1 and 4, there was also a TREND NOTED with the child’s percent fat being positively ASSOCIATED with Cathelicidin (beta = 0.028, p = 0.052 and beta = 0.025, p = 0.087).10.1371/journal.pone.0152711.t003\\n\\ncaption (table-wrap): table 3\\nmultivariable linear regression models assessing factors associated with natural logarithm for Cathelicidin.model 1 \\xa0\\xa0independent variablesbetase1p valuerace/ethnicity\\xa0\\xa0black-0.0390.230.864white---------hispanic-0.1490.2000.459genderfemale---------male0.3180.16 0.047 age0.1450.065 0.028 percent fat0.0280.0140.052child\'s current 25(Oh)D-0.0050.010.598 model 2 \\xa0\\xa0\\xa0independent variablesbetasep valuerace/ethnicityblack0.0350.210.868white---------hispanic-0.1490.210.470genderfemale---------male0.2750.170.104age0.2120.07 0.004 percent fat0.0250.020.087child\'s 25(Oh)D at Birth-0.0030.010.748 model 3 \\xa0\\xa0\\xa0independent variablesbetasep valuerace/ethnicity\\xa0\\xa0black0.0410.180.821white---------hispanic-0.1220.160.458genderfemale---------male0.0910.140.507age0.1550.07 0.023 percent fat0.0120.010.359maternal 25(Oh)D throughout Pregnancy<-0.000100.999 model 4 \\xa0\\xa0\\xa0independent variablesbetasep valuerace/ethnicity\\xa0\\xa0black0.0460.1990.816white---------hispanic-0.0800.1850.669genderfemale---------male0.3180.158 0.047 age0.1510.064 0.021 percent fat0.0260.010.069maternal 25(Oh)D 1-month before Delivery0.0030.010.606\\n1se represents standard error\\n\\ndiscussion\\nin THIS STUDY of healthy children whose mothers had participated in a Vitamin D supplementation trial during Pregnancy, DESPITE DIFFERENCES in both maternal and childhood Vitamin D status, there were no significant differences in Cathelicidin concentration between the three racial/ethnic groups studied.""""]']"	[('ALTERNATIVE_OPTIONS_CONTROVERSY', 3), ('INCOMPLETE_EVIDENCE', 36), ('ANOMALY_CURIOUS_FINDING', 42), ('SUPERFICIAL_RELATIONSHIP', 94), ('QUESTION_ANSWERED_BY_THIS_WORK', 1391), ('ANOMALY_CURIOUS_FINDING', 1508), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 1516)]	7	[('CHEBI_3364', 'Canthiumine', 110, 'cathelicidin'), ('PR_000006009', 'alpha-catulin', 110, 'cathelicidin'), ('CHEBI_3461', 'Casuarictin', 337, 'Cathelicidin'), ('CHEBI_71657', 'versiconol acetate', 572, '25(OH)D'), ('PR_000008775', 'estradiol 17-beta-dehydrogenase 11', 572, '25(OH)D'), ('CHEBI_71657', 'versiconol acetate', 801, '25(OH)D'), ('PR_000006444', 'diacylglycerol kinase delta', 807, 'D'), ('GO_0007567', 'parturition', 812, 'birth'), ('CHEBI_71657', 'versiconol acetate', 1042, '25(OH)D'), ('PR_000006444', 'diacylglycerol kinase delta', 1048, 'D'), ('GO_0007565', 'female pregnancy', 1061, 'pregnancy'), ('CHEBI_71657', 'versiconol acetate', 1300, '25(OH)D'), ('PR_000008775', 'estradiol 17-beta-dehydrogenase 11', 1300, '25(OH)D'), ('GO_0007567', 'parturition', 1323, 'delivery0'), ('CHEBI_27300', 'vitamin D', 1458, 'vitamin D'), ('GO_0007565', 'female pregnancy', 1497, 'pregnancy'), ('CHEBI_27300', 'vitamin D', 1559, 'vitamin D'), ('CHEBI_3364', 'Canthiumine', 1618, 'cathelicidin'), ('PR_000006009', 'alpha-catulin', 1618, 'cathelicidin')]	0	"['[""""in models 1 4, also trend noted child’s percent fat positively associated widin (beta = 0.028, p = 0.052 beta = 0.025, p = 0.087).10.1371/journal.pone.0152711.t003\\n\\ncaption (table-wrap): table 3\\nmultivariable linear regression models assessing factors associated natural logarithm cathelicidin.model 1 \\xa0\\xa0independent variablesbetase1p valuerace/ethnicity\\xa0\\xa0black-0.0390.230.864white---------hispanic-0.1490.2000.459genderfemale---------male0.3180.16 0.047 age0.1450.065 0.028 percent fat0.0280.0140.052child*s current 25(oh)d-0.0050.010.598 model 2 \\xa0\\xa0\\xa0independent variablesbetasep valuerace/ethnicityblack0.0350.210.868white---------hispanic-0.1490.210.470genderfemale---------male0.2750.170.104age0.2120.07 0.004 percent fat0.0250.020.087child*s 25(oh)d birth-0.0030.010.748 model 3 \\xa0\\xa0\\xa0independent variablesbetasep valuerace/ethnicity\\xa0\\xa0black0.0410.180.821white---------hispanic-0.1220.160.458genderfemale---------male0.0910.140.507age0.1550.07 0.023 percent fat0.0120.010.359maternal 25(oh)d throughout pregnancy<-0.000100.999 model 4 \\xa0\\xa0\\xa0independent variablesbetasep valuerace/ethnicity\\xa0\\xa0black0.0460.1990.816white---------hispanic-0.0800.1850.669genderfemale---------male0.3180.158 0.047 age0.1510.064 0.021 percent fat0.0260.010.069maternal 25(oh)d 1-month delivery0.0030.010.606\\n1se represents standard error\\n\\ndiscussion\\nin sealthy children whose mothers participated vitamin supplementation trial p despite differences maternal childhoostatus, significant differences cathelicidin concentration three racial/ethnic groups studied.""""]']"
S99-PMC4859539	PMC4859539	5/2016	S99-PMC4859539	['REGARDLESS OF Vitamin D status, there was no statistically significant difference in Cathelicidin concentrations between subjects, CONSISTENT with the FINDINGS of other RECENT STUDIES [6,7,12,14,17,20].']	[('INCOMPLETE_EVIDENCE', 0), ('INCOMPLETE_EVIDENCE', 131), ('INCOMPLETE_EVIDENCE', 151), ('INCOMPLETE_EVIDENCE', 169)]	4	[('CHEBI_27300', 'vitamin D', 14, 'vitamin D'), ('CHEBI_3364', 'Canthiumine', 85, 'cathelicidin'), ('PR_000006009', 'alpha-catulin', 85, 'cathelicidin')]	0	['regardless  status, statistically significant difference  concentrations subjects, consistent findings recent studies [6,7,12,14,17,20].']
S104-PMC4859539	PMC4859539	5/2016	S104-PMC4859539	['additionally, the LACK OF CORRELATION MAY SUGGEST that circulating Cathelicidin concentration is NOT REFLECTIVE of WHAT is happening at the cellular level, and in this regard, cathelicidin mrna Expression by Immune Cells or target Tissue MAY BE a BETTER indicator of Vitamin D’s long-term EFFECT on the Cathelicidin system.']	[('INCOMPLETE_EVIDENCE', 18), ('SUPERFICIAL_RELATIONSHIP', 26), ('INCOMPLETE_EVIDENCE', 38), ('INCOMPLETE_EVIDENCE', 42), ('FULL_UNKNOWN', 97), ('EXPLICIT_QUESTION', 115), ('INCOMPLETE_EVIDENCE', 238), ('FUTURE_PREDICTION', 247), ('SUPERFICIAL_RELATIONSHIP', 289)]	9	[('CHEBI_3364', 'Canthiumine', 67, 'cathelicidin'), ('GO_0010467', 'gene expression', 194, 'expression'), ('CL_0000738', 'leukocyte', 208, 'immune cells'), ('UBERON_0002405', 'immune system', 208, 'immune'), ('UBERON_0000479', 'tissue', 231, 'tissue'), ('CHEBI_27300', 'vitamin D', 267, 'vitamin D'), ('CHEBI_3364', 'Canthiumine', 303, 'cathelicidin'), ('PR_000006009', 'alpha-catulin', 303, 'cathelicidin')]	0	['additionally, lack correlation may suggest circulating  concentration reflective happening cellular level, regard, cathelicidin mrna expression immune cells target tissue may better indicator ’s long-term effect  system.']
S106-PMC4934634	PMC4934634	11/2015	S106-PMC4934634	['cathelicidins, Antimicrobial peptides that can defend against pathogens, are up regulated by Vitamin D. vdr can bind to response elements Of the Human Cathelicidin peptide Gene (Cathelicidin Antimicrobial peptide; camp) increasing the Killing ability of Innate Immune Cells, Macrophages, THUS strengthening the innate Immune System’s response [41].']	[('PROBABLE_UNDERSTANDING', 288)]	1	[('CHEBI_65381', 'albizoside C', 15, 'antimicrobial'), ('CHEBI_27300', 'vitamin D', 93, 'vitamin D'), ('SO_0001467', 'RST', 138, 'of'), ('NCBITaxon_9606', 'Homo sapiens', 145, 'human'), ('PR_000006009', 'alpha-catulin', 151, 'cathelicidin'), ('SO_0000704', 'gene', 172, 'gene'), ('CHEBI_3364', 'Canthiumine', 178, 'cathelicidin'), ('PR_000006009', 'alpha-catulin', 178, 'cathelicidin'), ('CHEBI_65381', 'albizoside C', 191, 'antimicrobial'), ('GO_0007601', 'visual perception', 235, 'killing'), ('CL_0002088', 'interstitial cell of Cajal', 254, 'innate immune cells'), ('GO_0044409', 'entry into host', 254, 'innate immune cells'), ('UBERON_0002405', 'immune system', 261, 'immune'), ('CL_0000235', 'macrophage', 275, 'macrophages'), ('UBERON_0002405', 'immune system', 318, 'immune system')]	0	['cathelicidins, antimicrobial peptides defend pathogens, regulated . vdr bind response elements human cathelicidin peptide gene ( antimicrobial peptide; camp) increasing killing ability innate immune cells, macrophages, thus strengthening innate immune system’s response [41].']
S22-PMC5679631	PMC5679631	11/2017	S22-PMC5679631	['in addition, a study of sepsis patients DEMONSTRATED a positive ASSOCIATION between Vitamin D status and Plasma Cathelicidin concentrations [10].']	[('INCOMPLETE_EVIDENCE', 40), ('SUPERFICIAL_RELATIONSHIP', 64)]	2	[('CHEBI_27300', 'vitamin D', 84, 'vitamin D'), ('UBERON_0001969', 'blood plasma', 105, 'plasma'), ('CHEBI_3364', 'Canthiumine', 112, 'cathelicidin'), ('PR_000006009', 'alpha-catulin', 112, 'cathelicidin')]	0	['addition, study sepsis patients demonstrated positive association  status plasma  concentrations [10].']
S20-PMC3501517	PMC3501517	11/2012	S20-PMC3501517	['Macrophage Release Of Cathelicidin, an Antimicrobial peptide required for efficient Macrophage Killing of mtb , in response to toll-like receptor activation requires co-activation of the Vitamin D receptor[19],[20].']	N/A	N/A	[('CL_0000235', 'macrophage', 0, 'Macrophage'), ('GO_0046661', 'male sex differentiation', 0, 'Macrophage'), ('GO_1990864', 'response to growth hormone-releasing hormone', 11, 'release of cathelicidin'), ('CHEBI_3364', 'Canthiumine', 22, 'cathelicidin'), ('PR_000006009', 'alpha-catulin', 22, 'cathelicidin'), ('CHEBI_65381', 'albizoside C', 39, 'antimicrobial'), ('CL_0000235', 'macrophage', 84, 'macrophage'), ('GO_0007601', 'visual perception', 95, 'killing'), ('CHEBI_27300', 'vitamin D', 187, 'vitamin D')]	0	['macrophage release , antimicrobial peptide required efficient macrophage killing mtb , response toll-like receptor activation requires co-activation  receptor[19],[20].']
S376-PMC4448820	PMC4448820	5/2015	S376-PMC4448820	['Histone Acetylation Controls Cathelicidin Gene Expression by Vitamin D in Keratinocytes (219).']	N/A	N/A	[('CHEBI_15358', 'histone', 0, 'Histone'), ('GO_0034729', 'histone H3-K79 methylation', 0, 'Histone acetylation'), ('PR_000027594', 'histone H3', 0, 'Histone'), ('GO_0065007', 'biological regulation', 20, 'controls'), ('CHEBI_3364', 'Canthiumine', 29, 'cathelicidin'), ('PR_000006009', 'alpha-catulin', 29, 'cathelicidin'), ('GO_0010467', 'gene expression', 42, 'gene expression'), ('SO_0000704', 'gene', 42, 'gene'), ('CHEBI_27300', 'vitamin D', 61, 'vitamin D'), ('CL_0000312', 'keratinocyte', 74, 'keratinocytes')]	0	['histone acetylation controls  gene expression  keratinocytes (219).']
