	ARTICLE	ARTICLE DATE	NUM SENTENCES
137	PMC4113768	7/2014	163
163	PMC4329404	10/2014	42
93	PMC3641012	4/2013	35
94	PMC3651971	5/2013	27
55	PMC3347007	4/2012	27
352	PMC5941617	5/2018	27
176	PMC4405493	4/2015	26
239	PMC4934634	11/2015	25
229	PMC4896250	4/2016	24
69	PMC3427250	8/2012	23
350	PMC5838372	3/2018	21
140	PMC4169453	9/2014	20
253	PMC4992225	8/2016	20
238	PMC4930210	7/2016	19
154	PMC4258799	11/2014	19
132	PMC3991049	11/2013	18
66	PMC3407995	7/2012	18
182	PMC4448820	5/2015	18
307	PMC5418719	5/2017	18
354	PMC5956785	5/2018	18
257	PMC4997567	8/2016	17
356	PMC6011374	6/2018	17
244	PMC4971719	8/2016	17
144	PMC4188019	1/2010	17
282	PMC5146866	12/2016	17
122	PMC3873449	12/2013	17
103	PMC3691177	6/2013	17
241	PMC4944244	7/2016	16
32	PMC3032617	5/2010	16
273	PMC5084041	10/2016	15
59	PMC3356951	4/2012	15
153	PMC4256222	12/2014	15
92	PMC3629265	4/2013	15
269	PMC5062906	10/2016	15
337	PMC5706533	11/2017	15
335	PMC5685050	10/2014	15
333	PMC5679631	11/2017	15
71	PMC3465343	10/2012	14
135	PMC4072587	6/2014	14
295	PMC5368580	4/2017	14
201	PMC4624803	10/2015	14
179	PMC4417995	4/2015	14
189	PMC4499946	7/2015	14
96	PMC3659910	1/2013	13
346	PMC5784894	1/2018	13
79	PMC3501517	11/2012	13
35	PMC3075531	7/2010	13
332	PMC5664622	9/2017	13
283	PMC5155676	12/2016	13
82	PMC3515553	12/2012	13
161	PMC4302429	1/2015	12
76	PMC3476426	8/2012	12
72	PMC3470091	9/2012	12
56	PMC3347028	3/2012	12
150	PMC4231606	10/2013	12
33	PMC3034879	12/2010	12
102	PMC3685533	6/2013	12
318	PMC5513133	7/2017	12
209	PMC4689556	12/2015	11
256	PMC4997421	8/2016	11
57	PMC3348565	4/2012	11
30	PMC3004407	12/2010	11
353	PMC5952272	5/2018	11
48	PMC3271033	1/2012	11
204	PMC4645901	8/2014	11
36	PMC3103150	3/2011	10
331	PMC5659607	10/2017	10
291	PMC5322422	2/2017	10
270	PMC5064894	10/2016	10
185	PMC4466139	6/2015	10
218	PMC4785305	3/2016	10
267	PMC5051327	9/2016	10
245	PMC4973215	8/2016	9
341	PMC5732505	12/2017	9
6	PMC2290997	4/2008	9
224	PMC4859539	5/2016	9
188	PMC4488777	5/2015	9
321	PMC5537904	7/2017	9
159	PMC4289064	1/2015	9
315	PMC5489519	6/2017	9
100	PMC3672018	5/2013	9
287	PMC5273824	1/2017	9
183	PMC4452099	6/2015	9
211	PMC4691762	12/2015	8
118	PMC3798907	8/2013	8
243	PMC4969253	8/2016	8
99	PMC3668200	5/2013	8
251	PMC4990268	8/2016	8
278	PMC5118763	12/2016	8
330	PMC5638722	8/2017	8
294	PMC5351212	3/2017	8
348	PMC5812027	2/2018	8
357	PMC6039335	7/2018	8
17	PMC2798111	12/2010	8
24	PMC2889879	5/2010	8
329	PMC5634602	10/2017	8
164	PMC4329745	10/2014	8
296	PMC5372327	3/2017	8
355	PMC5995352	6/2018	8
52	PMC3296991	2/2012	8
51	PMC3277098	12/2011	7
246	PMC4976416	7/2016	7
12	PMC2606998	6/2007	7
202	PMC4632418	10/2015	7
264	PMC5035678	4/2016	7
115	PMC3760821	9/2013	7
113	PMC3717170	5/2013	7
29	PMC2996405	11/2010	7
323	PMC5546866	8/2017	7
349	PMC5827025	2/2018	7
54	PMC3338544	4/2012	7
67	PMC3424155	8/2012	7
167	PMC4377870	3/2015	7
248	PMC4982007	8/2016	6
301	PMC5385921	4/2017	6
15	PMC2716336	7/2009	6
84	PMC3521768	12/2012	6
120	PMC3827489	10/2013	6
27	PMC2963768	10/2010	6
18	PMC2821652	2/2010	6
109	PMC3705320	3/2013	6
116	PMC3773018	4/2013	6
114	PMC3739737	8/2013	6
106	PMC3702245	6/2013	6
90	PMC3613945	2/2013	6
170	PMC4380518	9/2014	5
152	PMC4251419	12/2014	5
212	PMC4719746	1/2016	5
175	PMC4396835	1/2015	5
155	PMC4263713	12/2014	5
180	PMC4427001	4/2015	5
171	PMC4383226	2/2015	5
309	PMC5426325	4/2017	5
34	PMC3039633	2/2011	5
91	PMC3616124	4/2013	5
319	PMC5521778	7/2017	5
110	PMC3708703	6/2013	5
272	PMC5084016	10/2016	5
233	PMC4910255	6/2016	5
342	PMC5738092	12/2017	5
358	PMC6043562	7/2018	5
74	PMC3472720	8/2012	4
191	PMC4516377	6/2015	4
77	PMC3485340	10/2012	4
265	PMC5039809	10/2016	4
290	PMC5318550	2/2017	4
87	PMC3552819	12/2012	4
148	PMC4221707	11/2014	4
259	PMC5014971	8/2016	4
275	PMC5085625	9/2016	4
344	PMC5758521	1/2018	4
206	PMC4673623	11/2015	4
250	PMC4989298	8/2016	4
320	PMC5524288	7/2017	4
107	PMC3702339	6/2013	4
221	PMC4843009	4/2016	4
292	PMC5332602	3/2017	3
286	PMC5264377	7/2016	3
281	PMC5134748	11/2017	3
174	PMC4392553	3/2015	3
262	PMC5028238	10/2016	3
227	PMC4889866	5/2016	3
192	PMC4555116	7/2015	3
199	PMC4600246	10/2015	3
254	PMC4993554	8/2016	3
252	PMC4990280	8/2016	3
210	PMC4690051	12/2015	3
234	PMC4910734	6/2015	3
213	PMC4729160	1/2016	3
232	PMC4908484	6/2016	3
216	PMC4770602	1/2016	3
261	PMC5024513	9/2016	3
359	PMC6056931	7/2018	3
89	PMC3586494	2/2013	3
162	PMC4303849	1/2015	3
58	PMC3355895	1/2011	3
62	PMC3376765	6/2012	3
40	PMC3120197	7/2011	3
80	PMC3509518	11/2012	3
37	PMC3107676	4/2011	3
134	PMC4045304	2/2014	3
23	PMC2874518	6/2010	3
112	PMC3713405	7/2013	3
47	PMC3257641	3/2010	3
9	PMC2409299	5/2008	3
16	PMC2779500	11/2009	3
