	OBO_ID	OBO_LABEL	ENRICHMENT_P_VALUE	TOTAL_POPULATION	TOTAL_SUCCESSES	TOTAL_WORD_IGNORANCE	TOTAL_SUCCESSES_IN_WORD_IGNORANCE	BONFERRONI_CRRECTION_P_VALUE	BONFERRONI_CRRECTION_P_VALUE_REJECT	BH_CRRECTION_P_VALUE	BH_CRRECTION_P_VALUE_REJECT
1019	UBERON_0002405	immune system	5.486262281150293e-16	10841	308	8688	295	1.4856798257354994e-12	True	1.4856798257354992e-12	True
709	GO_0007565	female pregnancy	1.2725144401381337e-09	10841	3987	8688	3314	3.445969103894066e-06	True	1.7229845519470328e-06	True
2433	UBERON_0000104	life cycle	4.31149189281681e-08	10841	352	8688	319	0.00011675520045747922	True	3.891840015249307e-05	True
1271	SO_0000704	gene	2.3120034135265076e-07	10841	393	8688	352	0.0006260905243829783	True	0.00015652263109574454	True
515	UBERON_0001442	skeleton of manus	8.377355301407832e-07	10841	63	8688	63	0.002268587815621241	True	0.00038570205357835196	True
1136	UBERON_0007023	adult organism	8.545835751366735e-07	10841	273	8688	248	0.0023142123214701118	True	0.00038570205357835196	True
210	UBERON_0001004	respiratory system	1.979725707015122e-05	10841	133	8688	124	0.05361097214596951	False	0.007658710306567073	True
2590	GO_0007420	brain development	5.961878322926869e-05	10841	56	8688	55	0.1614476649848596	False	0.02018095812310745	True
2669	GO_0065007	biological regulation	9.138752840413681e-05	10841	281	8688	249	0.24747742691840247	False	0.0274974918798225	True
2596	PR_000045358	insulin family protein	0.00015550020830665395	10841	127	8688	117	0.42109456409441887	False	0.042109456409441894	True
468	SO_0001023	allele	0.00017490102163275194	10841	39	8688	39	0.47363196658149226	False	0.04305745150740839	True
2362	UBERON_0004535	cardiovascular system	0.0005292441176420004	10841	64	8688	61	1.0	False	0.11943275588121142	False
1559	UBERON_0000955	brain	0.000622376410166496	10841	179	8688	160	1.0	False	0.12964579374852855	False
682	GO_0007399	nervous system development	0.0006881130281296255	10841	44	8688	43	1.0	False	0.13310072001250187	False
2204	UBERON_0001431	distal carpal bone 2	0.0016129654006286393	10841	29	8688	29	1.0	False	0.2911940203268237	False
2312	GO_0007128	meiotic prophase I	0.0026066033618078626	10841	127	8688	114	1.0	False	0.4411676189859807	False
1148	GO_0006955	immune response	0.0027844986115770375	10841	37	8688	36	1.0	False	0.44355424942062455	False
154	PR_000008775	estradiol 17-beta-dehydrogenase 11	0.003475212054542198	10841	298	8688	257	1.0	False	0.5228263468722374	False
953	UBERON_0012101	perinatal stage	0.006377400824564791	10841	86	8688	78	1.0	False	0.9089474438379712	False
2622	GO_0008152	metabolic process	0.007396874371690286	10841	131	8688	116	1.0	False	1.0	False
1710	UBERON_0000922	embryo	0.009094303698473988	10841	55	8688	51	1.0	False	1.0	False
2054	CHEBI_17234	glucose	0.009405445928113718	10841	116	8688	103	1.0	False	1.0	False
704	GO_0006006	glucose metabolic process	0.009522962939037427	10841	21	8688	21	1.0	False	1.0	False
2606	UBERON_0000113	post-juvenile adult stage	0.010927497468479229	10841	30	8688	29	1.0	False	1.0	False
16	CL_0000540	neuron	0.011888322792470938	10841	20	8688	20	1.0	False	1.0	False
950	GO_0001822	kidney development	0.011888322792470938	10841	20	8688	20	1.0	False	1.0	False
1684	UBERON_0000310	breast	0.01190695503720932	10841	101	8688	90	1.0	False	1.0	False
2176	UBERON_0004288	skeleton	0.014027783020159947	10841	106	8688	94	1.0	False	1.0	False
1920	CHEBI_52024	4-(4-dihexadecylaminostyryl)-N-methylpyridium iodide	0.014409042956193078	10841	233	8688	200	1.0	False	1.0	False
469	GO_0048539	bone marrow development	0.014840861605491612	10841	19	8688	19	1.0	False	1.0	False
1072	UBERON_0005063	left ventricular compact myocardium	0.016672040915454513	10841	36	8688	34	1.0	False	1.0	False
1430	UBERON_0000065	respiratory tract	0.019390296944236062	10841	27	8688	26	1.0	False	1.0	False
