	WORD	ENRICHMENT_P_VALUE	TOTAL_POPULATION	TOTAL_SUCCESSES	TOTAL_WORD_IGNORANCE	TOTAL_SUCCESSES_IN_WORD_IGNORANCE	BONFERRONI_CRRECTION_P_VALUE	BONFERRONI_CRRECTION_P_VALUE_REJECT	BH_CRRECTION_P_VALUE	BH_CRRECTION_P_VALUE_REJECT
4	development	8.338511577438155e-26	10841	568	8688	540	2.3347832416826833e-24	True	2.3347832416826833e-24	True
26	status	2.210342615942969e-22	10841	1672	8688	1478	6.188959324640313e-21	True	3.0944796623201566e-21	True
12	schizophrenia	8.80342640292195e-08	10841	110	8688	107	2.464959392818146e-06	True	8.21653130939382e-07	True
22	exposure	4.837336329496806e-06	10841	579	8688	504	0.00013544541722591057	True	3.3861354306477644e-05	True
0	obesity	2.1984661759261367e-05	10841	108	8688	102	0.0006155705292593183	True	0.00012311410585186364	True
5	sclerosis	3.210362672189181e-05	10841	59	8688	58	0.0008989015482129707	True	0.00013210497374868018	True
20	latitud	3.578755942349967e-05	10841	152	8688	140	0.0010020516638579908	True	0.00013210497374868018	True
19	environment	3.774427821390862e-05	10841	121	8688	113	0.0010568397899894414	True	0.00013210497374868018	True
25	fetus	0.002174589603158453	10841	108	8688	98	0.060888508888436686	False	0.0066744929152418205	True
6	sun	0.0023837474697292215	10841	472	8688	402	0.0667449291524182	False	0.0066744929152418205	True
3	supplement	0.017390657662341973	10841	2390	8688	1952	0.48693841454557524	False	0.044267128595052295	True
24	antioxidant	0.05437320872675216	10841	93	8688	81	1.0	False	0.1268708203624217	False
17	allergies	0.07007286569165752	10841	12	8688	12	1.0	False	0.13498231902612537	False
21	ambient	0.07093909905683013	10841	20	8688	19	1.0	False	0.13498231902612537	False
18	atopy	0.07231195662113858	10841	34	8688	31	1.0	False	0.13498231902612537	False
9	birthweight	0.16422208612525094	10841	28	8688	25	1.0	False	0.2873886507191892	False
15	absorption	0.18757576829344927	10841	101	8688	85	1.0	False	0.3089483242480341	False
14	absorbed	0.278716700888636	10841	12	8688	11	1.0	False	0.4335593124934337	False
23	radiation	0.31137729987976626	10841	77	8688	64	1.0	False	0.4588718103491292	False
7	ultraviolet	0.43737863581407466	10841	66	8688	54	1.0	False	0.6123300901397045	False
10	rural	0.9293432413298653	10841	39	8688	28	1.0	False	0.9999999394642499	False
13	micronutrient	0.9902065047023548	10841	167	8688	122	1.0	False	0.9999999394642499	False
1	iron	0.9945422044131089	10841	439	8688	331	1.0	False	0.9999999394642499	False
2	calcium	0.9978036308502928	10841	508	8688	382	1.0	False	0.9999999394642499	False
8	zinc	0.9988461348621251	10841	221	8688	159	1.0	False	0.9999999394642499	False
27	gestation	0.9994902583005569	10841	588	8688	440	1.0	False	0.9999999394642499	False
16	multivitamin	0.9995177990373767	10841	118	8688	80	1.0	False	0.9999999394642499	False
11	diet	0.9999999394642499	10841	874	8688	639	1.0	False	0.9999999394642499	False
