	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC5539754	8/2017	10.0	1.0
1	PMC5035678	4/2016	10.0	1.0
2	PMC2582131	11/2008	8.0	0.0
3	PMC4427001	4/2015	7.0	0.0
4	PMC4934634	11/2015	6.0	1.0
5	PMC5359891	3/2017	5.0	0.0
6	PMC3760821	9/2013	4.0	0.0
7	PMC4632418	10/2015	4.0	2.0
8	PMC6039335	7/2018	3.0	0.0
9	PMC4113768	7/2014	3.0	0.0
10	PMC5941617	5/2018	3.0	0.0
11	PMC5332602	3/2017	3.0	3.0
12	PMC5085625	9/2016	2.0	0.0
13	PMC5682869	11/2017	1.0	0.0
14	PMC3470091	9/2012	1.0	0.0
15	PMC5418719	5/2017	1.0	0.0
16	PMC3659910	1/2013	1.0	0.0
17	PMC5115165	1/2016	1.0	0.0
18	PMC5100620	10/2016	1.0	0.0
19	PMC3809191	1/2013	1.0	1.0
20	PMC3855580	10/2013	1.0	0.0
21	PMC5030591	9/2016	1.0	0.0
22	PMC4944244	7/2016	1.0	0.0
23	PMC3702245	6/2013	1.0	0.0
24	PMC3356951	4/2012	1.0	0.0
25	PMC4490503	6/2015	1.0	0.0
26	PMC3717170	5/2013	1.0	0.0
27	PMC4383226	2/2015	1.0	0.0
28	PMC3695234	7/2013	1.0	0.0
29	PMC1852384	1/2007	0.0	1.0
30	PMC3032617	5/2010	0.0	1.0
31	PMC4785305	3/2016	0.0	1.0
32	PMC5758844	12/2017	0.0	1.0
