	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC4448820	5/2015	6.0	0.0
1	PMC3717170	5/2013	4.0	0.0
2	PMC4302429	1/2015	4.0	0.0
3	PMC4113768	7/2014	3.0	0.0
4	PMC4896250	4/2016	2.0	0.0
5	PMC5716389	9/2017	2.0	0.0
6	PMC5679631	11/2017	2.0	0.0
7	PMC5579643	8/2017	1.0	0.0
8	PMC5129897	10/2016	1.0	0.0
9	PMC4979151	8/2016	1.0	0.0
10	PMC3235789	12/2011	1.0	0.0
11	PMC4514967	12/2014	1.0	0.0
12	PMC3277098	12/2011	1.0	0.0
13	PMC4251419	12/2014	1.0	0.0
14	PMC4161853	8/2014	1.0	0.0
15	PMC3798907	8/2013	1.0	0.0
16	PMC3702245	6/2013	1.0	0.0
17	PMC5941617	5/2018	1.0	0.0
18	PMC3713405	7/2013	0.0	1.0
