	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC4113768	7/2014	19.0	5.0
1	PMC3702245	6/2013	17.0	1.0
2	PMC5941617	5/2018	14.0	2.0
3	PMC4169453	9/2014	11.0	3.0
4	PMC6011374	6/2018	8.0	2.0
5	PMC5129897	10/2016	8.0	0.0
6	PMC4785305	3/2016	6.0	0.0
7	PMC3277098	12/2011	6.0	0.0
8	PMC4944244	7/2016	6.0	0.0
9	PMC5418719	5/2017	5.0	4.0
10	PMC5155676	12/2016	5.0	0.0
11	PMC4934634	11/2015	5.0	1.0
12	PMC4930210	7/2016	4.0	0.0
13	PMC3347028	3/2012	4.0	1.0
14	PMC3641012	4/2013	4.0	0.0
15	PMC5084041	10/2016	4.0	0.0
16	PMC4691762	12/2015	4.0	0.0
17	PMC5706533	11/2017	4.0	0.0
18	PMC3427192	4/2012	4.0	0.0
19	PMC4396835	1/2015	3.0	0.0
20	PMC2821652	2/2010	3.0	0.0
21	PMC5513133	7/2017	3.0	0.0
22	PMC5524288	7/2017	3.0	2.0
23	PMC5659607	10/2017	3.0	2.0
24	PMC3407995	7/2012	3.0	0.0
25	PMC5679631	11/2017	3.0	0.0
26	PMC3271033	1/2012	3.0	1.0
27	PMC3257641	3/2010	3.0	0.0
28	PMC5064894	10/2016	2.0	0.0
29	PMC4973215	8/2016	2.0	0.0
30	PMC5537904	7/2017	2.0	0.0
31	PMC4859539	5/2016	2.0	2.0
32	PMC5426325	4/2017	2.0	0.0
33	PMC4719746	1/2016	2.0	1.0
34	PMC4690051	12/2015	2.0	0.0
35	PMC4380518	9/2014	2.0	0.0
36	PMC3717170	5/2013	2.0	1.0
37	PMC3814422	10/2013	2.0	0.0
38	PMC3691177	6/2013	2.0	0.0
39	PMC3873449	12/2013	2.0	1.0
40	PMC3809191	1/2013	2.0	0.0
41	PMC3356951	4/2012	2.0	0.0
42	PMC3427250	8/2012	1.0	0.0
43	PMC5405075	4/2017	1.0	0.0
44	PMC3004407	12/2010	1.0	1.0
45	PMC5546866	8/2017	1.0	0.0
46	PMC3552819	12/2012	1.0	0.0
47	PMC3613945	2/2013	1.0	0.0
48	PMC3668200	5/2013	1.0	0.0
49	PMC5827025	2/2018	1.0	1.0
50	PMC2963768	10/2010	1.0	1.0
51	PMC5956785	5/2018	1.0	0.0
52	PMC5634602	10/2017	1.0	0.0
53	PMC5085625	9/2016	1.0	0.0
54	PMC3773018	4/2013	1.0	0.0
55	PMC4764019	1/2016	1.0	0.0
56	PMC3827489	10/2013	1.0	0.0
57	PMC5062906	10/2016	1.0	0.0
58	PMC5045784	10/2016	1.0	0.0
59	PMC4992225	8/2016	1.0	0.0
60	PMC4979151	8/2016	1.0	0.0
61	PMC4251419	12/2014	1.0	0.0
62	PMC4302429	1/2015	1.0	0.0
63	PMC4598849	10/2015	1.0	0.0
64	PMC4829940	5/2016	1.0	0.0
65	PMC4811441	3/2016	1.0	0.0
66	PMC4811107	3/2016	1.0	0.0
67	PMC4684854	12/2015	1.0	0.0
68	PMC2798111	12/2010	1.0	0.0
69	PMC5732505	12/2017	0.0	1.0
70	PMC5685050	10/2014	0.0	1.0
71	PMC4499946	7/2015	0.0	1.0
72	PMC4231606	10/2013	0.0	1.0
73	PMC4632418	10/2015	0.0	1.0
