	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC4113768	7/2014	22.0	0.0
1	PMC2996405	11/2010	17.0	6.0
2	PMC4448820	5/2015	11.0	2.0
3	PMC3773018	4/2013	10.0	0.0
4	PMC5956785	5/2018	10.0	1.0
5	PMC5062906	10/2016	8.0	1.0
6	PMC3515553	12/2012	8.0	0.0
7	PMC4045304	2/2014	7.0	1.0
8	PMC5372327	3/2017	7.0	0.0
9	PMC3075531	7/2010	7.0	0.0
10	PMC3427192	4/2012	6.0	0.0
11	PMC5546866	8/2017	6.0	0.0
12	PMC5941617	5/2018	6.0	0.0
13	PMC3705146	5/2013	5.0	1.0
14	PMC3476426	8/2012	5.0	0.0
15	PMC4829940	5/2016	5.0	0.0
16	PMC4934634	11/2015	4.0	2.0
17	PMC3613945	2/2013	4.0	1.0
18	PMC2685863	5/2009	4.0	0.0
19	PMC4764019	1/2016	4.0	0.0
20	PMC2913107	8/2010	4.0	0.0
21	PMC5513133	7/2017	4.0	0.0
22	PMC4302429	1/2015	3.0	0.0
23	PMC3695234	7/2013	3.0	0.0
24	PMC5155676	12/2016	3.0	0.0
25	PMC3395583	7/2012	3.0	0.0
26	PMC4396835	1/2015	3.0	0.0
27	PMC2873552	4/2010	3.0	0.0
28	PMC5385921	4/2017	3.0	0.0
29	PMC3277098	12/2011	3.0	2.0
30	PMC2963768	10/2010	3.0	0.0
31	PMC4896250	4/2016	3.0	0.0
32	PMC3672018	5/2013	3.0	0.0
33	PMC4466139	6/2015	3.0	0.0
34	PMC4684854	12/2015	3.0	0.0
35	PMC4979151	8/2016	2.0	1.0
36	PMC4998950	4/2016	2.0	0.0
37	PMC4427001	4/2015	2.0	0.0
38	PMC4595656	10/2015	2.0	0.0
39	PMC4832516	10/2015	2.0	0.0
40	PMC4846845	4/2016	2.0	0.0
41	PMC5028238	10/2016	2.0	0.0
42	PMC4499946	7/2015	2.0	0.0
43	PMC5045784	10/2016	2.0	0.0
44	PMC4864049	1/2016	2.0	0.0
45	PMC6039335	7/2018	2.0	1.0
46	PMC5418719	5/2017	2.0	0.0
47	PMC5405075	4/2017	2.0	0.0
48	PMC2872349	4/2010	2.0	0.0
49	PMC3347028	3/2012	2.0	0.0
50	PMC5952272	5/2018	2.0	1.0
51	PMC5659607	10/2017	2.0	0.0
52	PMC4251419	12/2014	2.0	1.0
53	PMC3668200	5/2013	2.0	0.0
54	PMC3713405	7/2013	2.0	0.0
55	PMC3702245	6/2013	2.0	0.0
56	PMC4800340	5/2016	2.0	0.0
57	PMC4072587	6/2014	2.0	0.0
58	PMC5410409	4/2017	1.0	0.0
59	PMC5485024	3/2017	1.0	0.0
60	PMC4933662	4/2016	1.0	0.0
61	PMC4910734	6/2015	1.0	0.0
62	PMC5521778	7/2017	1.0	0.0
63	PMC5634602	10/2017	1.0	0.0
64	PMC5310660	1/2017	1.0	1.0
65	PMC5014971	8/2016	1.0	0.0
66	PMC5995352	6/2018	1.0	0.0
67	PMC5137891	12/2016	1.0	0.0
68	PMC5095257	11/2016	1.0	0.0
69	BMJ_2010_Apr_29_340_c1640	4/2010	1.0	0.0
70	PMC4765528	12/2015	1.0	0.0
71	PMC3470091	9/2012	1.0	0.0
72	PMC3717170	5/2013	1.0	0.0
73	PMC3685533	6/2013	1.0	0.0
74	PMC3659910	1/2013	1.0	0.0
75	PMC3651971	5/2013	1.0	0.0
76	PMC3586494	2/2013	1.0	0.0
77	PMC3488410	10/2012	1.0	0.0
78	PMC3458940	9/2012	1.0	1.0
79	PMC4690051	12/2015	1.0	0.0
80	PMC3424155	8/2012	1.0	0.0
81	PMC3407995	7/2012	1.0	0.0
82	PMC3356951	4/2012	1.0	0.0
83	PMC3348565	4/2012	1.0	0.0
84	PMC3296991	2/2012	1.0	0.0
85	PMC3257641	3/2010	1.0	0.0
86	PMC3926113	1/2014	1.0	0.0
87	PMC4071151	6/2014	1.0	0.0
88	PMC4160835	9/2014	1.0	0.0
89	PMC4169453	9/2014	1.0	0.0
90	PMC4277121	12/2015	1.0	0.0
91	PMC4303849	1/2015	1.0	0.0
92	PMC4329404	10/2014	1.0	1.0
93	PMC4346113	3/2015	1.0	0.0
94	PMC4377870	3/2015	1.0	0.0
95	PMC2290997	4/2008	1.0	0.0
96	PMC4408096	4/2015	1.0	0.0
97	PMC4417995	4/2015	1.0	1.0
98	PMC4516377	6/2015	1.0	0.0
99	PMC4516488	9/2009	1.0	0.0
100	PMC4598849	10/2015	1.0	0.0
101	PMC4600246	10/2015	1.0	0.0
102	PMC4663595	11/2015	1.0	0.0
103	PMC4405493	4/2015	1.0	0.0
104	PMC4785305	3/2016	0.0	2.0
105	PMC3471827	10/2012	0.0	2.0
106	PMC4989298	8/2016	0.0	1.0
107	PMC5351212	3/2017	0.0	1.0
108	PMC5064894	10/2016	0.0	1.0
