	ARTICLE	ARTICLE DATE	NUM SENTENCES
34	PMC5956785	5/2018	6
18	PMC4251419	12/2014	6
7	PMC3476426	8/2012	5
11	PMC3717170	5/2013	4
10	PMC3672018	5/2013	3
2	PMC3075531	7/2010	3
33	PMC5941617	5/2018	2
4	PMC3347028	3/2012	2
31	PMC5405075	4/2017	2
3	PMC3277098	12/2011	2
1	PMC2685863	5/2009	2
32	PMC5685050	10/2014	1
30	PMC5340372	3/2017	1
22	PMC4488777	5/2015	1
29	PMC5310660	1/2017	1
28	PMC5095257	11/2016	1
27	PMC5030591	9/2016	1
26	PMC4934634	11/2015	1
25	PMC4764019	1/2016	1
24	PMC4632418	10/2015	1
23	PMC4624803	10/2015	1
0	BMJ_2010_Apr_29_340_c1640	4/2010	1
21	PMC4466139	6/2015	1
20	PMC4417995	4/2015	1
19	PMC4329404	10/2014	1
16	PMC4106226	7/2014	1
15	PMC4045304	2/2014	1
14	PMC3873449	12/2013	1
13	PMC3827489	10/2013	1
12	PMC3760821	9/2013	1
9	PMC3659910	1/2013	1
8	PMC3635901	4/2013	1
6	PMC3427250	8/2012	1
5	PMC3356951	4/2012	1
17	PMC4169453	9/2014	1
