	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC5941617	5/2018	10.0	1.0
1	PMC4113768	7/2014	9.0	0.0
2	PMC3702245	6/2013	6.0	0.0
3	PMC3717170	5/2013	5.0	0.0
4	PMC2963768	10/2010	4.0	0.0
5	PMC3407995	7/2012	3.0	0.0
6	PMC5051327	9/2016	2.0	0.0
7	PMC3659910	1/2013	2.0	1.0
8	PMC3827489	10/2013	2.0	0.0
9	PMC3465343	10/2012	2.0	1.0
10	PMC5372327	3/2017	2.0	0.0
11	PMC3476426	8/2012	2.0	0.0
12	PMC3348565	4/2012	2.0	0.0
13	PMC3277098	12/2011	2.0	0.0
14	PMC5634602	10/2017	2.0	0.0
15	PMC5784894	1/2018	2.0	1.0
16	PMC5014971	8/2016	1.0	0.0
17	PMC4690051	12/2015	1.0	0.0
18	PMC4933662	4/2016	1.0	0.0
19	PMC2606998	6/2007	1.0	0.0
20	PMC5084016	10/2016	1.0	0.0
21	PMC5085625	9/2016	1.0	0.0
22	PMC5155676	12/2016	1.0	0.0
23	PMC4499946	7/2015	1.0	2.0
24	PMC5405075	4/2017	1.0	0.0
25	PMC5489519	6/2017	1.0	0.0
26	PMC5685050	10/2014	1.0	0.0
27	PMC4632423	10/2015	1.0	0.0
28	PMC3901983	1/2013	1.0	0.0
29	PMC4466139	6/2015	1.0	0.0
30	PMC3427192	4/2012	1.0	0.0
31	PMC2873552	4/2010	1.0	0.0
32	PMC2996405	11/2010	1.0	0.0
33	PMC3034879	12/2010	1.0	1.0
34	PMC3257641	3/2010	1.0	0.0
35	PMC3272870	12/2011	1.0	0.0
36	PMC3347028	3/2012	1.0	0.0
37	PMC3552819	12/2012	1.0	0.0
38	PMC4405493	4/2015	1.0	0.0
39	PMC3695234	7/2013	1.0	0.0
40	PMC3705320	3/2013	1.0	0.0
41	PMC3728489	7/2013	1.0	0.0
42	PMC2872349	4/2010	1.0	1.0
43	PMC3991049	11/2013	1.0	0.0
44	PMC4377870	3/2015	1.0	0.0
45	PMC5995352	6/2018	1.0	0.0
46	PMC3355895	1/2011	0.0	1.0
47	PMC5035678	4/2016	0.0	1.0
