	ARTICLE	ARTICLE DATE	NUM SENTENCES
20	PMC4113768	7/2014	19
12	PMC3641012	4/2013	10
47	PMC5418719	5/2017	8
21	PMC4169453	9/2014	8
56	PMC5732505	12/2017	5
19	PMC3873449	12/2013	5
60	PMC6011374	6/2018	5
58	PMC5941617	5/2018	4
53	PMC5679631	11/2017	4
22	PMC4231606	10/2013	4
3	PMC2963768	10/2010	4
4	PMC3004407	12/2010	4
43	PMC5084041	10/2016	4
59	PMC5956785	5/2018	4
50	PMC5537904	7/2017	3
26	PMC4499946	7/2015	3
38	PMC4934634	11/2015	3
32	PMC4719746	1/2016	3
52	PMC5659607	10/2017	3
17	PMC3705320	3/2013	3
55	PMC5706533	11/2017	2
31	PMC4690051	12/2015	2
39	PMC4944244	7/2016	2
16	PMC3702245	6/2013	2
37	PMC4930210	7/2016	2
35	PMC4859539	5/2016	2
45	PMC5146866	12/2016	2
46	PMC5155676	12/2016	2
2	PMC2821652	2/2010	2
49	PMC5524288	7/2017	2
14	PMC3668200	5/2013	2
18	PMC3773018	4/2013	2
8	PMC3347028	3/2012	2
23	PMC4251419	12/2014	2
57	PMC5827025	2/2018	2
6	PMC3271033	1/2012	2
54	PMC5685050	10/2014	2
48	PMC5489519	6/2017	1
42	PMC5062906	10/2016	1
51	PMC5546866	8/2017	1
44	PMC5129897	10/2016	1
0	PMC2290997	4/2008	1
41	PMC5045784	10/2016	1
24	PMC4256222	12/2014	1
5	PMC3257641	3/2010	1
7	PMC3277098	12/2011	1
9	PMC3407995	7/2012	1
10	PMC3513049	2/2012	1
11	PMC3552819	12/2012	1
13	PMC3659910	1/2013	1
15	PMC3691177	6/2013	1
25	PMC4427001	4/2015	1
40	PMC4971719	8/2016	1
27	PMC4598849	10/2015	1
28	PMC4632418	10/2015	1
29	PMC4632423	10/2015	1
1	PMC2798111	12/2010	1
33	PMC4785305	3/2016	1
34	PMC4811441	3/2016	1
36	PMC4929134	8/2016	1
30	PMC4689556	12/2015	1
