	ARTICLE	ARTICLE DATE	NUM SENTENCES
23	PMC4452099	6/2015	4
17	PMC4113768	7/2014	4
12	PMC3672018	5/2013	4
15	PMC3873449	12/2013	3
44	PMC5679631	11/2017	3
30	PMC4982007	8/2016	3
8	PMC3427250	8/2012	3
21	PMC4329404	10/2014	3
0	PMC2290997	4/2008	2
38	PMC5318550	2/2017	2
35	PMC5084041	10/2016	2
33	PMC5028238	10/2016	2
1	PMC2821652	2/2010	2
48	PMC6043562	7/2018	2
3	PMC3103150	3/2011	2
14	PMC3702245	6/2013	1
40	PMC5426325	4/2017	1
34	PMC5062906	10/2016	1
4	PMC3271033	1/2012	1
36	PMC5223368	12/2016	1
37	PMC5310660	1/2017	1
39	PMC5351212	3/2017	1
41	PMC5474873	6/2017	1
32	PMC4992225	8/2016	1
42	PMC5489519	6/2017	1
43	PMC5539754	8/2017	1
2	PMC3075531	7/2010	1
45	PMC5784894	1/2018	1
46	PMC5941617	5/2018	1
47	PMC5956785	5/2018	1
5	PMC3348565	4/2012	1
31	PMC4989298	8/2016	1
13	PMC3685533	6/2013	1
22	PMC4380518	9/2014	1
16	PMC4072587	6/2014	1
11	PMC3515553	12/2012	1
18	PMC4169453	9/2014	1
19	PMC4188019	1/2010	1
20	PMC4256222	12/2014	1
10	PMC3509518	11/2012	1
9	PMC3501517	11/2012	1
6	PMC3395583	7/2012	1
7	PMC3427192	4/2012	1
25	PMC4864049	1/2016	1
26	PMC4896250	4/2016	1
27	PMC4908484	6/2016	1
28	PMC4934634	11/2015	1
29	PMC4971719	8/2016	1
24	PMC4645901	8/2014	1
