	ARTICLE	ARTICLE DATE	NUM SENTENCES
27	PMC4113768	7/2014	13
32	PMC4256222	12/2014	12
61	PMC5146866	12/2016	7
4	PMC3034879	12/2010	7
81	PMC6011374	6/2018	7
71	PMC5685050	10/2014	7
11	PMC3427250	8/2012	6
34	PMC4329404	10/2014	5
23	PMC3773018	4/2013	5
76	PMC5827025	2/2018	5
60	PMC5084041	10/2016	4
53	PMC4982007	8/2016	4
79	PMC5952272	5/2018	4
52	PMC4973215	8/2016	3
14	PMC3521768	12/2012	3
30	PMC4231606	10/2013	3
45	PMC4859539	5/2016	3
55	PMC4997421	8/2016	3
19	PMC3702245	6/2013	3
2	PMC2963768	10/2010	3
70	PMC5634602	10/2017	3
80	PMC5956785	5/2018	3
51	PMC4944244	7/2016	3
5	PMC3103150	3/2011	2
0	PMC2290997	4/2008	2
35	PMC4380518	9/2014	2
37	PMC4405493	4/2015	2
63	PMC5318550	2/2017	2
62	PMC5155676	12/2016	2
3	PMC3004407	12/2010	2
43	PMC4690051	12/2015	2
10	PMC3407995	7/2012	2
28	PMC4169453	9/2014	2
24	PMC3827489	10/2013	2
73	PMC5732505	12/2017	2
74	PMC5758521	1/2018	2
18	PMC3691177	6/2013	2
17	PMC3672018	5/2013	2
16	PMC3659910	1/2013	2
75	PMC5812027	2/2018	2
44	PMC4811441	3/2016	2
57	PMC5029029	9/2016	1
56	PMC5024513	9/2016	1
58	PMC5039809	10/2016	1
59	PMC5045784	10/2016	1
77	PMC5838372	3/2018	1
64	PMC5385921	4/2017	1
65	PMC5418719	5/2017	1
66	PMC5452160	4/2017	1
68	PMC5521778	7/2017	1
69	PMC5524288	7/2017	1
78	PMC5941617	5/2018	1
72	PMC5706533	11/2017	1
67	PMC5489519	6/2017	1
41	PMC4632418	10/2015	1
54	PMC4990268	8/2016	1
50	PMC4930210	7/2016	1
6	PMC3257641	3/2010	1
7	PMC3296991	2/2012	1
8	PMC3347028	3/2012	1
9	PMC3395583	7/2012	1
12	PMC3470091	9/2012	1
13	PMC3476426	8/2012	1
15	PMC3641012	4/2013	1
20	PMC3702339	6/2013	1
21	PMC3705320	3/2013	1
22	PMC3760821	9/2013	1
25	PMC3901983	1/2013	1
26	PMC4045304	2/2014	1
29	PMC4188019	1/2010	1
31	PMC4251419	12/2014	1
33	PMC4268639	11/2014	1
36	PMC4396835	1/2015	1
38	PMC4448820	5/2015	1
39	PMC4499946	7/2015	1
40	PMC4598849	10/2015	1
1	PMC2798111	12/2010	1
42	PMC4645901	8/2014	1
46	PMC4889866	5/2016	1
47	PMC4891833	6/2016	1
48	PMC4896250	4/2016	1
49	PMC4929134	8/2016	1
82	PMC6056931	7/2018	1
