	ARTICLE	ARTICLE DATE	NUM SENTENCES
59	PMC4113768	7/2014	28
19	PMC3347007	4/2012	12
136	PMC5679631	11/2017	12
44	PMC3691177	6/2013	10
94	PMC4930210	7/2016	10
138	PMC5706533	11/2017	9
81	PMC4499946	7/2015	9
95	PMC4934634	11/2015	9
113	PMC5155676	12/2016	7
146	PMC5941617	5/2018	7
120	PMC5418719	5/2017	7
61	PMC4169453	9/2014	7
16	PMC3271033	1/2012	7
49	PMC3798907	8/2013	7
24	PMC3407995	7/2012	6
38	PMC3651971	5/2013	6
125	PMC5513133	7/2017	6
128	PMC5537904	7/2017	6
86	PMC4689556	12/2015	6
151	PMC6039335	7/2018	6
56	PMC3991049	11/2013	5
97	PMC4944244	7/2016	5
51	PMC3873449	12/2013	5
37	PMC3641012	4/2013	5
129	PMC5546866	8/2017	5
144	PMC5812027	2/2018	5
111	PMC5118763	12/2016	5
74	PMC4383226	2/2015	5
109	PMC5084041	10/2016	5
66	PMC4258799	11/2014	4
2	PMC2798111	12/2010	4
103	PMC4997567	8/2016	4
80	PMC4466139	6/2015	4
141	PMC5738092	12/2017	4
92	PMC4896250	4/2016	4
91	PMC4859539	5/2016	4
63	PMC4188019	1/2010	4
22	PMC3356951	4/2012	4
71	PMC4329404	10/2014	3
87	PMC4691762	12/2015	3
70	PMC4302429	1/2015	3
77	PMC4417995	4/2015	3
78	PMC4448820	5/2015	3
106	PMC5035678	4/2016	3
88	PMC4719746	1/2016	3
114	PMC5273824	1/2017	3
67	PMC4263713	12/2014	3
127	PMC5524288	7/2017	3
36	PMC3629265	4/2013	3
10	PMC3103150	3/2011	3
101	PMC4990268	8/2016	3
11	PMC3107676	4/2011	3
85	PMC4645901	8/2014	3
133	PMC5634602	10/2017	3
9	PMC3075531	7/2010	3
20	PMC3347028	3/2012	3
35	PMC3616124	4/2013	3
135	PMC5664622	9/2017	3
72	PMC4377870	3/2015	2
116	PMC5368580	4/2017	2
1	PMC2779500	11/2009	2
130	PMC5576167	8/2017	2
79	PMC4452099	6/2015	2
108	PMC5064894	10/2016	2
7	PMC3034879	12/2010	2
104	PMC5014971	8/2016	2
3	PMC2821652	2/2010	2
18	PMC3296991	2/2012	2
25	PMC3427250	8/2012	2
89	PMC4729160	1/2016	2
23	PMC3376765	6/2012	2
131	PMC5587553	9/2017	2
65	PMC4231606	10/2013	2
140	PMC5732505	12/2017	2
90	PMC4770602	1/2016	2
31	PMC3515553	12/2012	2
93	PMC4910255	6/2016	2
39	PMC3659910	1/2013	2
41	PMC3668200	5/2013	2
43	PMC3685533	6/2013	2
45	PMC3702245	6/2013	2
46	PMC3705320	3/2013	2
132	PMC5623264	9/2017	2
110	PMC5100620	10/2016	1
112	PMC5146866	12/2016	1
0	PMC2679409	5/2009	1
115	PMC5322422	2/2017	1
117	PMC5379504	4/2017	1
150	PMC6011374	6/2018	1
149	PMC5995352	6/2018	1
148	PMC5956785	5/2018	1
147	PMC5952272	5/2018	1
145	PMC5838372	3/2018	1
143	PMC5804088	2/2018	1
142	PMC5784894	1/2018	1
139	PMC5707701	11/2017	1
137	PMC5685050	10/2014	1
134	PMC5659607	10/2017	1
126	PMC5521778	7/2017	1
124	PMC5510234	7/2017	1
123	PMC5489519	6/2017	1
122	PMC5444625	5/2017	1
121	PMC5436890	5/2017	1
119	PMC5410409	4/2017	1
118	PMC5387760	11/2016	1
107	PMC5039809	10/2016	1
76	PMC4410595	4/2015	1
105	PMC5029029	9/2016	1
26	PMC3470091	9/2012	1
42	PMC3679329	6/2013	1
40	PMC3660294	5/2013	1
34	PMC3613945	2/2013	1
33	PMC3585741	1/2013	1
32	PMC3552819	12/2012	1
30	PMC3509518	11/2012	1
29	PMC3501517	11/2012	1
28	PMC3476426	8/2012	1
27	PMC3475131	6/2012	1
21	PMC3348565	4/2012	1
102	PMC4992225	8/2016	1
17	PMC3277098	12/2011	1
15	PMC3231892	4/2011	1
14	PMC3169551	9/2011	1
13	PMC3130670	6/2011	1
12	PMC3119798	10/2010	1
8	PMC3039633	2/2011	1
6	PMC3032617	5/2010	1
5	PMC2874518	6/2010	1
4	PMC2849017	9/2007	1
47	PMC3710934	7/2013	1
48	PMC3739737	8/2013	1
50	PMC3829803	11/2013	1
52	PMC3882256	1/2014	1
100	PMC4989298	8/2016	1
99	PMC4979151	8/2016	1
98	PMC4949006	7/2016	1
96	PMC4937150	2/2016	1
84	PMC4632418	10/2015	1
83	PMC4600246	10/2015	1
82	PMC4586450	10/2015	1
75	PMC4383575	1/2015	1
73	PMC4377879	3/2015	1
69	PMC4289064	1/2015	1
68	PMC4268639	11/2014	1
64	PMC4224012	11/2014	1
62	PMC4171568	9/2014	1
60	PMC4160835	9/2014	1
58	PMC4074693	3/2014	1
57	PMC4072587	6/2014	1
55	PMC3970319	5/2013	1
54	PMC3933411	12/2013	1
53	PMC3901983	1/2013	1
152	PMC6043562	7/2018	1
