	ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
S103-PMC2290997	PMC2290997	4/2008	S103-PMC2290997	['additionally, solely Breastfed infants whose mothers were Vitamin D deficient during Pregnancy have smaller reserves of the Nutrient and are at greater risk of developing rickets.']	N/A	N/A	[('GO_0007567', 'parturition', 21, 'breastfed'), ('CHEBI_27300', 'vitamin D', 58, 'vitamin D'), ('GO_0007565', 'female pregnancy', 85, 'pregnancy'), ('CHEBI_33284', 'nutrient', 124, 'nutrient')]
S4-PMC2606998	PMC2606998	6/2007	S4-PMC2606998	['absolute intakes were below recommended intake (ri) according to nnr for Folate, Vitamin D, Selenium, Vitamin E and iron both before and at mid-Gestation.']	N/A	N/A	[('CHEBI_30863', '5-azaorotic acid', 73, 'folate'), ('CHEBI_27300', 'vitamin D', 81, 'vitamin D'), ('CHEBI_27568', 'selenium atom', 92, 'selenium'), ('CHEBI_27300', 'vitamin D', 102, 'vitamin E'), ('GO_0007565', 'female pregnancy', 144, 'gestation')]
S6-PMC2606998	PMC2606998	6/2007	S6-PMC2606998	['twenty-three women were below li for Selenium before Pregnancy and five for each of Vitamin D and Selenium at mid-Gestation.']	N/A	N/A	[('CHEBI_27568', 'selenium atom', 37, 'selenium'), ('GO_0007565', 'female pregnancy', 53, 'pregnancy'), ('CHEBI_27300', 'vitamin D', 84, 'vitamin D'), ('CHEBI_27568', 'selenium atom', 98, 'selenium'), ('GO_0007565', 'female pregnancy', 114, 'gestation')]
S7-PMC2606998	PMC2606998	6/2007	S7-PMC2606998	['when expressed as Nutrient densities (amount of Nutrient per energy unit), intakes were below nnr for Folate, Vitamin D and Selenium before Pregnancy, and for folate, Vitamin D and iron at mid-Gestation.']	N/A	N/A	[('CHEBI_33284', 'nutrient', 18, 'nutrient'), ('CHEBI_33284', 'nutrient', 48, 'nutrient'), ('CHEBI_30863', '5-azaorotic acid', 102, 'folate'), ('CHEBI_27300', 'vitamin D', 110, 'vitamin D'), ('CHEBI_27568', 'selenium atom', 124, 'selenium'), ('GO_0007565', 'female pregnancy', 140, 'pregnancy'), ('CHEBI_27300', 'vitamin D', 167, 'vitamin D'), ('GO_0007565', 'female pregnancy', 193, 'gestation')]
S75-PMC2606998	PMC2606998	6/2007	S75-PMC2606998	['intakes were also expressed as Nutrient densities (amount per mj) and were shown to be lower than ri for Folate, Vitamin\u2009D and Selenium in the Pregestational diet, and for Folate, Vitamin\u2009D and iron at mid-Gestation (table5).']	N/A	N/A	[('CHEBI_33284', 'nutrient', 31, 'nutrient'), ('CHEBI_30863', '5-azaorotic acid', 105, 'folate'), ('CHEBI_27300', 'vitamin D', 113, 'vitamin D'), ('CHEBI_27568', 'selenium atom', 127, 'selenium'), ('GO_0007565', 'female pregnancy', 143, 'pregestational'), ('CHEBI_30863', '5-azaorotic acid', 172, 'folate'), ('CHEBI_27300', 'vitamin D', 180, 'vitamin D'), ('GO_0007565', 'female pregnancy', 206, 'gestation')]
S89-PMC2606998	PMC2606998	6/2007	S89-PMC2606998	['at mid-Gestation five women were below li for Vitamin\u2009D and Selenium.']	N/A	N/A	[('GO_0007565', 'female pregnancy', 7, 'gestation'), ('CHEBI_27300', 'vitamin D', 46, 'vitamin D'), ('CHEBI_27568', 'selenium atom', 60, 'selenium')]
S103-PMC2716336	PMC2716336	7/2009	S103-PMC2716336	['caption (table-wrap): table 3\n\nmedian Intake and percentage of inadequate Intake of selected Nutrients in rural shaanxi china 2004median intakeear*increment for Pregnancy<ear + increment (%)energy (kcal)2234.62100†20054protein (g)60.638‡1231calcium (mg)412.9525¶070zinc (mg)8.58.3591riboflavin (mg)0.881.00.4591vitamin C (mg)89.475-934folate (μg)244.232020097\n* estimated average requirement for non-Pregnant women aged above 18 with low physical activity, china nutrition society, 2001\n† ear for energy shown in the table is the figure rni for energy\n‡ the figure shown is the ear for protein for non-Pregnant women aged from 19–50 in usa with the addition of an increment for Pregnancy (ear for groups Food and nutrition board, institute of medicine, national academies)\n¶the figure shown is the ear for Calcium for non-Pregnant women aged 19–50 years in united kingdom with the addition of an increment for Pregnancy (ear; department of health, 1991)\nthe median intakes of energy, protein, calcium, iron, zinc, riboflavin, Vitamin C and Folate were compared between bmi and household wealth sub-groups (table4).']	N/A	N/A	[('GO_0007631', 'feeding behavior', 38, 'intake'), ('GO_0007631', 'feeding behavior', 74, 'intake'), ('CHEBI_33284', 'nutrient', 93, 'nutrients'), ('GO_0007565', 'female pregnancy', 161, 'pregnancy'), ('CHEBI_18245', 'carboxylato group', 319, 'C'), ('GO_0007565', 'female pregnancy', 400, 'pregnant'), ('GO_0007565', 'female pregnancy', 602, 'pregnant'), ('GO_0007565', 'female pregnancy', 678, 'pregnancy'), ('CHEBI_33290', 'food', 704, 'Food'), ('CHEBI_22313', 'alkaline earth metal atom', 806, 'calcium'), ('GO_0007565', 'female pregnancy', 822, 'pregnant'), ('GO_0007565', 'female pregnancy', 910, 'pregnancy'), ('CHEBI_27300', 'vitamin D', 1026, 'vitamin C'), ('CHEBI_30863', '5-azaorotic acid', 1040, 'folate')]
S113-PMC2716336	PMC2716336	7/2009	S113-PMC2716336	['comparison of dietary Intakes of Vitamin C (mg) and iron (mg) based on the Food frequency questionnaire by Pregnant women in rural shaanxi china 2004 by season of third Trimester.']	N/A	N/A	[('GO_0007631', 'feeding behavior', 22, 'intakes'), ('CHEBI_27300', 'vitamin D', 33, 'vitamin C'), ('CHEBI_33290', 'food', 75, 'food'), ('GO_0007565', 'female pregnancy', 107, 'pregnant'), ('GO_0009294', 'DNA mediated transformation', 169, 'trimester')]
S36-PMC2798111	PMC2798111	12/2010	S36-PMC2798111	['following written informed consent, mothers were randomized to one of three Vitamin D supplementation regimens: group 1: 400\u2009iu Vitamin D3/day (0\u2009iu vitamin D3—placebo and 1 Prenatal Vitamin containing 400\u2009iu Vitamin D3), group 2: 2,400\u2009iu Vitamin D3/day (2,000\u2009iu Vitamin D3And 1 Prenatal Vitamin containing 400\u2009iu Vitamin D3), or group 3: 6,400\u2009iu Vitamin D3/day (6,000\u2009iu Vitamin D3And 1 Prenatal Vitamin containing 400\u2009iu Vitamin D3).']	N/A	N/A	[('CHEBI_27300', 'vitamin D', 76, 'vitamin D'), ('CHEBI_33279', 'vitamin D5', 128, 'vitamin D3'), ('PR_000017299', 'VIP peptides', 128, 'vitamin D3'), ('CHEBI_29238', 'tritium atom', 157, 'D3'), ('PR_000001177', 'D(2) dopamine receptor', 157, 'D3'), ('GO_0007565', 'female pregnancy', 174, 'prenatal'), ('CHEBI_33229', 'vitamin (role)', 183, 'vitamin'), ('CHEBI_33279', 'vitamin D5', 209, 'vitamin D3'), ('PR_000017299', 'VIP peptides', 209, 'vitamin D3'), ('CHEBI_33279', 'vitamin D5', 240, 'vitamin D3'), ('PR_000017299', 'VIP peptides', 240, 'vitamin D3'), ('CHEBI_61991', 'maltotriose trisaccharide', 265, 'vitamin D3and'), ('PR_000006317', 'mRNA-decapping enzyme 1A', 273, 'D3and'), ('GO_0007565', 'female pregnancy', 281, 'prenatal'), ('CHEBI_33229', 'vitamin (role)', 290, 'vitamin'), ('CHEBI_33279', 'vitamin D5', 316, 'vitamin D3'), ('PR_000017299', 'VIP peptides', 316, 'vitamin D3'), ('CHEBI_33279', 'vitamin D5', 350, 'vitamin D3'), ('PR_000017299', 'VIP peptides', 350, 'vitamin D3'), ('CHEBI_61991', 'maltotriose trisaccharide', 375, 'vitamin D3and'), ('PR_000027594', 'histone H3', 375, 'vitamin D3and'), ('GO_0007565', 'female pregnancy', 391, 'prenatal'), ('CHEBI_33229', 'vitamin (role)', 400, 'vitamin'), ('CHEBI_33279', 'vitamin D5', 426, 'vitamin D3'), ('PR_000017299', 'VIP peptides', 426, 'vitamin D3')]
S4-PMC2821652	PMC2821652	2/2010	S4-PMC2821652	['data were obtained from a Prenatal Vitamin D supplementation trial where subjects were stratified by race and randomized into three dosing groups: 400 (control), 2000, or 4000 iu Vitamin D3/day.']	N/A	N/A	[('GO_0007565', 'female pregnancy', 26, 'prenatal'), ('CHEBI_27300', 'vitamin D', 35, 'vitamin D'), ('CHEBI_33279', 'vitamin D5', 179, 'vitamin D3'), ('PR_000017299', 'VIP peptides', 179, 'vitamin D3')]
