	ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
S99-PMC2996405	PMC2996405	11/2010	S99-PMC2996405	"[""* fisher's exact test;§bonferroni adjusted p-value\n\ncaption (fig): figure 1\n\noverlaps among latitude, Vitamin D and schizophrenia related Genes .""]"	N/A	N/A	[('CHEBI_27300', 'vitamin D', 102, 'vitamin D'), ('SO_0000704', 'gene', 138, 'genes')]
S104-PMC2996405	PMC2996405	11/2010	S104-PMC2996405	['to achieve this, we merged: a list of 6 Genes implied in the Metabolism Of Vitamin D obtained from reactome, a list of 26 Genes in the pathway of the Control Of the Expression by Vitamin D receptor from biocarta and a list of 911 Genes from a large-scale identification of 1,25(Oh)2D3Target Genes by wang and colleagues [38].']	N/A	N/A	[('SO_0000704', 'gene', 40, 'genes'), ('GO_0019458', 'methionine catabolic process via 2-oxobutanoate', 61, 'metabolism of vitamin D'), ('CHEBI_27300', 'vitamin D', 75, 'vitamin D'), ('SO_0000704', 'gene', 122, 'genes'), ('GO_0010468', 'regulation of gene expression', 150, 'control of ... expression'), ('CHEBI_27300', 'vitamin D', 179, 'vitamin D'), ('SO_0000704', 'gene', 230, 'genes'), ('CHEBI_32819', 'L-2-amino-4-chloropent-4-enoate', 278, 'OH)2D3target'), ('SO_0000704', 'gene', 291, 'genes')]
S154-PMC2996405	PMC2996405	11/2010	S154-PMC2996405	['we found among Vitamin D related Genes a significant enrichment for Genes latitude-related (figure1and additional file3).']	N/A	N/A	[('CHEBI_27300', 'vitamin D', 15, 'vitamin D'), ('SO_0000704', 'gene', 33, 'genes'), ('SO_0000704', 'gene', 68, 'genes')]
S166-PMC2996405	PMC2996405	11/2010	S166-PMC2996405	['the largest part of Vitamin D related Genes in our list is made by Genes differentially Expressed in Epithelial Cells after treatment with the biological active form of Vitamin D [56].']	N/A	N/A	[('CHEBI_27300', 'vitamin D', 20, 'vitamin D'), ('SO_0000704', 'gene', 38, 'genes'), ('SO_0000704', 'gene', 67, 'genes'), ('GO_0010467', 'gene expression', 88, 'expressed'), ('CL_0000066', 'epithelial cell', 101, 'epithelial cells'), ('UBERON_0000483', 'epithelium', 101, 'epithelial'), ('CHEBI_27300', 'vitamin D', 169, 'vitamin D')]
S191-PMC2996405	PMC2996405	11/2010	S191-PMC2996405	['winac and Vitamin D Receptor are targeted to Vitamin D responsive Promoters in the absence of ligand to both positively and negatively regulated Genes.']	N/A	N/A	[('CHEBI_27300', 'vitamin D', 10, 'vitamin D'), ('PR_000001683', 'vasopressin V2 receptor', 10, 'vitamin D receptor'), ('CHEBI_27300', 'vitamin D', 45, 'vitamin D'), ('SO_0000167', 'promoter', 66, 'promoters'), ('SO_0000704', 'gene', 145, 'genes')]
S304-PMC2996405	PMC2996405	11/2010	S304-PMC2996405	['excel spreadsheet containing the list of Vitamin D related Genes.']	N/A	N/A	[('CHEBI_27300', 'vitamin D', 41, 'vitamin D'), ('SO_0000704', 'gene', 59, 'genes')]
S74-PMC3277098	PMC3277098	12/2011	S74-PMC3277098	['Nuclear actions of Vitamin D\nthe Vitamin D Receptor (Vdr), encoded by the vdr Gene [37], is a member of the Nuclear receptor family subgroup nr1i [38].']	N/A	N/A	[('GO_0005634', 'nucleus', 0, 'Nuclear'), ('CHEBI_28384', 'vitamin K', 19, 'Vitamin D'), ('CHEBI_27300', 'vitamin D', 33, 'vitamin D'), ('PR_000001683', 'vasopressin V2 receptor', 33, 'vitamin D receptor'), ('PR_000017319', 'vacuolar protein sorting-associated protein 13A', 53, 'VDR'), ('SO_0000704', 'gene', 78, 'gene'), ('GO_0005634', 'nucleus', 108, 'nuclear')]
S88-PMC3277098	PMC3277098	12/2011	S88-PMC3277098	['another Gene of interest is Vdbp encoding for the Vitamin D-Binding Protein (Vdbp).']	N/A	N/A	[('SO_0000704', 'gene', 8, 'gene'), ('PR_000017279', 'testis-specific basic protein Y 1', 28, 'VDBP'), ('CHEBI_27300', 'vitamin D', 50, 'vitamin D'), ('PR_000017319', 'vacuolar protein sorting-associated protein 13A', 50, 'vitamin D-binding protein'), ('PR_000017279', 'testis-specific basic protein Y 1', 77, 'VDBP')]
S1-PMC3458940	PMC3458940	9/2012	S1-PMC3458940	['most functions of Vitamin A are mediated by its main active form, All- Trans Retinoic Acid (Tra), which binds Retinoic Acid receptors (rars) to Modulate Gene Expression.']	N/A	N/A	[('CHEBI_27300', 'vitamin D', 18, 'vitamin A'), ('CHEBI_35589', '9H-purine', 66, 'all- trans'), ('CHEBI_26536', 'retinoic acid', 77, 'retinoic acid'), ('CHEBI_37972', 'phosphorus-32 atom', 92, 'tRA'), ('CHEBI_26536', 'retinoic acid', 110, 'retinoic acid'), ('GO_0065007', 'biological regulation', 144, 'modulate'), ('GO_0010467', 'gene expression', 153, 'gene expression'), ('SO_0000704', 'gene', 153, 'gene')]
S0-PMC3471827	PMC3471827	10/2012	S0-PMC3471827	['the Α-Tocopherol transfer protein is essential for Vertebrate Embryogenesis\n\nabstract\nthe Hepatic α-Tocopherol transfer protein (ttp) is required for optimal Α-Tocopherol bioavailability in Humans; mutations in the Human Ttpa Gene result in the heritable disorder ataxia with Vitamin E deficiency (aved, omim #277460).']	N/A	N/A	[('CHEBI_27725', 'butin', 4, 'α-Tocopherol'), ('GO_0030730', 'sequestering of triglyceride', 51, 'Vertebrate'), ('GO_0009790', 'embryo development', 62, 'Embryogenesis'), ('UBERON_0002107', 'liver', 90, 'hepatic'), ('CHEBI_27013', 'tocopherol', 100, 'tocopherol'), ('CHEBI_27725', 'butin', 158, 'α-tocopherol'), ('NCBITaxon_9606', 'Homo sapiens', 190, 'humans'), ('NCBITaxon_9606', 'Homo sapiens', 215, 'human'), ('PR_000016770', 'testis-specific serine/threonine-protein kinase 1', 221, 'TTPA'), ('SO_0000704', 'gene', 226, 'gene'), ('CHEBI_27300', 'vitamin D', 276, 'vitamin E')]
