	ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
S19-PMC2290997	PMC2290997	4/2008	S19-PMC2290997	['for most white People, a half-hour in the summer sun in a bathing suit can initiate the release of 50,000 iu (1.25 mg) Vitamin D into the circulation within 24 hours of exposure; this same amount of exposure yields 20,000–30,000 iu in tanned Individuals and 8,000–10,000 iu in dark-skinned People.']	N/A	N/A	[('NCBITaxon_10088', 'Mus <genus>', 15, 'people'), ('CHEBI_27300', 'vitamin D', 119, 'vitamin D'), ('NCBITaxon_1', 'root', 242, 'individuals'), ('NCBITaxon_10088', 'Mus <genus>', 290, 'people')]
S184-PMC2290997	PMC2290997	4/2008	S184-PMC2290997	['in sunlight-related research, there are two main exposures of interest: Vitamin D status, which is measured by the Serum 25(Oh)D level; and personal uvr dose, which involves three fundamental factors: ambient uvr (a function of latitude, altitude, atmospheric Ozone levels, pollution, and time of year), amount of skin exposed (a function of behavioral, cultural, and clothing practices), and skin pigmentation (with dark skin receiving a smaller effective dose to underlying structures than light skin).']	N/A	N/A	[('CHEBI_27300', 'vitamin D', 72, 'vitamin D'), ('UBERON_0001977', 'blood serum', 115, 'serum'), ('CHEBI_71657', 'versiconol acetate', 121, '25(OH)D'), ('PR_000008838', 'serine protease HTRA1', 121, '25(OH ... D'), ('CHEBI_25812', 'ozone', 260, 'ozone')]
S15-PMC2821652	PMC2821652	2/2010	S15-PMC2821652	['the two main Human sources of Vitamin D are sunlight exposure, which converts 7-Dehydrocholesterol in the skin to Vitamin D3, and oral Intake.']	N/A	N/A	[('NCBITaxon_9606', 'Homo sapiens', 13, 'human'), ('CHEBI_27300', 'vitamin D', 30, 'vitamin D'), ('CHEBI_17500', '7alpha-hydroxycholesterol', 78, '7-dehydrocholesterol'), ('CHEBI_33279', 'vitamin D5', 114, 'vitamin D3'), ('PR_000017299', 'VIP peptides', 114, 'vitamin D3'), ('GO_0007631', 'feeding behavior', 135, 'intake')]
S17-PMC2821652	PMC2821652	2/2010	S17-PMC2821652	['the amount of Vitamin D produced by a given amount of exposure is modified by skin pigmentation, with darkly-Pigmented populations producing significantly less Vitamin D than fair-skinned populations after exposure to similar conditions [3–7].']	N/A	N/A	[('CHEBI_27300', 'vitamin D', 14, 'vitamin D'), ('CHEBI_26130', 'biological pigment', 109, 'pigmented'), ('CHEBI_27300', 'vitamin D', 160, 'vitamin D')]
S41-PMC3075531	PMC3075531	7/2010	S41-PMC3075531	['the primary form of Vitamin D, Colecalciferol (Vitamin D3), is available from two sources: skin exposure to ultraviolet b radiation (uvb) in sunlight and diet.']	N/A	N/A	[('CHEBI_27300', 'vitamin D', 20, 'vitamin D'), ('CHEBI_50553', 'mancude carbobicyclic parent', 31, 'colecalciferol'), ('CHEBI_33279', 'vitamin D5', 47, 'vitamin D3'), ('PR_000017299', 'VIP peptides', 47, 'vitamin D3')]
S4-PMC3103150	PMC3103150	3/2011	S4-PMC3103150	['details of infants’ Feeding, Vitamin D supplementation, sunlight exposure and mothers’ Calcium and Vitamin D intake were recorded.']	N/A	N/A	[('GO_0007631', 'feeding behavior', 20, 'feeding'), ('CHEBI_27300', 'vitamin D', 29, 'vitamin D'), ('CHEBI_22313', 'alkaline earth metal atom', 87, 'calcium'), ('CHEBI_27300', 'vitamin D', 99, 'vitamin D')]
S32-PMC3103150	PMC3103150	3/2011	S32-PMC3103150	['clinical and anthropometric data:\ndetails regarding mode of Feeding of infant, supplementation of any Vitamin or Calcium to infant, mothers’ diet, Intake of Calcium and Vitamin D supplements during Pregnancy and after Delivery, education and profession, financial status of the family and usual duration and type of clothing worn during sunlight exposure for both infant and mother were recorded in a case record form.']	N/A	N/A	[('GO_0007631', 'feeding behavior', 60, 'feeding'), ('CHEBI_33229', 'vitamin (role)', 102, 'vitamin'), ('CHEBI_22313', 'alkaline earth metal atom', 113, 'calcium'), ('GO_0007631', 'feeding behavior', 147, 'intake'), ('CHEBI_22313', 'alkaline earth metal atom', 157, 'calcium'), ('CHEBI_27300', 'vitamin D', 169, 'vitamin D'), ('GO_0007565', 'female pregnancy', 198, 'pregnancy'), ('GO_0007567', 'parturition', 218, 'delivery')]
S23-PMC3271033	PMC3271033	1/2012	S23-PMC3271033	['the latitude of houston, tx is 29 degrees, more southern than the typically used latitude cutoff of atlanta, georgia of 33 degrees for sunlight exposure to lead to Vitamin D formation in the Dermis to occur throughout the year.']	N/A	N/A	[('CHEBI_27300', 'vitamin D', 164, 'vitamin D'), ('UBERON_0002067', 'dermis', 191, 'dermis')]
S24-PMC3348565	PMC3348565	4/2012	S24-PMC3348565	['in afghanistan, dietary intake of Vitamin D is low10and exposure of women to sunlight is limited by the widespread use of the burqa.']	N/A	N/A	[('CHEBI_27300', 'vitamin D', 34, 'vitamin D')]
S37-PMC3395583	PMC3395583	7/2012	S37-PMC3395583	"[""average predicted uvb exposure as well as Vitamin D status during the first, second and third Trimesters of Gestation were calculated for each month of Birth and tested for correlation with risk of id (monthly or) using the spearman's correlation coefficient.""]"	N/A	N/A	[('CHEBI_27300', 'vitamin D', 42, 'vitamin D'), ('GO_0043033', 'isoamylase complex', 94, 'trimesters'), ('GO_0007565', 'female pregnancy', 108, 'gestation'), ('GO_0007567', 'parturition', 152, 'birth')]
