	ARTICLE	ARTICLE DATE	NUM SENTENCES
87	PMC5941617	5/2018	11
84	PMC5758521	1/2018	10
19	PMC3616124	4/2013	8
1	PMC2581757	11/2008	8
45	PMC4448820	5/2015	7
58	PMC4944244	7/2016	7
65	PMC5035678	4/2016	5
35	PMC4113768	7/2014	5
26	PMC3702245	6/2013	5
83	PMC5707701	11/2017	5
71	PMC5155676	12/2016	4
7	PMC3034879	12/2010	4
8	PMC3171895	9/2011	4
40	PMC4193194	10/2014	4
60	PMC4976416	7/2016	3
23	PMC3668200	5/2013	3
54	PMC4785305	3/2016	3
82	PMC5706533	11/2017	3
14	PMC3427192	4/2012	3
11	PMC3356951	4/2012	2
90	PMC5995352	6/2018	2
34	PMC4034700	5/2014	2
4	PMC2821652	2/2010	2
72	PMC5368580	4/2017	2
30	PMC3760821	9/2013	2
74	PMC5513133	7/2017	2
5	PMC2874518	6/2010	2
77	PMC5546866	8/2017	2
24	PMC3672018	5/2013	2
22	PMC3659910	1/2013	2
78	PMC5634602	10/2017	2
57	PMC4897157	5/2016	1
61	PMC4992225	8/2016	1
63	PMC5014971	8/2016	1
59	PMC4973215	8/2016	1
56	PMC4896250	4/2016	1
64	PMC5028238	10/2016	1
62	PMC4993554	8/2016	1
66	PMC5051327	9/2016	1
0	PMC1888711	5/2007	1
67	PMC5054480	9/2016	1
68	PMC5084041	10/2016	1
69	PMC5129897	10/2016	1
70	PMC5146866	12/2016	1
73	PMC5405075	4/2017	1
75	PMC5523023	7/2017	1
55	PMC4829940	5/2016	1
79	PMC5659607	10/2017	1
80	PMC5679631	11/2017	1
81	PMC5685050	10/2014	1
85	PMC5827025	2/2018	1
86	PMC5838372	3/2018	1
88	PMC5952272	5/2018	1
89	PMC5956785	5/2018	1
76	PMC5537904	7/2017	1
46	PMC4476607	1/2015	1
53	PMC4728620	1/2016	1
52	PMC4719746	1/2016	1
27	PMC3704911	7/2013	1
25	PMC3691177	6/2013	1
21	PMC3641012	4/2013	1
20	PMC3629265	4/2013	1
18	PMC3586494	2/2013	1
17	PMC3501517	11/2012	1
16	PMC3470091	9/2012	1
15	PMC3427250	8/2012	1
13	PMC3417531	7/2012	1
12	PMC3365381	3/2011	1
10	PMC3347007	4/2012	1
9	PMC3309463	6/2011	1
6	PMC3004407	12/2010	1
3	PMC2779500	11/2009	1
2	PMC2722583	1/2009	1
28	PMC3717170	5/2013	1
29	PMC3728489	7/2013	1
31	PMC3798907	8/2013	1
43	PMC4377879	3/2015	1
51	PMC4691762	12/2015	1
50	PMC4632423	10/2015	1
49	PMC4632418	10/2015	1
48	PMC4624803	10/2015	1
47	PMC4499946	7/2015	1
44	PMC4417995	4/2015	1
42	PMC4275593	9/2014	1
32	PMC3827489	10/2013	1
41	PMC4268639	11/2014	1
39	PMC4192458	9/2014	1
38	PMC4171568	9/2014	1
37	PMC4169453	9/2014	1
36	PMC4160835	9/2014	1
33	PMC3829207	11/2013	1
91	PMC6011374	6/2018	1
