	ARTICLE	ARTICLE DATE	NUM SENTENCES
31	PMC4113768	7/2014	7
66	PMC5941617	5/2018	6
64	PMC5758521	1/2018	6
44	PMC4673623	11/2015	4
54	PMC5014971	8/2016	3
41	PMC4516377	6/2015	3
30	PMC4045304	2/2014	3
12	PMC3427192	4/2012	3
22	PMC3695234	7/2013	3
18	PMC3613945	2/2013	3
67	PMC5952272	5/2018	2
27	PMC3888066	12/2012	2
50	PMC4934634	11/2015	2
25	PMC3827489	10/2013	2
24	PMC3717170	5/2013	2
19	PMC3659910	1/2013	2
20	PMC3668200	5/2013	2
39	PMC4499946	7/2015	2
57	PMC5129897	10/2016	2
11	PMC3424155	8/2012	2
61	PMC5418719	5/2017	1
65	PMC5831579	3/2018	1
42	PMC4632418	10/2015	1
43	PMC4670104	12/2015	1
63	PMC5707701	11/2017	1
45	PMC4684854	12/2015	1
46	PMC4689556	12/2015	1
47	PMC4690051	12/2015	1
62	PMC5685050	10/2014	1
53	PMC4976416	7/2016	1
48	PMC4785305	3/2016	1
55	PMC5024513	9/2016	1
60	PMC5410409	4/2017	1
59	PMC5273824	1/2017	1
58	PMC5155676	12/2016	1
51	PMC4944244	7/2016	1
52	PMC4969253	8/2016	1
40	PMC4516109	5/2015	1
56	PMC5051327	9/2016	1
49	PMC4910734	6/2015	1
0	PMC2290997	4/2008	1
38	PMC4448820	5/2015	1
15	PMC3476426	8/2012	1
2	PMC2873552	4/2010	1
3	PMC2874518	6/2010	1
4	PMC2913107	8/2010	1
5	PMC2963768	10/2010	1
6	PMC3032617	5/2010	1
7	PMC3171895	9/2011	1
8	PMC3257641	3/2010	1
9	PMC3277098	12/2011	1
10	PMC3347028	3/2012	1
13	PMC3465343	10/2012	1
14	PMC3470091	9/2012	1
16	PMC3515553	12/2012	1
37	PMC4417995	4/2015	1
17	PMC3515887	11/2012	1
21	PMC3685533	6/2013	1
23	PMC3702245	6/2013	1
26	PMC3855580	10/2013	1
28	PMC3973641	4/2014	1
29	PMC3991049	11/2013	1
32	PMC4188019	1/2010	1
33	PMC4302429	1/2015	1
1	PMC2821652	2/2010	1
35	PMC4377879	3/2015	1
36	PMC4404267	4/2015	1
34	PMC4303849	1/2015	1
