	ARTICLE	ARTICLE DATE	NUM SENTENCES
25	PMC5035678	4/2016	14
12	PMC4427001	4/2015	8
32	PMC5941617	5/2018	7
30	PMC5539754	8/2017	6
8	PMC3760821	9/2013	5
1	PMC2582131	11/2008	5
15	PMC4600246	10/2015	5
11	PMC4113768	7/2014	4
23	PMC4934634	11/2015	4
9	PMC3827489	10/2013	3
22	PMC4846845	4/2016	2
7	PMC3717170	5/2013	2
13	PMC4488777	5/2015	2
14	PMC4490503	6/2015	2
6	PMC3470091	9/2012	2
31	PMC5758521	1/2018	2
28	PMC5359891	3/2017	1
27	PMC5129897	10/2016	1
29	PMC5418719	5/2017	1
26	PMC5118763	12/2016	1
24	PMC4949006	7/2016	1
0	PMC1852384	1/2007	1
17	PMC4632418	10/2015	1
21	PMC4785305	3/2016	1
20	PMC4778858	3/2016	1
19	PMC4714725	1/2016	1
18	PMC4684854	12/2015	1
16	PMC4613350	9/2015	1
10	PMC3991049	11/2013	1
5	PMC3427192	4/2012	1
4	PMC3366611	4/2012	1
3	PMC3004407	12/2010	1
2	PMC2873552	4/2010	1
33	PMC6011374	6/2018	1
