	ARTICLE	ARTICLE DATE	NUM SENTENCES
41	PMC4113768	7/2014	22
7	PMC2996405	11/2010	17
56	PMC4448820	5/2015	11
36	PMC3773018	4/2013	10
101	PMC5956785	5/2018	10
83	PMC5062906	10/2016	8
23	PMC3515553	12/2012	8
38	PMC4045304	2/2014	7
88	PMC5372327	3/2017	7
8	PMC3075531	7/2010	7
18	PMC3427192	4/2012	6
96	PMC5546866	8/2017	6
99	PMC5941617	5/2018	6
33	PMC3705146	5/2013	5
21	PMC3476426	8/2012	5
70	PMC4829940	5/2016	5
77	PMC4934634	11/2015	4
25	PMC3613945	2/2013	4
2	PMC2685863	5/2009	4
67	PMC4764019	1/2016	4
5	PMC2913107	8/2010	4
94	PMC5513133	7/2017	4
46	PMC4302429	1/2015	3
31	PMC3695234	7/2013	3
86	PMC5155676	12/2016	3
15	PMC3395583	7/2012	3
51	PMC4396835	1/2015	3
4	PMC2873552	4/2010	3
89	PMC5385921	4/2017	3
10	PMC3277098	12/2011	3
6	PMC2963768	10/2010	3
74	PMC4896250	4/2016	3
29	PMC3672018	5/2013	3
57	PMC4466139	6/2015	3
65	PMC4684854	12/2015	3
78	PMC4979151	8/2016	2
79	PMC4998950	4/2016	2
55	PMC4427001	4/2015	2
61	PMC4595656	10/2015	2
71	PMC4832516	10/2015	2
72	PMC4846845	4/2016	2
81	PMC5028238	10/2016	2
58	PMC4499946	7/2015	2
82	PMC5045784	10/2016	2
73	PMC4864049	1/2016	2
103	PMC6039335	7/2018	2
92	PMC5418719	5/2017	2
90	PMC5405075	4/2017	2
3	PMC2872349	4/2010	2
12	PMC3347028	3/2012	2
100	PMC5952272	5/2018	2
98	PMC5659607	10/2017	2
44	PMC4251419	12/2014	2
28	PMC3668200	5/2013	2
34	PMC3713405	7/2013	2
32	PMC3702245	6/2013	2
69	PMC4800340	5/2016	2
40	PMC4072587	6/2014	2
91	PMC5410409	4/2017	1
93	PMC5485024	3/2017	1
76	PMC4933662	4/2016	1
75	PMC4910734	6/2015	1
95	PMC5521778	7/2017	1
97	PMC5634602	10/2017	1
87	PMC5310660	1/2017	1
80	PMC5014971	8/2016	1
102	PMC5995352	6/2018	1
85	PMC5137891	12/2016	1
84	PMC5095257	11/2016	1
0	BMJ_2010_Apr_29_340_c1640	4/2010	1
68	PMC4765528	12/2015	1
20	PMC3470091	9/2012	1
35	PMC3717170	5/2013	1
30	PMC3685533	6/2013	1
27	PMC3659910	1/2013	1
26	PMC3651971	5/2013	1
24	PMC3586494	2/2013	1
22	PMC3488410	10/2012	1
19	PMC3458940	9/2012	1
66	PMC4690051	12/2015	1
17	PMC3424155	8/2012	1
16	PMC3407995	7/2012	1
14	PMC3356951	4/2012	1
13	PMC3348565	4/2012	1
11	PMC3296991	2/2012	1
9	PMC3257641	3/2010	1
37	PMC3926113	1/2014	1
39	PMC4071151	6/2014	1
42	PMC4160835	9/2014	1
43	PMC4169453	9/2014	1
45	PMC4277121	12/2015	1
47	PMC4303849	1/2015	1
48	PMC4329404	10/2014	1
49	PMC4346113	3/2015	1
50	PMC4377870	3/2015	1
1	PMC2290997	4/2008	1
53	PMC4408096	4/2015	1
54	PMC4417995	4/2015	1
59	PMC4516377	6/2015	1
60	PMC4516488	9/2009	1
62	PMC4598849	10/2015	1
63	PMC4600246	10/2015	1
64	PMC4663595	11/2015	1
52	PMC4405493	4/2015	1
