	ARTICLE	ARTICLE DATE	NUM SENTENCES
44	PMC5941617	5/2018	10
25	PMC4113768	7/2014	9
18	PMC3702245	6/2013	6
20	PMC3717170	5/2013	5
3	PMC2963768	10/2010	4
11	PMC3407995	7/2012	3
34	PMC5051327	9/2016	2
16	PMC3659910	1/2013	2
22	PMC3827489	10/2013	2
13	PMC3465343	10/2012	2
38	PMC5372327	3/2017	2
14	PMC3476426	8/2012	2
10	PMC3348565	4/2012	2
8	PMC3277098	12/2011	2
41	PMC5634602	10/2017	2
43	PMC5784894	1/2018	2
33	PMC5014971	8/2016	1
31	PMC4690051	12/2015	1
32	PMC4933662	4/2016	1
0	PMC2606998	6/2007	1
35	PMC5084016	10/2016	1
36	PMC5085625	9/2016	1
37	PMC5155676	12/2016	1
29	PMC4499946	7/2015	1
39	PMC5405075	4/2017	1
40	PMC5489519	6/2017	1
42	PMC5685050	10/2014	1
30	PMC4632423	10/2015	1
23	PMC3901983	1/2013	1
28	PMC4466139	6/2015	1
12	PMC3427192	4/2012	1
2	PMC2873552	4/2010	1
4	PMC2996405	11/2010	1
5	PMC3034879	12/2010	1
6	PMC3257641	3/2010	1
7	PMC3272870	12/2011	1
9	PMC3347028	3/2012	1
15	PMC3552819	12/2012	1
27	PMC4405493	4/2015	1
17	PMC3695234	7/2013	1
19	PMC3705320	3/2013	1
21	PMC3728489	7/2013	1
1	PMC2872349	4/2010	1
24	PMC3991049	11/2013	1
26	PMC4377870	3/2015	1
45	PMC5995352	6/2018	1
