	ARTICLE	ARTICLE DATE	NUM SENTENCES
104	PMC4595656	10/2015	20
53	PMC3672018	5/2013	19
77	PMC4113768	7/2014	17
76	PMC4072587	6/2014	12
32	PMC3407995	7/2012	12
65	PMC3773018	4/2013	11
161	PMC5385921	4/2017	10
59	PMC3713405	7/2013	10
176	PMC5941617	5/2018	9
51	PMC3651971	5/2013	9
61	PMC3728489	7/2013	8
35	PMC3424155	8/2012	8
21	PMC3277098	12/2011	7
169	PMC5659607	10/2017	7
147	PMC5062906	10/2016	7
13	PMC2996405	11/2010	7
83	PMC4329404	10/2014	7
160	PMC5372327	3/2017	6
159	PMC5351212	3/2017	6
162	PMC5405075	4/2017	6
52	PMC3659910	1/2013	6
57	PMC3702245	6/2013	6
0	BMJ_2010_Apr_29_340_c1640	4/2010	6
89	PMC4396835	1/2015	6
2	PMC2396486	6/2008	6
178	PMC5956785	5/2018	6
4	PMC2581757	11/2008	6
74	PMC4045304	2/2014	5
146	PMC5045784	10/2016	5
139	PMC4982007	8/2016	5
164	PMC5489519	6/2017	5
113	PMC4684854	12/2015	5
47	PMC3515553	12/2012	4
11	PMC2889879	5/2010	4
41	PMC3471827	10/2012	4
39	PMC3465343	10/2012	4
24	PMC3309463	6/2011	4
171	PMC5716389	9/2017	4
18	PMC3257641	3/2010	4
105	PMC4600246	10/2015	4
103	PMC4586451	10/2015	4
93	PMC4448820	5/2015	4
26	PMC3338544	4/2012	4
69	PMC3888066	12/2012	4
71	PMC3926113	1/2014	3
67	PMC3814422	10/2013	3
70	PMC3901983	1/2013	3
128	PMC4896250	4/2016	3
129	PMC4897157	5/2016	3
122	PMC4811441	3/2016	3
114	PMC4690051	12/2015	3
116	PMC4764019	1/2016	3
115	PMC4691762	12/2015	3
78	PMC4171568	9/2014	3
148	PMC5084016	10/2016	3
134	PMC4934634	11/2015	3
135	PMC4969253	8/2016	3
85	PMC4377870	3/2015	3
145	PMC5039809	10/2016	3
143	PMC4998950	4/2016	3
153	PMC5146866	12/2016	3
126	PMC4889866	5/2016	3
