	ARTICLE	ARTICLE DATE	NUM SENTENCES
22	PMC3476426	8/2012	4
10	PMC3075531	7/2010	4
70	PMC5956785	5/2018	4
34	PMC4072587	6/2014	3
21	PMC3472720	8/2012	3
20	PMC3427192	4/2012	3
18	PMC3395583	7/2012	3
13	PMC3309463	6/2011	3
12	PMC3277098	12/2011	3
0	BMJ_2010_Apr_29_340_c1640	4/2010	3
9	PMC3004407	12/2010	3
52	PMC4896250	4/2016	2
57	PMC5014971	8/2016	2
29	PMC3705146	5/2013	2
28	PMC3702245	6/2013	2
11	PMC3257641	3/2010	2
26	PMC3668200	5/2013	2
54	PMC4982007	8/2016	2
35	PMC4113768	7/2014	2
4	PMC2872349	4/2010	2
6	PMC2913107	8/2010	2
39	PMC4438628	5/2015	2
16	PMC3356951	4/2012	2
40	PMC4448820	5/2015	2
50	PMC4765528	12/2015	2
48	PMC4691762	12/2015	2
56	PMC4998950	4/2016	2
51	PMC4784858	3/2016	1
55	PMC4992225	8/2016	1
53	PMC4934634	11/2015	1
69	PMC5952272	5/2018	1
49	PMC4764019	1/2016	1
58	PMC5028238	10/2016	1
59	PMC5042197	9/2016	1
60	PMC5062906	10/2016	1
61	PMC5084016	10/2016	1
46	PMC4605923	11/2015	1
68	PMC5716389	9/2017	1
62	PMC5310660	1/2017	1
63	PMC5351212	3/2017	1
64	PMC5405075	4/2017	1
65	PMC5513133	7/2017	1
67	PMC5685050	10/2014	1
66	PMC5640793	9/2017	1
47	PMC4624803	10/2015	1
36	PMC4251419	12/2014	1
45	PMC4595656	10/2015	1
44	PMC4499946	7/2015	1
2	PMC2396486	6/2008	1
3	PMC2798111	12/2010	1
5	PMC2898025	5/2010	1
7	PMC2963768	10/2010	1
8	PMC2996405	11/2010	1
14	PMC3347028	3/2012	1
15	PMC3348565	4/2012	1
17	PMC3385441	2/2012	1
19	PMC3417531	7/2012	1
23	PMC3501517	11/2012	1
24	PMC3635901	4/2013	1
25	PMC3659910	1/2013	1
27	PMC3672018	5/2013	1
30	PMC3713405	7/2013	1
31	PMC3773018	4/2013	1
32	PMC3814422	10/2013	1
33	PMC4045304	2/2014	1
1	PMC2290997	4/2008	1
37	PMC4377879	3/2015	1
38	PMC4396835	1/2015	1
41	PMC4452099	6/2015	1
42	PMC4466139	6/2015	1
43	PMC4488777	5/2015	1
71	PMC6039335	7/2018	1
