	ARTICLE	ARTICLE DATE	NUM SENTENCES
68	PMC4113768	7/2014	27
50	PMC3672018	5/2013	25
149	PMC5941617	5/2018	21
62	PMC3873449	12/2013	17
135	PMC5474873	6/2017	13
3	PMC2290997	4/2008	12
87	PMC4452099	6/2015	12
21	PMC3277098	12/2011	9
143	PMC5664622	9/2017	9
74	PMC4251419	12/2014	9
27	PMC3356951	4/2012	9
32	PMC3427192	4/2012	8
103	PMC4897157	5/2016	8
79	PMC4340999	3/2015	7
29	PMC3395583	7/2012	7
24	PMC3347028	3/2012	7
0	BMJ_2010_Apr_29_340_c1640	4/2010	7
15	PMC3075531	7/2010	7
124	PMC5129897	10/2016	7
12	PMC2963768	10/2010	7
134	PMC5426325	4/2017	7
107	PMC4934634	11/2015	6
59	PMC3773018	4/2013	6
61	PMC3827489	10/2013	6
144	PMC5679631	11/2017	6
100	PMC4832516	10/2015	5
95	PMC4691762	12/2015	5
77	PMC4329404	10/2014	5
113	PMC4998950	4/2016	4
137	PMC5513133	7/2017	4
151	PMC5956785	5/2018	4
139	PMC5537904	7/2017	4
84	PMC4417995	4/2015	4
83	PMC4405493	4/2015	4
133	PMC5405075	4/2017	4
112	PMC4997567	8/2016	4
132	PMC5385921	4/2017	4
114	PMC5014971	8/2016	4
46	PMC3651971	5/2013	4
105	PMC4930210	7/2016	4
155	PMC6043562	7/2018	4
18	PMC3257641	3/2010	4
53	PMC3702245	6/2013	3
122	PMC5084041	10/2016	3
63	PMC3882256	1/2014	3
60	PMC3814422	10/2013	3
97	PMC4770602	1/2016	3
55	PMC3717170	5/2013	3
146	PMC5784894	1/2018	3
123	PMC5095257	11/2016	3
128	PMC5310660	1/2017	3
7	PMC2821652	2/2010	3
80	PMC4377870	3/2015	3
47	PMC3659910	1/2013	3
116	PMC5028238	10/2016	3
16	PMC3103150	3/2011	3
81	PMC4383226	2/2015	2
26	PMC3355895	1/2011	2
11	PMC2898025	5/2010	2
13	PMC3004407	12/2010	2
30	PMC3407995	7/2012	2
1	PMC2151954	10/2007	2
130	PMC5340372	3/2017	2
129	PMC5318550	2/2017	2
98	PMC4785305	3/2016	2
94	PMC4690051	12/2015	2
89	PMC4516377	6/2015	2
90	PMC4595656	10/2015	2
93	PMC4632418	10/2015	2
125	PMC5146866	12/2016	2
23	PMC3347007	4/2012	2
121	PMC5084016	10/2016	2
22	PMC3309463	6/2011	2
118	PMC5051327	9/2016	2
109	PMC4973215	8/2016	2
33	PMC3427250	8/2012	2
10	PMC2889879	5/2010	2
58	PMC3760821	9/2013	2
66	PMC4072587	6/2014	2
148	PMC5838372	3/2018	2
57	PMC3739737	8/2013	2
38	PMC3501517	11/2012	2
37	PMC3476426	8/2012	2
142	PMC5659607	10/2017	2
52	PMC3695234	7/2013	2
35	PMC3470091	9/2012	2
140	PMC5539754	8/2017	2
71	PMC4188019	1/2010	2
152	PMC5958072	5/2018	1
115	PMC5024513	9/2016	1
147	PMC5812027	2/2018	1
2	PMC2265059	3/2008	1
119	PMC5062906	10/2016	1
150	PMC5952272	5/2018	1
120	PMC5064894	10/2016	1
153	PMC5995352	6/2018	1
4	PMC2582131	11/2008	1
154	PMC6011374	6/2018	1
117	PMC5045784	10/2016	1
9	PMC2873552	4/2010	1
145	PMC5716389	9/2017	1
14	PMC3034879	12/2010	1
136	PMC5510234	7/2017	1
126	PMC5167470	12/2016	1
127	PMC5264377	7/2016	1
5	PMC2606998	6/2007	1
6	PMC2798111	12/2010	1
141	PMC5634437	10/2017	1
131	PMC5372327	3/2017	1
138	PMC5524288	7/2017	1
8	PMC2872349	4/2010	1
17	PMC3235789	12/2011	1
41	PMC3515553	12/2012	1
111	PMC4989298	8/2016	1
56	PMC3717763	8/2013	1
73	PMC4221707	11/2014	1
72	PMC4216020	10/2014	1
70	PMC4169453	9/2014	1
69	PMC4161944	9/2014	1
67	PMC4106226	7/2014	1
65	PMC4045304	2/2014	1
64	PMC3973641	4/2014	1
36	PMC3472720	8/2012	1
54	PMC3713405	7/2013	1
75	PMC4277121	12/2015	1
51	PMC3685533	6/2013	1
39	PMC3509518	11/2012	1
49	PMC3668200	5/2013	1
48	PMC3660294	5/2013	1
40	PMC3513049	2/2012	1
45	PMC3635901	4/2013	1
44	PMC3629265	4/2013	1
43	PMC3586494	2/2013	1
34	PMC3437304	8/2012	1
76	PMC4302429	1/2015	1
110	PMC4982007	8/2016	1
42	PMC3552819	12/2012	1
108	PMC4944244	7/2016	1
19	PMC3271033	1/2012	1
106	PMC4933715	7/2016	1
20	PMC3272870	12/2011	1
104	PMC4910734	6/2015	1
102	PMC4896250	4/2016	1
101	PMC4864049	1/2016	1
99	PMC4800340	5/2016	1
96	PMC4764019	1/2016	1
31	PMC3417531	7/2012	1
25	PMC3348565	4/2012	1
92	PMC4624803	10/2015	1
91	PMC4598849	10/2015	1
88	PMC4466139	6/2015	1
86	PMC4438628	5/2015	1
85	PMC4427001	4/2015	1
28	PMC3385441	2/2012	1
82	PMC4383575	1/2015	1
78	PMC4329745	10/2014	1
