	ARTICLE	ARTICLE DATE	NUM SENTENCES
7	PMC3347028	3/2012	7
16	PMC3702245	6/2013	6
41	PMC4997421	8/2016	5
59	PMC6011374	6/2018	4
2	PMC2821652	2/2010	4
19	PMC3888066	12/2012	4
13	PMC3651971	5/2013	3
54	PMC5664622	9/2017	3
40	PMC4949006	7/2016	3
14	PMC3659910	1/2013	3
50	PMC5405075	4/2017	2
39	PMC4944244	7/2016	2
22	PMC3991049	11/2013	2
0	BMJ_2010_Apr_29_340_c1640	4/2010	2
3	PMC3004407	12/2010	2
9	PMC3470091	9/2012	2
12	PMC3599191	1/2013	1
48	PMC5133057	10/2016	1
6	PMC3347007	4/2012	1
5	PMC3296991	2/2012	1
42	PMC5024513	9/2016	1
43	PMC5030591	9/2016	1
44	PMC5045784	10/2016	1
45	PMC5054480	9/2016	1
46	PMC5084016	10/2016	1
47	PMC5118763	12/2016	1
4	PMC3257641	3/2010	1
49	PMC5167470	12/2016	1
38	PMC4934634	11/2015	1
51	PMC5418719	5/2017	1
52	PMC5489519	6/2017	1
53	PMC5634602	10/2017	1
55	PMC5706533	11/2017	1
56	PMC5838372	3/2018	1
57	PMC5841533	2/2018	1
58	PMC5941617	5/2018	1
8	PMC3409554	7/2012	1
37	PMC4918713	6/2015	1
15	PMC3685533	6/2013	1
36	PMC4829940	5/2016	1
11	PMC3586494	2/2013	1
17	PMC3827489	10/2013	1
18	PMC3873449	12/2013	1
10	PMC3472720	8/2012	1
20	PMC3901983	1/2013	1
21	PMC3973641	4/2014	1
23	PMC4045304	2/2014	1
24	PMC4113768	7/2014	1
25	PMC4346113	3/2015	1
26	PMC4405493	4/2015	1
27	PMC4466139	6/2015	1
28	PMC4499946	7/2015	1
29	PMC4595656	10/2015	1
1	PMC2679409	5/2009	1
31	PMC4605923	11/2015	1
32	PMC4613350	9/2015	1
33	PMC4729160	1/2016	1
34	PMC4785305	3/2016	1
35	PMC4811107	3/2016	1
30	PMC4598849	10/2015	1
