	ARTICLE	ARTICLE DATE	NUM SENTENCES
23	PMC4516377	6/2015	13
44	PMC5941617	5/2018	11
11	PMC3717170	5/2013	8
9	PMC3672018	5/2013	8
34	PMC4973215	8/2016	5
20	PMC4448820	5/2015	4
13	PMC3827489	10/2013	4
17	PMC4340999	3/2015	4
40	PMC5537904	7/2017	2
6	PMC3424155	8/2012	2
7	PMC3427192	4/2012	2
12	PMC3760821	9/2013	2
15	PMC4113768	7/2014	2
36	PMC5014971	8/2016	2
18	PMC4380518	9/2014	2
19	PMC4405493	4/2015	2
33	PMC4944244	7/2016	1
32	PMC4811441	3/2016	1
31	PMC4811107	3/2016	1
35	PMC4982007	8/2016	1
37	PMC5118763	12/2016	1
29	PMC4730270	12/2015	1
38	PMC5129897	10/2016	1
39	PMC5155676	12/2016	1
41	PMC5679631	11/2017	1
42	PMC5758521	1/2018	1
43	PMC5838372	3/2018	1
30	PMC4778858	3/2016	1
0	PMC3004407	12/2010	1
28	PMC4719746	1/2016	1
27	PMC4684854	12/2015	1
26	PMC4632418	10/2015	1
25	PMC4613350	9/2015	1
24	PMC4586450	10/2015	1
1	PMC3075531	7/2010	1
21	PMC4488777	5/2015	1
16	PMC4169453	9/2014	1
14	PMC3873449	12/2013	1
10	PMC3685533	6/2013	1
8	PMC3659910	1/2013	1
5	PMC3366611	4/2012	1
4	PMC3356951	4/2012	1
3	PMC3277098	12/2011	1
2	PMC3257641	3/2010	1
22	PMC4490503	6/2015	1
