	ARTICLE	ARTICLE DATE	NUM SENTENCES
4	PMC2996405	11/2010	21
18	PMC3713405	7/2013	9
3	PMC2889879	5/2010	8
17	PMC3705146	5/2013	8
29	PMC4764019	1/2016	5
23	PMC4171568	9/2014	4
6	PMC3309463	6/2011	4
22	PMC4113768	7/2014	4
12	PMC3407995	7/2012	3
19	PMC3728489	7/2013	3
1	PMC2396486	6/2008	3
36	PMC5474873	6/2017	3
8	PMC3338544	4/2012	3
5	PMC3257641	3/2010	3
14	PMC3488410	10/2012	2
34	PMC5351212	3/2017	2
7	PMC3319623	4/2012	2
11	PMC3395583	7/2012	1
27	PMC4595656	10/2015	1
35	PMC5385921	4/2017	1
33	PMC5318550	2/2017	1
32	PMC4949006	7/2016	1
31	PMC4908484	6/2016	1
30	PMC4843009	4/2016	1
2	PMC2873552	4/2010	1
28	PMC4624803	10/2015	1
24	PMC4188019	1/2010	1
26	PMC4396835	1/2015	1
25	PMC4329745	10/2014	1
13	PMC3411795	8/2012	1
21	PMC3991049	11/2013	1
20	PMC3760821	9/2013	1
9	PMC3347007	4/2012	1
10	PMC3347028	3/2012	1
16	PMC3659910	1/2013	1
15	PMC3613945	2/2013	1
0	BMJ_2010_Apr_29_340_c1640	4/2010	1
