	ARTICLE	ARTICLE DATE	NUM SENTENCES
73	PMC4113768	7/2014	131
208	PMC5941617	5/2018	65
81	PMC4256222	12/2014	38
51	PMC3702245	6/2013	35
11	PMC2963768	10/2010	30
212	PMC6011374	6/2018	27
63	PMC3873449	12/2013	27
210	PMC5956785	5/2018	26
205	PMC5812027	2/2018	26
18	PMC3257641	3/2010	23
13	PMC3034879	12/2010	23
59	PMC3773018	4/2013	23
136	PMC4934634	11/2015	22
151	PMC5014971	8/2016	21
202	PMC5732505	12/2017	19
117	PMC4764019	1/2016	18
135	PMC4930210	7/2016	18
75	PMC4169453	9/2014	18
141	PMC4973215	8/2016	18
123	PMC4811441	3/2016	16
161	PMC5084041	10/2016	16
168	PMC5146866	12/2016	16
128	PMC4889866	5/2016	16
31	PMC3427192	4/2012	15
62	PMC3827489	10/2013	14
24	PMC3347028	3/2012	13
20	PMC3277098	12/2011	13
192	PMC5634602	10/2017	13
32	PMC3427250	8/2012	13
95	PMC4448820	5/2015	12
180	PMC5405075	4/2017	12
206	PMC5827025	2/2018	11
199	PMC5706533	11/2017	11
181	PMC5418719	5/2017	10
29	PMC3407995	7/2012	10
21	PMC3296991	2/2012	10
19	PMC3271033	1/2012	10
127	PMC4859539	5/2016	10
47	PMC3672018	5/2013	9
85	PMC4329404	10/2014	9
148	PMC4997421	8/2016	9
97	PMC4466139	6/2015	9
99	PMC4499946	7/2015	9
137	PMC4944244	7/2016	9
169	PMC5155676	12/2016	9
58	PMC3760821	9/2013	9
54	PMC3717170	5/2013	9
12	PMC3004407	12/2010	9
43	PMC3641012	4/2013	9
23	PMC3347007	4/2012	9
38	PMC3515553	12/2012	9
188	PMC5524288	7/2017	8
103	PMC4598849	10/2015	8
143	PMC4982007	8/2016	8
28	PMC3395583	7/2012	8
34	PMC3470091	9/2012	8
87	PMC4340999	3/2015	8
162	PMC5085625	9/2016	8
61	PMC3814422	10/2013	8
156	PMC5045784	10/2016	8
187	PMC5513133	7/2017	8
45	PMC3659910	1/2013	8
6	PMC2798111	12/2010	8
182	PMC5426325	4/2017	8
186	PMC5489519	6/2017	8
111	PMC4684854	12/2015	7
41	PMC3613945	2/2013	7
203	PMC5758521	1/2018	7
80	PMC4251419	12/2014	7
94	PMC4427001	4/2015	7
16	PMC3103150	3/2011	6
204	PMC5784894	1/2018	6
116	PMC4729160	1/2016	6
179	PMC5385921	4/2017	6
91	PMC4380518	9/2014	6
142	PMC4979151	8/2016	6
93	PMC4405493	4/2015	6
86	PMC4329745	10/2014	6
112	PMC4689556	12/2015	6
17	PMC3235789	12/2011	6
40	PMC3552819	12/2012	6
149	PMC4997567	8/2016	5
25	PMC3355895	1/2011	5
196	PMC5679631	11/2017	5
92	PMC4396835	1/2015	5
79	PMC4231606	10/2013	5
36	PMC3472720	8/2012	5
107	PMC4632418	10/2015	5
191	PMC5546866	8/2017	5
131	PMC4897157	5/2016	5
3	PMC2582131	11/2008	5
70	PMC4045304	2/2014	5
125	PMC4829940	5/2016	5
104	PMC4600246	10/2015	4
50	PMC3695234	7/2013	4
26	PMC3356951	4/2012	4
7	PMC2821652	2/2010	4
209	PMC5952272	5/2018	4
120	PMC4785305	3/2016	4
150	PMC4998950	4/2016	4
46	PMC3668200	5/2013	4
189	PMC5537904	7/2017	4
154	PMC5039809	10/2016	4
190	PMC5539754	8/2017	4
49	PMC3691177	6/2013	4
211	PMC5995352	6/2018	4
2	PMC2290997	4/2008	4
53	PMC3705320	3/2013	4
207	PMC5838372	3/2018	4
165	PMC5129897	10/2016	4
71	PMC4072587	6/2014	4
166	PMC5133057	10/2016	4
144	PMC4989298	8/2016	3
170	PMC5223368	12/2016	3
163	PMC5095257	11/2016	3
164	PMC5118763	12/2016	3
157	PMC5051327	9/2016	3
139	PMC4969253	8/2016	3
174	PMC5318550	2/2017	3
0	BMJ_2010_Apr_29_340_c1640	4/2010	3
9	PMC2872349	4/2010	3
115	PMC4719746	1/2016	3
105	PMC4624803	10/2015	3
113	PMC4690051	12/2015	3
68	PMC3991049	11/2013	3
48	PMC3685533	6/2013	3
39	PMC3521768	12/2012	3
194	PMC5659607	10/2017	2
96	PMC4452099	6/2015	2
90	PMC4377879	3/2015	2
60	PMC3809191	1/2013	2
152	PMC5024513	9/2016	2
84	PMC4303849	1/2015	2
35	PMC3471827	10/2012	2
158	PMC5062906	10/2016	2
106	PMC4627942	10/2015	2
37	PMC3476426	8/2012	2
201	PMC5716389	9/2017	2
72	PMC4106226	7/2014	2
67	PMC3933171	3/2014	2
184	PMC5474873	6/2017	2
65	PMC3901983	1/2013	2
175	PMC5340372	3/2017	2
178	PMC5372327	3/2017	2
200	PMC5707701	11/2017	2
89	PMC4377870	3/2015	2
64	PMC3882256	1/2014	2
118	PMC4765528	12/2015	2
114	PMC4691762	12/2015	2
98	PMC4490503	6/2015	2
126	PMC4832516	10/2015	2
15	PMC3075531	7/2010	2
108	PMC4632423	10/2015	2
130	PMC4896250	4/2016	2
140	PMC4971719	8/2016	2
122	PMC4811107	3/2016	2
102	PMC4586451	10/2015	2
101	PMC4586450	10/2015	2
100	PMC4516377	6/2015	2
56	PMC3739737	8/2013	1
57	PMC3742894	7/2013	1
52	PMC3702339	6/2013	1
183	PMC5452160	4/2017	1
185	PMC5485024	3/2017	1
55	PMC3717763	8/2013	1
5	PMC2722583	1/2009	1
4	PMC2685863	5/2009	1
30	PMC3417531	7/2012	1
8	PMC2841444	2/2010	1
44	PMC3651971	5/2013	1
10	PMC2889879	5/2010	1
14	PMC3061267	2/2011	1
193	PMC5638722	8/2017	1
195	PMC5664622	9/2017	1
22	PMC3338544	4/2012	1
197	PMC5682869	11/2017	1
27	PMC3366289	7/2011	1
198	PMC5685050	10/2014	1
33	PMC3465343	10/2012	1
42	PMC3629265	4/2013	1
119	PMC4772030	1/2016	1
177	PMC5371920	3/2017	1
176	PMC5359891	3/2017	1
124	PMC4825101	10/2015	1
129	PMC4891833	6/2016	1
110	PMC4670104	12/2015	1
132	PMC4903143	5/2016	1
133	PMC4910734	6/2015	1
134	PMC4923982	5/2016	1
109	PMC4663595	11/2015	1
1	PMC2151954	10/2007	1
138	PMC4949006	7/2016	1
145	PMC4990268	8/2016	1
146	PMC4990280	8/2016	1
147	PMC4992225	8/2016	1
88	PMC4346113	3/2015	1
153	PMC5030591	9/2016	1
155	PMC5042197	9/2016	1
83	PMC4289552	12/2014	1
82	PMC4268639	11/2014	1
159	PMC5064894	10/2016	1
160	PMC5084016	10/2016	1
78	PMC4210909	10/2014	1
77	PMC4192458	9/2014	1
76	PMC4188019	1/2010	1
74	PMC4161944	9/2014	1
121	PMC4800340	5/2016	1
167	PMC5137891	12/2016	1
66	PMC3926113	1/2014	1
171	PMC5264377	7/2016	1
172	PMC5273824	1/2017	1
173	PMC5310660	1/2017	1
69	PMC4018592	4/2014	1
