	ARTICLE	ARTICLE DATE	NUM SENTENCES
50	PMC4113768	7/2014	27
113	PMC5941617	5/2018	25
2	PMC2290997	4/2008	19
46	PMC3873449	12/2013	15
101	PMC5474873	6/2017	12
107	PMC5664622	9/2017	9
24	PMC3356951	4/2012	9
13	PMC3075531	7/2010	9
78	PMC4897157	5/2016	8
40	PMC3705146	5/2013	8
93	PMC5084041	10/2016	8
21	PMC3347028	3/2012	8
55	PMC4251419	12/2014	7
45	PMC3827489	10/2013	7
11	PMC2963768	10/2010	7
82	PMC4944244	7/2016	7
77	PMC4896250	4/2016	6
33	PMC3659910	1/2013	6
12	PMC3004407	12/2010	6
86	PMC4997567	8/2016	6
36	PMC3672018	5/2013	5
57	PMC4340999	3/2015	5
18	PMC3277098	12/2011	5
39	PMC3702245	6/2013	5
59	PMC4405493	4/2015	5
87	PMC5014971	8/2016	5
81	PMC4934634	11/2015	4
80	PMC4930210	7/2016	4
70	PMC4691762	12/2015	4
29	PMC3427250	8/2012	4
115	PMC5956785	5/2018	4
26	PMC3407995	7/2012	4
14	PMC3103150	3/2011	4
112	PMC5838372	3/2018	3
28	PMC3427192	4/2012	3
75	PMC4832516	10/2015	3
102	PMC5513133	7/2017	3
3	PMC2582131	11/2008	3
44	PMC3773018	4/2013	3
95	PMC5129897	10/2016	3
20	PMC3347007	4/2012	3
22	PMC3348565	4/2012	3
92	PMC5084016	10/2016	3
91	PMC5051327	9/2016	3
96	PMC5146866	12/2016	3
60	PMC4417995	4/2015	2
64	PMC4516377	6/2015	2
65	PMC4595656	10/2015	2
68	PMC4632418	10/2015	2
89	PMC5028238	10/2016	2
72	PMC4770602	1/2016	2
73	PMC4785305	3/2016	2
74	PMC4800340	5/2016	2
109	PMC5685050	10/2014	2
103	PMC5524288	7/2017	2
99	PMC5340372	3/2017	2
83	PMC4973215	8/2016	2
0	BMJ_2010_Apr_29_340_c1640	4/2010	2
116	PMC6011374	6/2018	2
9	PMC2898025	5/2010	2
8	PMC2889879	5/2010	2
30	PMC3470091	9/2012	2
56	PMC4329745	10/2014	2
31	PMC3476426	8/2012	2
32	PMC3629265	4/2013	2
16	PMC3257641	3/2010	2
41	PMC3717170	5/2013	2
10	PMC2913107	8/2010	2
47	PMC3991049	11/2013	2
23	PMC3355895	1/2011	2
53	PMC4188019	1/2010	2
7	PMC2821652	2/2010	2
98	PMC5310660	1/2017	1
4	PMC2606998	6/2007	1
114	PMC5952272	5/2018	1
5	PMC2685863	5/2009	1
6	PMC2798111	12/2010	1
94	PMC5085625	9/2016	1
19	PMC3313761	3/2012	1
17	PMC3272870	12/2011	1
97	PMC5155676	12/2016	1
108	PMC5679631	11/2017	1
106	PMC5634602	10/2017	1
100	PMC5426325	4/2017	1
111	PMC5812027	2/2018	1
15	PMC3235789	12/2011	1
110	PMC5784894	1/2018	1
25	PMC3385441	2/2012	1
104	PMC5537904	7/2017	1
105	PMC5539754	8/2017	1
1	PMC2265059	3/2008	1
88	PMC5024513	9/2016	1
27	PMC3424155	8/2012	1
49	PMC4106226	7/2014	1
61	PMC4427001	4/2015	1
62	PMC4452099	6/2015	1
63	PMC4466139	6/2015	1
54	PMC4221707	11/2014	1
66	PMC4598849	10/2015	1
67	PMC4624803	10/2015	1
52	PMC4169453	9/2014	1
69	PMC4690051	12/2015	1
51	PMC4161944	9/2014	1
71	PMC4719746	1/2016	1
48	PMC4045304	2/2014	1
90	PMC5042197	9/2016	1
43	PMC3760821	9/2013	1
76	PMC4864049	1/2016	1
42	PMC3717763	8/2013	1
79	PMC4908484	6/2016	1
38	PMC3695234	7/2013	1
37	PMC3685533	6/2013	1
35	PMC3668200	5/2013	1
34	PMC3660294	5/2013	1
84	PMC4982007	8/2016	1
85	PMC4992225	8/2016	1
58	PMC4377870	3/2015	1
