	ARTICLE	ARTICLE DATE	NUM SENTENCES
293	PMC5941617	5/2018	152
112	PMC4113768	7/2014	114
197	PMC4934634	11/2015	47
91	PMC3798907	8/2013	41
36	PMC3347007	4/2012	32
114	PMC4169453	9/2014	30
170	PMC4719746	1/2016	29
237	PMC5155676	12/2016	26
216	PMC5014971	8/2016	26
280	PMC5679631	11/2017	24
71	PMC3659910	1/2013	23
265	PMC5513133	7/2017	23
123	PMC4251419	12/2014	21
168	PMC4691762	12/2015	21
178	PMC4785305	3/2016	21
278	PMC5659607	10/2017	21
144	PMC4448820	5/2015	20
209	PMC4990268	8/2016	20
131	PMC4329404	10/2014	20
174	PMC4770602	1/2016	20
138	PMC4383226	2/2015	19
256	PMC5418719	5/2017	19
222	PMC5035678	4/2016	19
283	PMC5706533	11/2017	19
149	PMC4499946	7/2015	18
76	PMC3685533	6/2013	18
43	PMC3407995	7/2012	18
196	PMC4930210	7/2016	18
79	PMC3702245	6/2013	17
276	PMC5634602	10/2017	17
227	PMC5064894	10/2016	17
38	PMC3348565	4/2012	16
250	PMC5372327	3/2017	16
70	PMC3651971	5/2013	16
40	PMC3356951	4/2012	15
77	PMC3691177	6/2013	15
146	PMC4466139	6/2015	15
34	PMC3277098	12/2011	15
165	PMC4684854	12/2015	14
271	PMC5546866	8/2017	14
15	PMC2798111	12/2010	13
98	PMC3873449	12/2013	13
37	PMC3347028	3/2012	12
229	PMC5084041	10/2016	12
211	PMC4992225	8/2016	12
166	PMC4689556	12/2015	12
69	PMC3641012	4/2013	12
134	PMC4377870	3/2015	12
248	PMC5368580	4/2017	11
31	PMC3257641	3/2010	11
198	PMC4944244	7/2016	11
94	PMC3827489	10/2013	11
235	PMC5129897	10/2016	11
203	PMC4973215	8/2016	10
11	PMC2679409	5/2009	10
268	PMC5537904	7/2017	10
160	PMC4632418	10/2015	10
23	PMC3032617	5/2010	10
24	PMC3034879	12/2010	10
32	PMC3271033	1/2012	10
141	PMC4417995	4/2015	9
89	PMC3760821	9/2013	9
199	PMC4949006	7/2016	9
73	PMC3668200	5/2013	9
104	PMC3991049	11/2013	9
84	PMC3717170	5/2013	9
279	PMC5664622	9/2017	9
215	PMC4997567	8/2016	9
54	PMC3501517	11/2012	9
81	PMC3705320	3/2013	8
159	PMC4627942	10/2015	8
96	PMC3829803	11/2013	8
224	PMC5045784	10/2016	8
275	PMC5623264	9/2017	8
46	PMC3427192	4/2012	7
156	PMC4600246	10/2015	7
28	PMC3107676	4/2011	7
16	PMC2821652	2/2010	7
296	PMC5995352	6/2018	7
161	PMC4645901	8/2014	7
22	PMC2963768	10/2010	6
154	PMC4595656	10/2015	6
8	PMC2581757	11/2008	6
142	PMC4427001	4/2015	6
19	PMC2874518	6/2010	6
208	PMC4989298	8/2016	6
189	PMC4896250	4/2016	6
14	PMC2779500	11/2009	6
17	PMC2841444	2/2010	6
145	PMC4452099	6/2015	6
26	PMC3075531	7/2010	5
188	PMC4889866	5/2016	5
30	PMC3171895	9/2011	5
291	PMC5838372	3/2018	5
67	PMC3629265	4/2013	5
267	PMC5524288	7/2017	5
109	PMC4072587	6/2014	5
253	PMC5405075	4/2017	5
286	PMC5738092	12/2017	5
176	PMC4778858	3/2016	5
75	PMC3679329	6/2013	5
295	PMC5956785	5/2018	5
62	PMC3552819	12/2012	5
74	PMC3672018	5/2013	5
206	PMC4979151	8/2016	5
234	PMC5118763	12/2016	4
122	PMC4231606	10/2013	4
236	PMC5146866	12/2016	4
285	PMC5732505	12/2017	4
125	PMC4258799	11/2014	4
126	PMC4263713	12/2014	4
257	PMC5426325	4/2017	4
130	PMC4302429	1/2015	4
254	PMC5410409	4/2017	4
135	PMC4377879	3/2015	4
5	PMC1888711	5/2007	4
151	PMC4586450	10/2015	4
47	PMC3427250	8/2012	4
27	PMC3103150	3/2011	4
201	PMC4969253	8/2016	4
249	PMC5371920	3/2017	4
147	PMC4488777	5/2015	4
269	PMC5539754	8/2017	4
9	PMC2582131	11/2008	4
225	PMC5051327	9/2016	4
49	PMC3470091	9/2012	4
6	PMC2290997	4/2008	4
289	PMC5812027	2/2018	4
100	PMC3888066	12/2012	4
181	PMC4829940	5/2016	3
172	PMC4729160	1/2016	3
18	PMC2872349	4/2010	3
252	PMC5385921	4/2017	3
298	PMC6039335	7/2018	3
1	BMJ_2010_Apr_29_340_c1640	4/2010	3
239	PMC5240436	1/2017	3
241	PMC5273824	1/2017	3
65	PMC3613945	2/2013	3
137	PMC4380518	9/2014	3
101	PMC3901983	1/2013	3
202	PMC4971719	8/2016	3
72	PMC3660294	5/2013	3
56	PMC3509518	11/2012	3
78	PMC3695234	7/2013	3
82	PMC3710934	7/2013	3
281	PMC5682869	11/2017	3
85	PMC3717763	8/2013	3
86	PMC3728489	7/2013	3
90	PMC3773018	4/2013	3
20	PMC2889879	5/2010	3
99	PMC3882256	1/2014	3
288	PMC5784894	1/2018	3
263	PMC5489519	6/2017	3
25	PMC3061267	2/2011	3
121	PMC4221707	11/2014	3
116	PMC4188019	1/2010	3
115	PMC4171568	9/2014	3
264	PMC5510234	7/2017	3
219	PMC5028238	10/2016	3
230	PMC5085625	9/2016	2
228	PMC5084016	10/2016	2
192	PMC4908484	6/2016	2
240	PMC5264377	7/2016	2
210	PMC4990280	8/2016	2
207	PMC4982007	8/2016	2
173	PMC4764019	1/2016	2
194	PMC4910734	6/2015	2
205	PMC4976416	7/2016	2
183	PMC4843009	4/2016	2
0	BMJ_2008_Nov_7_337_a2001	11/2008	2
106	PMC4018592	4/2014	2
261	PMC5485024	3/2017	2
103	PMC3970319	5/2013	2
266	PMC5523023	7/2017	2
93	PMC3814422	10/2013	2
92	PMC3809191	1/2013	2
87	PMC3739737	8/2013	2
273	PMC5579643	8/2017	2
63	PMC3586494	2/2013	2
57	PMC3515553	12/2012	2
287	PMC5758521	1/2018	2
290	PMC5827025	2/2018	2
29	PMC3169551	9/2011	2
292	PMC5841533	2/2018	2
13	PMC2722583	1/2009	2
294	PMC5952272	5/2018	2
297	PMC6011374	6/2018	2
107	PMC4045304	2/2014	2
110	PMC4074693	3/2014	2
118	PMC4193194	10/2014	2
155	PMC4598849	10/2015	2
139	PMC4396835	1/2015	2
132	PMC4329745	10/2014	2
152	PMC4586451	10/2015	2
259	PMC5445675	6/2017	2
246	PMC5340372	3/2017	2
140	PMC4405493	4/2015	2
247	PMC5351212	3/2017	1
277	PMC5640793	9/2017	1
226	PMC5062906	10/2016	1
245	PMC5332602	3/2017	1
223	PMC5039809	10/2016	1
251	PMC5384134	4/2017	1
284	PMC5707701	11/2017	1
244	PMC5325195	2/2017	1
282	PMC5697969	12/2017	1
274	PMC5587553	9/2017	1
