	ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
S8-PMC2582131	PMC2582131	11/2008	S8-PMC2582131	['APPROXIMATELY 33% of gdm cases, COMPARED with 14% of controls ( p<0.001), had maternal Plasma 25-[Oh] D concentrations consistent with a pre-specified diagnosis of Vitamin D deficiency (<20 ng/ml).']	[('INCOMPLETE_EVIDENCE', 0), ('ANOMALY_CURIOUS_FINDING', 32)]	2	[('UBERON_0001969', 'blood plasma', 87, 'plasma'), ('CHEBI_34300', '2-naphthoyl-CoA', 94, '25-[OH] D'), ('CHEBI_27300', 'vitamin D', 164, 'vitamin D')]
S18-PMC2582131	PMC2582131	11/2008	S18-PMC2582131	['furthermore, circulating concentrations of 25-Hydroxyvitamin D (25-[Oh] D), the primary circulating form of Vitamin D, were significantly and inversely RELATED to the risk for type 2 diabetes[15]and RELATED phenotypes in epidemiological studies[9],[16]–[19].']	[('SUPERFICIAL_RELATIONSHIP', 152), ('SUPERFICIAL_RELATIONSHIP', 199)]	2	[('CHEBI_62218', '23,24-dihydrocucurbitacin D', 43, '25-hydroxyvitamin D'), ('CHEBI_34300', '2-naphthoyl-CoA', 64, '25-[OH] D'), ('CHEBI_27300', 'vitamin D', 108, 'vitamin D')]
S54-PMC2582131	PMC2582131	11/2008	S54-PMC2582131	['we categorized Plasma 25-[Oh] D concentrations according to PREVIOUSLY published criteria for Vitamin D sufficiency (≥30 ng/ml), insufficiency (20–29 ng/ml) and deficiency (<20 ng/ml)[1].']	[('INCOMPLETE_EVIDENCE', 60)]	1	[('UBERON_0001969', 'blood plasma', 15, 'plasma'), ('CHEBI_34300', '2-naphthoyl-CoA', 22, '25-[OH] D'), ('CHEBI_27300', 'vitamin D', 94, 'vitamin D')]
S68-PMC2582131	PMC2582131	11/2008	S68-PMC2582131	['APPROXIMATELY 33% of gdm cases, COMPARED with 14% of controls ( p<0.001), had Plasma 25-[Oh] D concentrations CONSISTENT with a diagnosis of Vitamin D deficiency (<20 ng/ml))[1](table 2) .']	[('INCOMPLETE_EVIDENCE', 0), ('ANOMALY_CURIOUS_FINDING', 32), ('INCOMPLETE_EVIDENCE', 110)]	3	[('UBERON_0001969', 'blood plasma', 78, 'plasma'), ('CHEBI_34300', '2-naphthoyl-CoA', 85, '25-[OH] D'), ('CHEBI_27300', 'vitamin D', 141, 'vitamin D')]
S79-PMC2582131	PMC2582131	11/2008	S79-PMC2582131	['the risk for gdm was highest for overweight women who were classified as being deficient for Vitamin D (25-[Oh] D<20 ng/ml in Pregnancy); they experienced an APPROXIMATELY 5-fold increased risk as compared with lean women of higher Plasma 25-[Oh] D levels (adjusted or\u200a=\u200a4.93, 95% ci 1.63–14.9) ( table 3 ).10.1371/journal.pone.0003753.t003\n\ncaption (table-wrap): table 3\nodds ratios (or) and 95% confidence intervals (ci) for Gestational diabetes (gdm) according to both maternal Plasma 25-Hydroxyvitamin D deficient status and pre-Pregnancy overweight status.Vitamin D deficiency*overweight**gdm casescontrolsunadjusted or (95% ci)adjusted1or (95% ci)(n\u200a=\u200a57)(n\u200a=\u200a114)nono22751.00 (referent)1.00 (referent)yesno792.65 (0.89–7.93)2.36 (0.75–7.43)noyes16232.37 (1.07–5.25)2.24 (0.99–5.08)yesyes1275.84 (2.05–16.6)4.93 (1.63–14.9) p value for interaction term0.930.93\nVitamin D deficiency is DEFINED as maternal Plasma 25-Hydroxyvitamin D concentrations <20 ng/ml (holick mf,[reference 1]).']	[('INCOMPLETE_EVIDENCE', 158), ('PROBABLE_UNDERSTANDING', 891)]	2	"[('CHEBI_27300', 'vitamin D', 93, 'vitamin D'), ('CHEBI_34300', '2-naphthoyl-CoA', 104, '25-[OH] D'), ('GO_0007565', 'female pregnancy', 126, 'pregnancy'), ('UBERON_0001969', 'blood plasma', 232, 'plasma'), ('CHEBI_34300', '2-naphthoyl-CoA', 239, '25-[OH] D'), ('GO_0007565', 'female pregnancy', 427, 'gestational'), ('UBERON_0001969', 'blood plasma', 481, 'plasma'), ('CHEBI_27844', ""2',3'-cyclic AMP"", 488, '25-Hydroxyvitamin D'), ('GO_0007565', 'female pregnancy', 533, 'pregnancy'), ('CHEBI_28384', 'vitamin K', 561, 'Vitamin D'), ('CHEBI_28384', 'vitamin K', 867, 'Vitamin D'), ('UBERON_0001969', 'blood plasma', 911, 'plasma'), ('CHEBI_27844', ""2',3'-cyclic AMP"", 918, '25-Hydroxyvitamin D')]"
S85-PMC2582131	PMC2582131	11/2008	S85-PMC2582131	['the biologically active form of Vitamin D is 1,25-[Oh] D. HOWEVER, 25-[Oh] D is REGARDED AS the BEST INDICATOR of Vitamin D status in the body because it is the substrate for the Renal and Nonrenal Production Of 1,25-[Oh] D and has a longer biological half-life and higher concentrations in circulation than 1,25-[Oh] D. Plasma 25-[Oh] D REFLECTS Vitamin D from both endogenous and exogenous sources.']	[('ALTERNATIVE_OPTIONS_CONTROVERSY', 58), ('PROBABLE_UNDERSTANDING', 80), ('PROBABLE_UNDERSTANDING', 89), ('IMPORTANT_CONSIDERATION', 96), ('SUPERFICIAL_RELATIONSHIP', 101), ('PROBABLE_UNDERSTANDING', 338), ('SUPERFICIAL_RELATIONSHIP', 338)]	7	[('CHEBI_27300', 'vitamin D', 32, 'vitamin D'), ('CHEBI_34300', '2-naphthoyl-CoA', 47, '25-[OH] D'), ('CHEBI_34300', '2-naphthoyl-CoA', 67, '25-[OH] D'), ('CHEBI_27300', 'vitamin D', 114, 'vitamin D'), ('GO_0006260', 'DNA replication', 179, 'renal ...'), ('UBERON_0002113', 'kidney', 179, 'renal'), ('UBERON_0000970', 'eye', 189, 'nonrenal'), ('GO_0030164', 'protein denaturation', 198, 'production of ... OH] D'), ('CHEBI_84441', '13(S)-HOTrE', 212, '1,25-[OH] D'), ('CHEBI_34300', '2-naphthoyl-CoA', 310, '25-[OH] D'), ('UBERON_0001969', 'blood plasma', 321, 'Plasma'), ('CHEBI_34300', '2-naphthoyl-CoA', 328, '25-[OH] D'), ('CHEBI_27300', 'vitamin D', 347, 'vitamin D')]
S92-PMC2582131	PMC2582131	11/2008	S92-PMC2582131	['lastly, IT IS POSSIBLE that the OBSERVED inverse ASSOCIATION of Plasma 25-[Oh] D with gdm risk REFLECTS the IMPACT of other components of major endogenous and exogenous sources of Vitamin D on Glucose Homeostasis through OTHER pathways.']	[('INCOMPLETE_EVIDENCE', 8), ('INCOMPLETE_EVIDENCE', 32), ('SUPERFICIAL_RELATIONSHIP', 49), ('SUPERFICIAL_RELATIONSHIP', 95), ('SUPERFICIAL_RELATIONSHIP', 108), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 221)]	6	[('UBERON_0001969', 'blood plasma', 64, 'plasma'), ('CHEBI_34300', '2-naphthoyl-CoA', 71, '25-[OH] D'), ('CHEBI_27300', 'vitamin D', 180, 'vitamin D'), ('CHEBI_17234', 'glucose', 193, 'glucose'), ('GO_0042593', 'glucose homeostasis', 193, 'glucose homeostasis')]
S93-PMC2582131	PMC2582131	11/2008	S93-PMC2582131	['for instance, Endogenous Production Of Vitamin D In the Skin due to sun exposure is a MAJOR source of Plasma 25-[Oh] D. sun exposure could be positively CORRELATED with outdoor physical activity, a PROTECTIVE FACTOR for Insulin resistance and gdm[32]–[34].']	[('IMPORTANT_CONSIDERATION', 86), ('SUPERFICIAL_RELATIONSHIP', 153), ('SUPERFICIAL_RELATIONSHIP', 198)]	3	[('GO_0009790', 'embryo development', 14, 'endogenous'), ('GO_1902907', 'proteasome storage granule disassembly', 25, 'production of vitamin D in ... skin'), ('CHEBI_27300', 'vitamin D', 39, 'vitamin D'), ('UBERON_0001969', 'blood plasma', 102, 'plasma'), ('CHEBI_34300', '2-naphthoyl-CoA', 109, '25-[OH] D'), ('PR_000045358', 'insulin family protein', 220, 'insulin')]
S110-PMC2582131	PMC2582131	11/2008	S110-PMC2582131	['first, determination of 25-[Oh] D concentrations using Plasma collected in early Pregnancy served to define the temporal RELATIONSHIP between maternal Vitamin D deficiency and subsequent risk of gdm BECAUSE, in general, Pregnant women develop Gestational diabetes during the late 2ndor 3rdtrimester.']	[('SUPERFICIAL_RELATIONSHIP', 121), ('PROBABLE_UNDERSTANDING', 199)]	2	[('CHEBI_34300', '2-naphthoyl-CoA', 24, '25-[OH] D'), ('UBERON_0001969', 'blood plasma', 55, 'plasma'), ('GO_0007565', 'female pregnancy', 81, 'pregnancy'), ('CHEBI_27300', 'vitamin D', 151, 'vitamin D'), ('GO_0007565', 'female pregnancy', 220, 'pregnant'), ('GO_0007565', 'female pregnancy', 243, 'gestational')]
S114-PMC2582131	PMC2582131	11/2008	S114-PMC2582131	['first, a single measurement of Plasma 25-[Oh] D concentrations is not LIKELY to provide a time-integrated measure of maternal Vitamin D status during the entire study Pregnancy.']	[('PROBABLE_UNDERSTANDING', 70)]	1	[('UBERON_0001969', 'blood plasma', 31, 'plasma'), ('CHEBI_34300', '2-naphthoyl-CoA', 38, '25-[OH] D'), ('CHEBI_27300', 'vitamin D', 126, 'vitamin D'), ('GO_0007565', 'female pregnancy', 167, 'pregnancy')]
