	ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
S10-PMC3702245	PMC3702245	6/2013	S10-PMC3702245	['a second hydroxylation takes place in the Kidney, which converts 25(Oh)D to the most biologically active Metabolite, 1,25-Dihydroxyvitamin D, the major classical physiologic function of which is to increase calcium and Phosphorus absorption from the Gut in order to maintain Calcium Homeostasis and promote mineralization of Osteoid bone.9\nalthough the Renal 1-alpha hydroxylase (Cytochrome P450 [Cyp]27B1) enzyme is a MAJOR DETERMINANT of Synthesis of 1,25-Dihydroxyvitamin D, IT IS KNOWN that Cyp27B1 is Expressed in Nonrenal Tissues to produce 1,25 Dihydroxyvitamin D.6,19in addition, Vitamin D receptors are also Expressed in a variety of Organs, Tissues, and cells (seefigure 1).20the 1,25-Dihydroxyvitamin D locally produced in Extrarenal Tissues, such as immune cells, Pancreatic Beta Cells, the Intestine, Prostate, Breast, and other Organs, Controls multiple Vitamin D-responsive Genes, and THUS plays an important physiologic ROLE in Cardiovascular health,21,22the Adaptive and Innate Immune Responses,23,24insulin secretion,25,26regulation of Cell Proliferation, Differentiation, and Apoptosis, and inhibition of Angiogenesis.27\n\nVitamin D Homeostasis and functions during Pregnancy\nthe classical function of Vitamin D is to maintain calcium Homeostasis.']	[('IMPORTANT_CONSIDERATION', 419), ('SUPERFICIAL_RELATIONSHIP', 425), ('INCOMPLETE_EVIDENCE', 478), ('PROBABLE_UNDERSTANDING', 900), ('SUPERFICIAL_RELATIONSHIP', 936)]	5	[('UBERON_0002113', 'kidney', 42, 'kidney'), ('CHEBI_71657', 'versiconol acetate', 65, '25(OH)D'), ('CHEBI_39382', 'flufenoxuron', 105, 'metabolite'), ('CHEBI_67472', '15-epi-lupulin B', 117, '1,25-dihydroxyvitamin D'), ('CHEBI_35885', 'secondary phosphine', 219, 'phosphorus'), ('UBERON_0001555', 'digestive tract', 250, 'gut'), ('GO_0055073', 'cadmium ion homeostasis', 275, 'calcium homeostasis'), ('UBERON_0008883', 'osteoid', 325, 'osteoid'), ('UBERON_0002113', 'kidney', 353, 'renal'), ('CHEBI_4056', 'cytochrome', 380, 'cytochrome'), ('PR_000006100', 'aromatase', 380, 'cytochrome P450'), ('PR_000006138', 'cytochrome P450 4F11', 397, 'CYP ... 27B1'), ('GO_0009057', 'macromolecule catabolic process', 440, 'synthesis'), ('CHEBI_67472', '15-epi-lupulin B', 453, '1,25-dihydroxyvitamin D'), ('PR_000006101', 'cytochrome P450 1A1', 495, 'CYP27B1'), ('GO_0010467', 'gene expression', 506, 'expressed'), ('UBERON_0002481', 'bone tissue', 519, 'nonrenal tissues'), ('CHEBI_67469', '15-hydroxyajubractin C', 547, '1,25 dihydroxyvitamin D'), ('CHEBI_27300', 'vitamin D', 588, 'vitamin D'), ('GO_0010467', 'gene expression', 617, 'expressed'), ('UBERON_0000062', 'organ', 643, 'organs'), ('UBERON_0000479', 'tissue', 651, 'tissues'), ('CHEBI_67472', '15-epi-lupulin B', 690, '1,25-dihydroxyvitamin D'), ('UBERON_0005292', 'extraembryonic tissue', 734, 'extrarenal tissues'), ('CL_0000169', 'type B pancreatic cell', 776, 'pancreatic beta cells'), ('UBERON_0001264', 'pancreas', 776, 'pancreatic'), ('UBERON_0000160', 'intestine', 803, 'intestine'), ('UBERON_0002367', 'prostate gland', 814, 'prostate'), ('UBERON_0000310', 'breast', 824, 'breast'), ('UBERON_0000062', 'organ', 842, 'organs'), ('GO_0065007', 'biological regulation', 850, 'controls'), ('CHEBI_27300', 'vitamin D', 868, 'vitamin D'), ('SO_0000704', 'gene', 889, 'genes'), ('UBERON_0004535', 'cardiovascular system', 944, 'cardiovascular'), ('GO_0051886', 'negative regulation of timing of anagen', 975, 'adaptive ...'), ('GO_0044419', 'biological process involved in interspecies interaction between organisms', 988, 'innate immune responses'), ('UBERON_0002405', 'immune system', 995, 'immune'), ('GO_0030154', 'cell differentiation', 1054, 'cell proliferation ... differentiation'), ('GO_0006915', 'apoptotic process', 1095, 'apoptosis'), ('GO_0001525', 'angiogenesis', 1124, 'angiogenesis'), ('CHEBI_28384', 'vitamin K', 1141, 'Vitamin D'), ('GO_0042592', 'homeostatic process', 1151, 'homeostasis'), ('GO_0007565', 'female pregnancy', 1184, 'pregnancy'), ('CHEBI_27300', 'vitamin D', 1220, 'vitamin D'), ('GO_0042592', 'homeostatic process', 1253, 'homeostasis')]
S147-PMC4405493	PMC4405493	4/2015	S147-PMC4405493	['the ROLE Vitamin D plays in adverse clinical outcomes such as Preeclampsia, Gestational diabetes, Preterm Labor, growth restriction, and spontaneous Abortion is SPECULATIVE, but MAY INVOLVE Vitamin D’s Regulation Of Placental Trophoblast Invasion and Angiogenesis, in addition to its anti-inflammatory properties [5].']	[('SUPERFICIAL_RELATIONSHIP', 4), ('INCOMPLETE_EVIDENCE', 161), ('INCOMPLETE_EVIDENCE', 178), ('SUPERFICIAL_RELATIONSHIP', 182), ('SUPERFICIAL_RELATIONSHIP', 202)]	5	[('CHEBI_27300', 'vitamin D', 9, 'vitamin D'), ('GO_0007128', 'meiotic prophase I', 62, 'preeclampsia'), ('GO_0007565', 'female pregnancy', 76, 'gestational'), ('GO_0007129', 'homologous chromosome pairing at meiosis', 98, 'preterm labor'), ('GO_0007569', 'cell aging', 149, 'abortion'), ('CHEBI_27300', 'vitamin D', 190, 'vitamin D'), ('GO_1900101', 'regulation of endoplasmic reticulum unfolded protein response', 202, 'regulation of ... invasion ...'), ('UBERON_0001987', 'placenta', 216, 'placental'), ('UBERON_0000088', 'trophoblast', 226, 'trophoblast'), ('GO_0001525', 'angiogenesis', 251, 'angiogenesis')]
S148-PMC4405493	PMC4405493	4/2015	S148-PMC4405493	['for example, there is SOME EVIDENCE Vitamin D AFFECTS transcription and function of Genes responsible for Trophoblast invasion and Angiogenesis, two factors CRITICAL for Placenta Development.']	[('INCOMPLETE_EVIDENCE', 22), ('SUPERFICIAL_RELATIONSHIP', 46), ('IMPORTANT_CONSIDERATION', 157)]	3	[('CHEBI_27300', 'vitamin D', 36, 'vitamin D'), ('SO_0000704', 'gene', 84, 'genes'), ('UBERON_0000088', 'trophoblast', 106, 'trophoblast'), ('GO_0001525', 'angiogenesis', 131, 'angiogenesis'), ('GO_0001890', 'placenta development', 170, 'placenta development'), ('UBERON_0001987', 'placenta', 170, 'placenta')]
S24-PMC4427001	PMC4427001	4/2015	S24-PMC4427001	['furthermore, Vitamin D has a strong immunomodulatory EFFECT; it inhibits Angiogenesis [8] and is also INVOLVED in the Regulation of Insulin secretion and POSSIBLY Insulin action [11,12].']	[('SUPERFICIAL_RELATIONSHIP', 53), ('SUPERFICIAL_RELATIONSHIP', 102), ('INCOMPLETE_EVIDENCE', 154)]	3	[('CHEBI_27300', 'vitamin D', 13, 'vitamin D'), ('GO_0001525', 'angiogenesis', 73, 'angiogenesis'), ('GO_0065007', 'biological regulation', 118, 'regulation'), ('PR_000045358', 'insulin family protein', 132, 'insulin'), ('PR_000045358', 'insulin family protein', 163, 'insulin')]
S22-PMC5129897	PMC5129897	10/2016	S22-PMC5129897	['diseases included in THIS STUDY along with a brief overview of the mechanisms of Vitamin D for each disease and a listing of a few observational studies and clinical trials in support.diseasemechanismsobservational studiesclinical trialscancereffects on cells, Angiogenesis, and metastasis10breast and Colorectal cancer incidence11; survival12breast and all-cancer incidence13cvdeffects on Serum Cholesterol levels, Arterial stiffness, Insulin resistance, hyperglycemia, and increased incident Metabolic syndrome are POTENTIALLY PLAUSIBLE mediators8refs.14,15effect on cvd risk factors16dementiaregulation of Calcium Homeostasis, clearance of Amyloid-Β peptide, antioxidant and anti-inflammatory EFFECTS, and POSSIBLE protection against the neurodegenerative mechanisms ASSOCIATED with ad17incidence18\xa0dmimproves Insulin sensitivity and secretion, mainly via its anti-inflammatory properties19incidence20; meta-analysis21\xa0falls and fracturesreduces bone mass loss by reducing inflammation22; maintains cognition23; helps maintain muscle mass24ref.25ref.26mseffects on Regulatory T and B Cells27Ref.28\xa0respiratory infectionsinduction of Cathelicidin and defensins29; strengthens Adaptive and innate Immune System30Pneumonia31Influenza32,33; ari34\nad, alzheimer disease; ari, acute Respiratory Tract infection; cvd, Cardiovascular disease; dm, diabetes mellitus; ms, multiple sclerosis.']	[('QUESTION_ANSWERED_BY_THIS_WORK', 21), ('INCOMPLETE_EVIDENCE', 517), ('INCOMPLETE_EVIDENCE', 529), ('SUPERFICIAL_RELATIONSHIP', 696), ('INCOMPLETE_EVIDENCE', 709), ('SUPERFICIAL_RELATIONSHIP', 770)]	6	[('CHEBI_27300', 'vitamin D', 81, 'vitamin D'), ('GO_0001525', 'angiogenesis', 261, 'angiogenesis'), ('UBERON_0012652', 'colorectum', 302, 'colorectal'), ('UBERON_0001977', 'blood serum', 390, 'serum'), ('CHEBI_16113', 'cholesterol', 396, 'cholesterol'), ('UBERON_0001637', 'artery', 416, 'arterial'), ('PR_000045358', 'insulin family protein', 436, 'insulin'), ('GO_0008152', 'metabolic process', 494, 'metabolic'), ('GO_0055073', 'cadmium ion homeostasis', 609, 'calcium homeostasis'), ('PR_000004519', 'autism susceptibility gene 2 protein', 643, 'amyloid-β'), ('PR_000045358', 'insulin family protein', 813, 'insulin'), ('CL_0000815', 'regulatory T cell', 1068, 'regulatory T ...'), ('GO_0065007', 'biological regulation', 1068, 'regulatory'), ('CL_0000960', 'T3 B cell', 1085, 'B cells27Ref'), ('PR_000006009', 'alpha-catulin', 1136, 'cathelicidin'), ('GO_0051886', 'negative regulation of timing of anagen', 1178, 'adaptive ...'), ('UBERON_0003822', 'forelimb stylopod', 1198, 'immune system30Pneumonia31Influenza32'), ('UBERON_0000065', 'respiratory tract', 1280, 'respiratory tract'), ('UBERON_0004535', 'cardiovascular system', 1314, 'cardiovascular')]
S31-PMC5513133	PMC5513133	7/2017	S31-PMC5513133	['these include Vitamin D’s ROLE in Modulating pro-inflammatory responses and decreasing oxidative stress in pe, promoting Angiogenesis through Vegf and Gene modulation, and decreasing Blood Pressure through the Renin-angiotensin system (ras) [19–25].']	[('SUPERFICIAL_RELATIONSHIP', 26)]	1	[('CHEBI_27300', 'vitamin D', 14, 'vitamin D'), ('GO_0065007', 'biological regulation', 34, 'modulating'), ('GO_0001525', 'angiogenesis', 121, 'angiogenesis'), ('PR_000017279', 'testis-specific basic protein Y 1', 142, 'VEGF'), ('SO_0000704', 'gene', 151, 'gene'), ('UBERON_0000178', 'blood', 183, 'blood'), ('GO_0060208', 'proestrus', 189, 'pressure'), ('PR_000014368', 'RuvB-like 1', 210, 'renin')]
S64-PMC5513133	PMC5513133	7/2017	S64-PMC5513133	['in addition to down-regulating the release of anti-Angiogenic factors, Vitamin D HAS BEEN SHOWN to promote Angiogenesis in Endothelial Progenitor Cells, by POSSIBLY increasing vegf Expression and pro-Matrix metalloproteinase (pro-Mmp-2) activity [55].']	[('INCOMPLETE_EVIDENCE', 81), ('INCOMPLETE_EVIDENCE', 156)]	2	[('GO_0001525', 'angiogenesis', 51, 'angiogenic'), ('CHEBI_27300', 'vitamin D', 71, 'vitamin D'), ('GO_0001525', 'angiogenesis', 107, 'angiogenesis'), ('CL_0000513', 'cardiac muscle myoblast', 123, 'endothelial progenitor cells'), ('UBERON_0001986', 'endothelium', 123, 'endothelial'), ('GO_0010467', 'gene expression', 181, 'expression'), ('GO_0031012', 'extracellular matrix', 200, 'matrix'), ('PR_000010479', '72 kDa type IV collagenase', 230, 'MMP-2')]
S70-PMC5513133	PMC5513133	7/2017	S70-PMC5513133	['FOUND that the EFFECT of 1,25(Oh)2D on Vsmc Proliferation is MEDIATED by increased vegf Expression, WHILE others FIND no relation between Vitamin D and pro-Angiogenic factors [15].']	[('INCOMPLETE_EVIDENCE', 0), ('SUPERFICIAL_RELATIONSHIP', 15), ('SUPERFICIAL_RELATIONSHIP', 61), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 100), ('INCOMPLETE_EVIDENCE', 113)]	5	[('CHEBI_82784', 'PVP38-Ag NP', 25, '1,25(OH)2D'), ('CL_0000359', 'vascular associated smooth muscle cell', 39, 'VSMC'), ('GO_0008283', 'cell proliferation', 44, 'proliferation'), ('GO_0010467', 'gene expression', 88, 'expression'), ('CHEBI_27300', 'vitamin D', 138, 'vitamin D'), ('GO_0001525', 'angiogenesis', 156, 'angiogenic')]
S71-PMC5513133	PMC5513133	7/2017	S71-PMC5513133	['there is currently NOT enough data to strongly SUPPORT the HYPOTHESIS that impaired Angiogenesis EXPLAINS the ASSOCIATION between Vitamin D deficiency and pe [60].']	[('ANOMALY_CURIOUS_FINDING', 19), ('INCOMPLETE_EVIDENCE', 47), ('INCOMPLETE_EVIDENCE', 59), ('PROBABLE_UNDERSTANDING', 97), ('SUPERFICIAL_RELATIONSHIP', 110)]	5	[('GO_0001525', 'angiogenesis', 84, 'angiogenesis'), ('CHEBI_27300', 'vitamin D', 130, 'vitamin D')]
S91-PMC5513133	PMC5513133	7/2017	S91-PMC5513133	['given the ROLE of Vitamin D in Modulation of inflammation and Immune function, Placental Implantation, Angiogenesis and adverse Birth outcomes such as low Birth weight and sga, we EXAMINED the EVIDENCE that Vitamin D MAY play a ROLE in the etiology and PREVENTION of pe in this manuscript.']	[('SUPERFICIAL_RELATIONSHIP', 10), ('QUESTION_ANSWERED_BY_THIS_WORK', 180), ('INCOMPLETE_EVIDENCE', 193), ('INCOMPLETE_EVIDENCE', 217), ('SUPERFICIAL_RELATIONSHIP', 228), ('SUPERFICIAL_RELATIONSHIP', 253)]	6	[('CHEBI_27300', 'vitamin D', 18, 'vitamin D'), ('GO_0065007', 'biological regulation', 31, 'modulation'), ('UBERON_0002405', 'immune system', 62, 'immune'), ('GO_0007565', 'female pregnancy', 79, 'placental'), ('UBERON_0001987', 'placenta', 79, 'placental'), ('GO_0007566', 'embryo implantation', 89, 'implantation'), ('GO_0001525', 'angiogenesis', 103, 'angiogenesis'), ('GO_0007567', 'parturition', 128, 'birth'), ('GO_0007567', 'parturition', 155, 'birth'), ('CHEBI_27300', 'vitamin D', 207, 'vitamin D')]
