	ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
S18-BMJ_2010_Apr_29_340_c1640	BMJ_2010_Apr_29_340_c1640	4/2010	S18-BMJ_2010_Apr_29_340_c1640	['this EVIDENCE comes from both case-control and cohort studies and INDICATES that age of operation for such a PROTECTIVE EFFECT MIGHT include both childhood and early Adulthood.67891011\nexposure to ultraviolet radiation in early Life has NOT YET been formally examined but MIGHT be LINKED to excess risk of multiple sclerosis at Birth through seasonal deficiency in maternal Vitamin D concentrations.12A study of half siblings with multiple sclerosis has ALSO SHOWN that risk CAN be maternally MEDIATED.13pregnancy is a vulnerable time for Vitamin d deficiency BECAUSE of increased physiological needs and reduced maternal outdoor activity.14experimental data on Animal Fetal Development INDICATE that Cerebral White Matter is responsive to Vitamin D and that Oligodendrocytes in the Brain and Spinal Cord have Vitamin D Receptors.1516furthermore, maternal Vitamin D depletion alters Neurogenesis in the developing Rat Brain,17with subsequent altered Gene Expression in Adult Life.18a RECENT Genetic STUDY in Humans has FURTHER IMPLICATED Vitamin D as a strong environmental CANDIDATE by SHOWING direct functional INTERACTION with the major locus that determines susceptibility to multiple sclerosis.19ALTHOUGH Human EVIDENCE pertaining to fetal development HAS BEEN DIFFICULT to obtain, the body of RELATED EVIDENCE to date has led SOME to RECOMMEND Antenatal supplementation with Vitamin D to prevent multiple sclerosis.14\nAS an indicator of POSSIBLE Perinatal environmental exposures, such as ultraviolet radiation, individual studies in the northern hemisphere have examined month of Birth and risk of multiple sclerosis with VARIED results.2021222324a large RECENT pooled analysis of Births in the northern hemisphere, HOWEVER, SHOWED an excess of multiple sclerosis among People Born in may and a relative deficit among those Born in november; these results were stronger in familial cases and SUGGESTED INTERACTIONS between Genes and environment that are RELATED to climate and that MIGHT act during Gestation or shortly after Birth.12we EXAMINED month of Birth and risk of multiple sclerosis in australia.']	[('INCOMPLETE_EVIDENCE', 5), ('INCOMPLETE_EVIDENCE', 66), ('SUPERFICIAL_RELATIONSHIP', 109), ('SUPERFICIAL_RELATIONSHIP', 120), ('INCOMPLETE_EVIDENCE', 127), ('FULL_UNKNOWN', 237), ('INCOMPLETE_EVIDENCE', 272), ('SUPERFICIAL_RELATIONSHIP', 281), ('INCOMPLETE_EVIDENCE', 399), ('INCOMPLETE_EVIDENCE', 454), ('INCOMPLETE_EVIDENCE', 475), ('SUPERFICIAL_RELATIONSHIP', 493), ('PROBABLE_UNDERSTANDING', 560), ('INCOMPLETE_EVIDENCE', 687), ('INCOMPLETE_EVIDENCE', 984), ('INCOMPLETE_EVIDENCE', 1019), ('SUPERFICIAL_RELATIONSHIP', 1027), ('INCOMPLETE_EVIDENCE', 1074), ('INCOMPLETE_EVIDENCE', 1087), ('SUPERFICIAL_RELATIONSHIP', 1113), ('ANOMALY_CURIOUS_FINDING', 1199), ('ANOMALY_CURIOUS_FINDING', 1199), ('INCOMPLETE_EVIDENCE', 1216), ('INCOMPLETE_EVIDENCE', 1257), ('DIFFICULT_TASK', 1266), ('INCOMPLETE_EVIDENCE', 1299), ('SUPERFICIAL_RELATIONSHIP', 1299), ('INCOMPLETE_EVIDENCE', 1332), ('FUTURE_WORK', 1340), ('PROBABLE_UNDERSTANDING', 1424), ('INCOMPLETE_EVIDENCE', 1443), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 1629), ('INCOMPLETE_EVIDENCE', 1662), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 1723), ('INCOMPLETE_EVIDENCE', 1732), ('INCOMPLETE_EVIDENCE', 1899), ('SUPERFICIAL_RELATIONSHIP', 1909), ('SUPERFICIAL_RELATIONSHIP', 1961), ('INCOMPLETE_EVIDENCE', 1989), ('QUESTION_ANSWERED_BY_THIS_WORK', 2044)]	40	[('UBERON_0000113', 'post-juvenile adult stage', 166, 'adulthood'), ('UBERON_0000104', 'life cycle', 228, 'life'), ('GO_0007567', 'parturition', 328, 'birth'), ('CHEBI_27300', 'vitamin D', 374, 'vitamin D'), ('CHEBI_33229', 'vitamin (role)', 539, 'vitamin'), ('NCBITaxon_33208', 'Metazoa', 662, 'animal'), ('GO_0002065', 'columnar/cuboidal epithelial cell differentiation', 669, 'fetal development'), ('UBERON_0002437', 'cerebral hemisphere white matter', 701, 'cerebral white matter'), ('CHEBI_27300', 'vitamin D', 740, 'vitamin D'), ('CL_0000128', 'oligodendrocyte', 759, 'oligodendrocytes'), ('UBERON_0000955', 'brain', 783, 'brain'), ('UBERON_0002240', 'spinal cord', 793, 'spinal cord'), ('CHEBI_27300', 'vitamin D', 810, 'vitamin D'), ('PR_000001708', 'sphingosine 1-phosphate receptor 3', 810, 'vitamin D receptors'), ('CHEBI_27300', 'vitamin D', 856, 'vitamin D'), ('GO_0022008', 'neurogenesis', 883, 'neurogenesis'), ('NCBITaxon_9986', 'Oryctolagus cuniculus', 914, 'rat'), ('UBERON_0000955', 'brain', 918, 'brain'), ('GO_0010467', 'gene expression', 950, 'gene expression'), ('SO_0000704', 'gene', 950, 'gene'), ('UBERON_0000113', 'post-juvenile adult stage', 969, 'adult life'), ('SO_0000704', 'gene', 991, 'genetic'), ('NCBITaxon_9606', 'Homo sapiens', 1008, 'humans'), ('CHEBI_27300', 'vitamin D', 1038, 'vitamin D'), ('NCBITaxon_9606', 'Homo sapiens', 1210, 'human'), ('GO_0007567', 'parturition', 1350, 'antenatal'), ('CHEBI_27300', 'vitamin D', 1381, 'vitamin D'), ('GO_0036268', 'swimming', 1452, 'perinatal'), ('UBERON_0012101', 'perinatal stage', 1452, 'perinatal'), ('GO_0007567', 'parturition', 1587, 'birth'), ('GO_0007567', 'parturition', 1688, 'births'), ('NCBITaxon_10088', 'Mus <genus>', 1777, 'people'), ('GO_0007567', 'parturition', 1784, 'born'), ('GO_0007567', 'parturition', 1831, 'born'), ('SO_0000704', 'gene', 1930, 'genes'), ('GO_0007565', 'female pregnancy', 2006, 'gestation'), ('GO_0007567', 'parturition', 2033, 'birth'), ('GO_0007567', 'parturition', 2062, 'birth')]
S11-PMC1361787	PMC1361787	12/2005	S11-PMC1361787	['maternal Intake of Carbohydrates and protein [3], Fatty Acids [4], and Micronutrients such as zinc [5-7], iron [2], magnesium [8-10], Calcium [11], riboflavin [4], and Vitamin C [12]MAY also have IMPORTANT EFFECTS on fetal growth and Perinatal outcomes.']	[('INCOMPLETE_EVIDENCE', 182), ('IMPORTANT_CONSIDERATION', 196), ('SUPERFICIAL_RELATIONSHIP', 206)]	3	[('GO_0007631', 'feeding behavior', 9, 'intake'), ('CHEBI_16646', 'carbohydrate', 19, 'carbohydrates'), ('CHEBI_35366', 'fatty acid', 50, 'fatty acids'), ('CHEBI_33839', 'macromolecule', 71, 'micronutrients'), ('CHEBI_22313', 'alkaline earth metal atom', 134, 'calcium'), ('CHEBI_27300', 'vitamin D', 168, 'vitamin C'), ('GO_0036268', 'swimming', 234, 'perinatal'), ('UBERON_0012101', 'perinatal stage', 234, 'perinatal')]
S46-PMC1888711	PMC1888711	5/2007	S46-PMC1888711	"['beneficial EFFECTS on Birth weight and the risk of Postpartum endometritis were SEEN for high-risk women"" [22].moderatedietary Vitamin A deficiencyvitamin a supplementation""further EVIDENCE on biologically PLAUSIBLE mechanisms of morbidity reduction such as reduced incidence of sepsis and/or reduced MARKERS of inflammation ARE NEEDED"" [60].lowdietary Micronutrient deficienciesmultiple Micronutrient supplementationone trial in tanzania showed no additional effect on markers of infection (C-Reactive Protein) compared with Iron and Folic Acid [15].lowanemia p. falciparum infectionanti-malarial Drugs""Drugs given routinely for malaria during Pregnancy reduce SEVERE Antenatal anaemia in the mother, and are ASSOCIATED with higher Birth weight in the baby and PROBABLY fewer Perinatal deaths.']"	[('SUPERFICIAL_RELATIONSHIP', 11), ('INCOMPLETE_EVIDENCE', 80), ('INCOMPLETE_EVIDENCE', 181), ('INCOMPLETE_EVIDENCE', 206), ('SUPERFICIAL_RELATIONSHIP', 301), ('FUTURE_WORK', 325), ('IMPORTANT_CONSIDERATION', 662), ('SUPERFICIAL_RELATIONSHIP', 710), ('PROBABLE_UNDERSTANDING', 762)]	9	[('GO_0007567', 'parturition', 22, 'birth'), ('GO_0007565', 'female pregnancy', 51, 'postpartum'), ('CHEBI_27300', 'vitamin D', 127, 'vitamin A'), ('CHEBI_33962', 'mu4-sulfido-quadro-tetracopper(6+)', 353, 'micronutrient'), ('CHEBI_33962', 'mu4-sulfido-quadro-tetracopper(6+)', 388, 'micronutrient'), ('PR_000005890', 'crooked neck-like protein 1', 492, 'C-reactive protein'), ('CHEBI_24870', 'ion', 526, 'iron'), ('CHEBI_30751', 'formic acid', 535, 'folic acid'), ('CHEBI_23888', 'drug', 598, 'drugs'), ('CHEBI_23888', 'drug', 604, 'Drugs'), ('GO_0007565', 'female pregnancy', 645, 'pregnancy'), ('GO_0007567', 'parturition', 669, 'antenatal'), ('GO_0007567', 'parturition', 733, 'birth'), ('GO_0036268', 'swimming', 777, 'perinatal'), ('UBERON_0012101', 'perinatal stage', 777, 'perinatal')]
S483-PMC2679409	PMC2679409	5/2009	S483-PMC2679409	['[96] performed a cochrane review of 5 trials of women who had received Vitamin A in Pregnancy (n = 23,426), but ONLY one study [101], REPORTED Perinatal mortality [loe: 1+] (additional file12).']	[('INCOMPLETE_EVIDENCE', 112), ('INCOMPLETE_EVIDENCE', 134)]	2	[('CHEBI_27300', 'vitamin D', 71, 'vitamin A'), ('GO_0007565', 'female pregnancy', 84, 'pregnancy'), ('GO_0036268', 'swimming', 143, 'perinatal'), ('UBERON_0012101', 'perinatal stage', 143, 'perinatal')]
S697-PMC2679409	PMC2679409	5/2009	S697-PMC2679409	['2005 meta-analysis: IMPACT of Vitamin A supplementation on Stillbirth and Perinatal mortality .']	[('SUPERFICIAL_RELATIONSHIP', 20)]	1	[('CHEBI_27300', 'vitamin D', 30, 'vitamin A'), ('GO_0001966', 'thigmotaxis', 59, 'stillbirth'), ('GO_0036268', 'swimming', 74, 'perinatal'), ('UBERON_0012101', 'perinatal stage', 74, 'perinatal')]
S702-PMC2679409	PMC2679409	5/2009	S702-PMC2679409	['2002 review: IMPACT of Vitamin A supplementation on Stillbirth and Perinatal mortality .']	[('SUPERFICIAL_RELATIONSHIP', 13)]	1	[('CHEBI_27300', 'vitamin D', 23, 'vitamin A'), ('GO_0001966', 'thigmotaxis', 52, 'stillbirth'), ('GO_0036268', 'swimming', 67, 'perinatal'), ('UBERON_0012101', 'perinatal stage', 67, 'perinatal')]
S707-PMC2679409	PMC2679409	5/2009	S707-PMC2679409	['2005 meta-analysis: IMPACT of Vitamin A supplementation on Stillbirth and Perinatal mortality .']	[('SUPERFICIAL_RELATIONSHIP', 20)]	1	[('CHEBI_27300', 'vitamin D', 30, 'vitamin A'), ('GO_0001966', 'thigmotaxis', 59, 'stillbirth'), ('GO_0036268', 'swimming', 74, 'perinatal'), ('UBERON_0012101', 'perinatal stage', 74, 'perinatal')]
S145-PMC3171895	PMC3171895	9/2011	S145-PMC3171895	['a CONSIDERABLE INTEREST exists regarding PREVENTION of Maternal and Perinatal Morbidity with Vitamins C and E. HOWEVER, the most RECENT meta-analysis of ten trials (6533 women) published in 2008 of antioxidant supplementation (including Vitamin C and e but also OTHER supplements such as Lycopene) SHOWED no difference in the relative risk (rr) of Preeclampsia (rr 0.73, 95% ci 0.51 to 1.06), Preterm Birth (before 37 weeks) (rr 1.10, 95% ci 0.99 to 1.22), sga infants (rr 0.83, 95% ci 0.62 to 1.11), or any baby death (rr 1.12, 95% ci 0.81 to 1.53) [7].']	[('ANOMALY_CURIOUS_FINDING', 2), ('ANOMALY_CURIOUS_FINDING', 15), ('IMPORTANT_CONSIDERATION', 15), ('SUPERFICIAL_RELATIONSHIP', 41), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 111), ('INCOMPLETE_EVIDENCE', 129), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 262), ('INCOMPLETE_EVIDENCE', 298)]	8	[('GO_0007618', 'mating', 55, 'maternal ...'), ('GO_0019230', 'proprioception', 68, 'perinatal morbidity'), ('UBERON_0012101', 'perinatal stage', 68, 'perinatal'), ('CHEBI_27300', 'vitamin D', 93, 'vitamins C'), ('PR_000004900', 'complement C3', 102, 'C'), ('CHEBI_52024', '4-(4-dihexadecylaminostyryl)-N-methylpyridium iodide', 108, 'E'), ('CHEBI_27300', 'vitamin D', 237, 'vitamin C'), ('CHEBI_15948', 'lycopene', 288, 'lycopene'), ('GO_0007128', 'meiotic prophase I', 348, 'preeclampsia'), ('GO_0007565', 'female pregnancy', 393, 'preterm'), ('GO_0007567', 'parturition', 401, 'birth')]
S147-PMC3171895	PMC3171895	9/2011	S147-PMC3171895	['a couple of subsequent RECENT multicentre double-blinded randomised trials of a combination of Vitamin C and E [130,131] also FOUND that supplementation did not reduce the rate of Preeclampsia or Gestational hypertension and, like the Vitamins in Preeclampsia trial in 2006 [132], increased the risk of fetal loss or Perinatal death and preterm prelabour rupture of Membranes.']	[('INCOMPLETE_EVIDENCE', 23), ('INCOMPLETE_EVIDENCE', 126)]	2	[('CHEBI_27300', 'vitamin D', 95, 'vitamin C'), ('CHEBI_52024', '4-(4-dihexadecylaminostyryl)-N-methylpyridium iodide', 109, 'E'), ('GO_0007128', 'meiotic prophase I', 180, 'preeclampsia'), ('GO_0007565', 'female pregnancy', 196, 'gestational'), ('CHEBI_28371', 'vitamin K epoxide', 235, 'Vitamins'), ('GO_0007128', 'meiotic prophase I', 247, 'Preeclampsia'), ('GO_0036268', 'swimming', 317, 'perinatal'), ('UBERON_0012101', 'perinatal stage', 317, 'perinatal'), ('UBERON_0000922', 'embryo', 366, 'membranes')]
S38-PMC3277098	PMC3277098	12/2011	S38-PMC3277098	['Immune Cell Differentiation and Proliferation\nthe ROLE of Vitamin D in Regulation Of the Immune System was FIRST RECOGNIZED through the identification of Vitamin D receptors on Peripheral Blood Mononuclear cells (Lymphocytes) [2].']	[('SUPERFICIAL_RELATIONSHIP', 50), ('INCOMPLETE_EVIDENCE', 107), ('PROBABLE_UNDERSTANDING', 113)]	3	[('CL_0000902', 'induced T-regulatory cell', 0, 'Immune Cell'), ('GO_0002121', 'inter-male aggressive behavior', 0, 'Immune Cell Differentiation ... Proliferation'), ('CHEBI_27300', 'vitamin D', 58, 'vitamin D'), ('GO_0007093', 'mitotic cell cycle checkpoint signaling', 71, 'regulation of ... immune system'), ('UBERON_0002405', 'immune system', 89, 'immune system'), ('CHEBI_28384', 'vitamin K', 154, 'Vitamin D'), ('UBERON_0012101', 'perinatal stage', 177, 'peripheral blood'), ('CL_0000100', 'motor neuron', 194, 'mononuclear'), ('GO_0031097', 'medial cortex', 194, 'mononuclear'), ('CL_0000542', 'lymphocyte', 213, 'lymphocytes')]
