	ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
S103-PMC3004407	PMC3004407	12/2010	S103-PMC3004407	['specifically, obesity and race DEMONSTRATED a significant ASSOCIATION with Vitamin D category, and obesity retained a significant RELATIONSHIP with Vitamin D category after controlling for race ( p = .01).']	[('INCOMPLETE_EVIDENCE', 31), ('SUPERFICIAL_RELATIONSHIP', 58), ('SUPERFICIAL_RELATIONSHIP', 130)]	3	[('CHEBI_27300', 'vitamin D', 75, 'vitamin D'), ('CHEBI_27300', 'vitamin D', 148, 'vitamin D')]
S59-PMC3075531	PMC3075531	7/2010	S59-PMC3075531	['one option WOULD BE a national or multinational study based on randomization of school districts or other suitable units in regions of low sunlight intensity, PERHAPS including multiple outcomes that MIGHT be AFFECTED by Vitamin D, such as diabetes, obesity, Respiratory infections, and asthma.4546ALTERNATIVELY, high-risk first-degree relatives of individu-als with ms COULD BE targeted in a smaller trial,47ALTHOUGH randomization and compliance COULD BE more CHALLENGING.']	[('FUTURE_WORK', 11), ('INCOMPLETE_EVIDENCE', 159), ('INCOMPLETE_EVIDENCE', 200), ('SUPERFICIAL_RELATIONSHIP', 209), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 298), ('FUTURE_WORK', 370), ('ANOMALY_CURIOUS_FINDING', 409), ('FUTURE_WORK', 447), ('DIFFICULT_TASK', 461)]	9	[('CHEBI_27300', 'vitamin D', 221, 'vitamin D'), ('UBERON_0001004', 'respiratory system', 259, 'respiratory')]
S43-PMC3257641	PMC3257641	3/2010	S43-PMC3257641	['furthermore, SINCE 25(Oh)D is stored in Adipose Tissue, there is SOME EVIDENCE that obesity is a FURTHER RISK FACTOR for Vitamin D insufficiency.nutrients-02-00389-t001_table 1\n\ncaption (table-wrap): table 1\n\nrisk factors for Vitamin D deficiency.low ambient uvr level high latitude locationwinter season inadequate sun exposure built or indoor environmentextensive clothing cover (e.g., veiled)excess sun avoidance – (shade, sunscreen) host factors dark skin pigmentationold ageobesitymalabsorptive syndromes (e.g., inflammatory Bowel disease)\nMANY STUDIES HAVE REPORTED on the Vitamin D status of Pregnant women, in a range of environments (summarized intable 2, including studies from 1997–2006).']	[('PROBLEM_COMPLICATION', 13), ('INCOMPLETE_EVIDENCE', 65), ('INCOMPLETE_EVIDENCE', 97), ('SUPERFICIAL_RELATIONSHIP', 105), ('INCOMPLETE_EVIDENCE', 545), ('INCOMPLETE_EVIDENCE', 558)]	6	[('CHEBI_71657', 'versiconol acetate', 19, '25(OH)D'), ('UBERON_0001013', 'adipose tissue', 40, 'adipose tissue'), ('CHEBI_27300', 'vitamin D', 121, 'vitamin D'), ('CHEBI_27300', 'vitamin D', 226, 'vitamin D'), ('UBERON_0000160', 'intestine', 530, 'bowel'), ('CHEBI_27300', 'vitamin D', 579, 'vitamin D'), ('GO_0007565', 'female pregnancy', 599, 'pregnant')]
S31-PMC3277098	PMC3277098	12/2011	S31-PMC3277098	['this ASSOCIATION persists after adjusting for physical activity and dietary intake SUGGESTING obesity is an INDEPENDENT risk factor for reduced Serum 25(Oh)D and SUPPORTS the notion that Vitamin D deficiency MAY follow from modern lifestyle change.']	[('SUPERFICIAL_RELATIONSHIP', 5), ('INCOMPLETE_EVIDENCE', 83), ('SUPERFICIAL_RELATIONSHIP', 108), ('INCOMPLETE_EVIDENCE', 162), ('INCOMPLETE_EVIDENCE', 208)]	5	[('UBERON_0001977', 'blood serum', 144, 'serum'), ('CHEBI_71657', 'versiconol acetate', 150, '25(OH)D'), ('PR_000008775', 'estradiol 17-beta-dehydrogenase 11', 150, '25(OH)D'), ('CHEBI_27300', 'vitamin D', 187, 'vitamin D')]
S111-PMC3356951	PMC3356951	4/2012	S111-PMC3356951	['[85]\n\nobesity\nlow concentrations of circulating Vitamin D are common with obesity and MAY represent a POTENTIAL mechanism EXPLAINING the elevated risk of certain cancers and Cardiovascular outcomes.']	[('INCOMPLETE_EVIDENCE', 86), ('INCOMPLETE_EVIDENCE', 102), ('PROBABLE_UNDERSTANDING', 122)]	3	[('CHEBI_27300', 'vitamin D', 48, 'vitamin D'), ('UBERON_0004535', 'cardiovascular system', 174, 'cardiovascular')]
S155-PMC3366611	PMC3366611	4/2012	S155-PMC3366611	['a modest negative ASSOCIATION between maternal bmi and diet quality HAS BEEN IDENTIFIED [131], and obesity is ASSOCIATED with lower levels of Vitamin D [132] and Folic Acid levels during the Childbearing years [133], which MAY increase the risk of Insulin resistance and Neural Tube defects, respectively [134].']	[('SUPERFICIAL_RELATIONSHIP', 18), ('INCOMPLETE_EVIDENCE', 68), ('INCOMPLETE_EVIDENCE', 77), ('SUPERFICIAL_RELATIONSHIP', 110), ('INCOMPLETE_EVIDENCE', 223)]	5	[('CHEBI_27300', 'vitamin D', 142, 'vitamin D'), ('CHEBI_30751', 'formic acid', 162, 'folic acid'), ('GO_0007129', 'homologous chromosome pairing at meiosis', 191, 'childbearing'), ('PR_000045358', 'insulin family protein', 248, 'insulin'), ('UBERON_0001049', 'neural tube', 271, 'neural tube')]
S18-PMC3424155	PMC3424155	8/2012	S18-PMC3424155	['moreover, Vitamin D is ASSOCIATED with premature births, obesity and Renal dysfunction in Adulthood, making it more than an ESSENTIAL fat-soluble Vitamin RESPONSIBLE for calcium Metabolism[9],[10].']	[('SUPERFICIAL_RELATIONSHIP', 23), ('IMPORTANT_CONSIDERATION', 124), ('PROBABLE_UNDERSTANDING', 154)]	3	[('CHEBI_27300', 'vitamin D', 10, 'vitamin D'), ('UBERON_0002113', 'kidney', 69, 'renal'), ('UBERON_0000113', 'post-juvenile adult stage', 90, 'adulthood'), ('CHEBI_33229', 'vitamin (role)', 146, 'vitamin'), ('GO_0008152', 'metabolic process', 178, 'metabolism')]
S172-PMC3424155	PMC3424155	8/2012	S172-PMC3424155	['Vitamin D deficiency during the third Trimester of Pregnancy in Humans HAS BEEN ASSOCIATED with Cardiovascular disease, diabetes and obesity in offspring[23], which COULD BE LINKED to the POTENTIAL ROLE of Vitamin D in the Regulation Of Adiposity[24],[25].']	[('INCOMPLETE_EVIDENCE', 71), ('SUPERFICIAL_RELATIONSHIP', 80), ('INCOMPLETE_EVIDENCE', 165), ('SUPERFICIAL_RELATIONSHIP', 174), ('INCOMPLETE_EVIDENCE', 188), ('SUPERFICIAL_RELATIONSHIP', 198), ('SUPERFICIAL_RELATIONSHIP', 223)]	7	[('CHEBI_28384', 'vitamin K', 0, 'Vitamin D'), ('GO_0009294', 'DNA mediated transformation', 38, 'trimester'), ('GO_0007565', 'female pregnancy', 51, 'pregnancy'), ('NCBITaxon_9606', 'Homo sapiens', 64, 'humans'), ('UBERON_0004535', 'cardiovascular system', 96, 'cardiovascular'), ('CHEBI_27300', 'vitamin D', 206, 'vitamin D'), ('GO_0045752', 'positive regulation of Toll signaling pathway', 223, 'regulation of adiposity')]
S9-PMC3427192	PMC3427192	4/2012	S9-PMC3427192	['indeed, numerous dietary hypotheses HAVE BEEN PROPOSED.13-15among the Nutrients and antioxidants included in this HYPOTHESIS, Vitamin D is of particular INTEREST SINCE Vitamin D concentrations decrease with increased time spent indoors, decreased exposure to sunlight, less exercise, obesity, and inadequate Calcium intake.16additionally, a GROWING BODY of literature SUGGESTS that there is a RELATIONSHIP between Vitamin D status and asthma-RELATED Respiratory symptoms,17-22PRESUMABLY through the immunomodulatory EFFECTS of Vitamin D.23,24this brief review discusses Vitamin D as it RELATES to asthma across the age spectrum, with a FOCUS on EMERGING Human STUDIES over the past decade.']	[('INCOMPLETE_EVIDENCE', 36), ('INCOMPLETE_EVIDENCE', 46), ('INCOMPLETE_EVIDENCE', 114), ('ANOMALY_CURIOUS_FINDING', 153), ('PROBABLE_UNDERSTANDING', 162), ('INCOMPLETE_EVIDENCE', 341), ('INCOMPLETE_EVIDENCE', 368), ('SUPERFICIAL_RELATIONSHIP', 393), ('SUPERFICIAL_RELATIONSHIP', 442), ('ANOMALY_CURIOUS_FINDING', 474), ('SUPERFICIAL_RELATIONSHIP', 516), ('SUPERFICIAL_RELATIONSHIP', 586), ('QUESTION_ANSWERED_BY_THIS_WORK', 636), ('INCOMPLETE_EVIDENCE', 645)]	14	[('CHEBI_33284', 'nutrient', 70, 'nutrients'), ('CHEBI_27300', 'vitamin D', 126, 'vitamin D'), ('CHEBI_27300', 'vitamin D', 168, 'vitamin D'), ('CHEBI_22313', 'alkaline earth metal atom', 308, 'calcium'), ('CHEBI_27300', 'vitamin D', 414, 'vitamin D'), ('UBERON_0001004', 'respiratory system', 450, 'respiratory'), ('CHEBI_27300', 'vitamin D', 527, 'vitamin D'), ('CHEBI_27300', 'vitamin D', 570, 'vitamin D'), ('NCBITaxon_9606', 'Homo sapiens', 654, 'human')]
S53-PMC3427192	PMC3427192	4/2012	S53-PMC3427192	['Vitamin D in Adults with asthma\nin Adults, the RECOMMENDED dietary intake for Vitamin D ranges from 600 to 800 iu daily.47HOWEVER, DESPITE the large variety of Foods supplemented with Vitamin D, a large proportion of the Adult population remains Vitamin D deficient,77,78perhaps DUE IN PART to INADEQUATE sun exposure and the rising PREVALENCE of obesity which CAN LEAD TO decreased Vitamin D bioavailability.79SIMILAR to the studies in school age children, a NUMBER OF cross-sectional studies in Adults have also DEMONSTRATED ASSOCIATIONS between Vitamin D status and asthma Control (table 3).']	[('FUTURE_WORK', 47), ('ANOMALY_CURIOUS_FINDING', 120), ('ANOMALY_CURIOUS_FINDING', 120), ('ANOMALY_CURIOUS_FINDING', 131), ('IMPORTANT_CONSIDERATION', 279), ('INCOMPLETE_EVIDENCE', 283), ('IMPORTANT_CONSIDERATION', 294), ('IMPORTANT_CONSIDERATION', 333), ('INCOMPLETE_EVIDENCE', 361), ('SUPERFICIAL_RELATIONSHIP', 365), ('INCOMPLETE_EVIDENCE', 409), ('INCOMPLETE_EVIDENCE', 460), ('INCOMPLETE_EVIDENCE', 514), ('SUPERFICIAL_RELATIONSHIP', 527)]	14	[('CHEBI_28384', 'vitamin K', 0, 'Vitamin D'), ('UBERON_0007023', 'adult organism', 13, 'Adults'), ('UBERON_0007023', 'adult organism', 35, 'adults'), ('CHEBI_27300', 'vitamin D', 78, 'vitamin D'), ('CHEBI_33290', 'food', 160, 'foods'), ('CHEBI_27300', 'vitamin D', 184, 'vitamin D'), ('UBERON_0007023', 'adult organism', 221, 'adult'), ('CHEBI_27300', 'vitamin D', 246, 'vitamin D'), ('CHEBI_27300', 'vitamin D', 383, 'vitamin D'), ('UBERON_0007023', 'adult organism', 497, 'adults'), ('CHEBI_27300', 'vitamin D', 548, 'vitamin D'), ('GO_0065007', 'biological regulation', 576, 'control')]
